one huge opportunity .	one huge opportunity .	NUM ADJ N;SG _
i 'll believe it when i see it .	i will believe it when i see it .	1;NOM;PRO;SG FIN;V NFIN;V 3;ACC;NEUT;PRO;SG ADV 1;NOM;PRO;SG FIN;IND;PRS;V 3;ACC;NEUT;PRO;SG _
molly	molly	PROPN;SG
very sad too since nasa 's astronaut's may not fly in the next five years .	very sad too since nasa 's astronaut' may not fly in the next five year .	ADV ADJ ADV CONJ PROPN;SG PART N;PL FIN;V PART NFIN;V ADP DEF;DET ADJ NUM N;PL _
chris	chris	PROPN;SG
kay mann	kay mann	PROPN;SG PROPN;SG
we highly recommend joe and his wasp removal service to individual home owners and condos .	we highly recommend joe and he wasp removal service to individual home owner and condo .	1;NOM;PL;PRO ADV FIN;IND;PRS;V PROPN;SG CONJ 3;MASC;PRO;SG N;SG N;SG N;SG ADP ADJ N;SG N;PL CONJ N;PL _
do yourself a favor , call these guys first and enjoy driving your car again ..	do yourself a favor , call these guy first and enjoy drive you car again ..	FIN;IMP;V 2;ACC;PRO;REFL;SG DET;INDF N;SG _ FIN;IMP;V DET;PL N;PL ADV CONJ FIN;IMP;V V;V.MSDR 2;PRO N;SG ADV _
i detect the hissing lisp of the lying serpent in this article .	i detect the hiss lisp of the lie serpent in this article .	1;NOM;PRO;SG FIN;IND;PRS;V DEF;DET V;V.MSDR N;SG ADP DEF;DET V;V.MSDR N;SG ADP DET;SG N;SG _
as far as the eei goes , the only remaining issue that i 'm aware of ( aside from finalizing the loc ) is whether we 've finished coordinating the attachment containing the list of prior transactions .	as far as the eei go , the only remain issue that i be aware of ( aside from finalize the loc ) be whether we have finish coordinate the attachment contain the list of prior transaction .	ADV ADV CONJ DEF;DET N;SG 3;FIN;IND;PRS;SG;V _ DEF;DET ADJ V;V.MSDR N;SG PRO 1;NOM;PRO;SG FIN;IND;PRS;V ADJ ADP _ ADV CONJ V;V.MSDR DEF;DET N;SG _ 3;FIN;IND;PRS;SG;V CONJ 1;NOM;PL;PRO FIN;IND;PRS;V PST;V;V.PTCP V;V.MSDR DEF;DET N;SG V;V.MSDR DEF;DET N;SG ADP ADJ N;PL _
almost every day he 'd even wake me up like 5 am in the morning , trying to bite my arm .	almost every day he would even wake i up like 5 am in the morning , try to bite my arm .	ADV DET N;SG 3;MASC;NOM;PRO;SG FIN;V ADV NFIN;V 1;ACC;PRO;SG ADP ADP NUM N;SG ADP DEF;DET N;SG _ V;V.MSDR PART NFIN;V 1;PRO;SG N;SG _
thanks ,	thanks ,	N;SG _
never before has such a convenient method been available for consuming nutritional products .	never before have such a convenient method be available for consume nutritional product .	ADV ADV 3;FIN;IND;PRS;SG;V DET DET;INDF ADJ N;SG PST;V;V.PTCP ADJ CONJ V;V.MSDR ADJ N;PL _
i was very pleased with the service .	i be very pleased with the service .	1;NOM;PRO;SG 3;FIN;IND;PST;SG;V ADV ADJ ADP DEF;DET N;SG _
dekalb county police chief louis graham ... the man who reopened the investigations last year , is mysteriously stepping down .	dekalb county police chief louis graham ... the man who reopen the investigation last year , be mysteriously step down .	PROPN;SG PROPN;SG PROPN;SG PROPN;SG PROPN;SG PROPN;SG _ DEF;DET N;SG PRO FIN;IND;PST;V DEF;DET N;PL ADJ N;SG _ 3;FIN;IND;PRS;SG;V ADV PRS;V;V.PTCP ADV _
12/07/2000 02:29 pm	12/07/2000 02:29 pm	NUM NUM N;SG
plus you land in a preferential terminal ...	plus you land in a preferential terminal ...	CONJ 2;NOM;PRO FIN;IND;PRS;V ADP DET;INDF ADJ N;SG _
i will also add granting / perfection language .	i will also add granting / perfection language .	1;NOM;PRO;SG FIN;V ADV NFIN;V N;SG _ N;SG N;SG _
thought that you might be interested .	think that you might be interested .	FIN;IND;PST;V CONJ 2;NOM;PRO FIN;V NFIN;V ADJ _
went to the school here over priced !!!!!!	go to the school here over priced !!!!!!	FIN;IND;PST;V ADP DEF;DET N;SG ADV _ ADJ _
happiness and enjoyment lie ahead .	happiness and enjoyment lie ahead .	N;SG CONJ N;SG FIN;IND;PRS;V ADV _
there is a link to the contest page .	there be a link to the contest page .	PRO 3;FIN;IND;PRS;SG;V DET;INDF N;SG ADP DEF;DET N;SG N;SG _
we thought you might like to know who your colleagues find interesting , so we 've provided a sampling of the suggestions below .	we think you might like to know who you colleague find interesting , so we have provide a sampling of the suggestion below .	1;NOM;PL;PRO FIN;IND;PST;V 2;NOM;PRO FIN;V NFIN;V PART NFIN;V PRO 2;PRO N;PL FIN;IND;PRS;V ADJ _ ADV 1;NOM;PL;PRO FIN;IND;PRS;V PST;V;V.PTCP DET;INDF N;SG ADP DEF;DET N;PL ADV _
all evaluations for associates and analysts must be completed using this form .	all evaluation for associate and analyst must be complete use this form .	DET N;PL ADP N;PL CONJ N;PL FIN;V NFIN;V PASS;PST;V;V.PTCP V;V.MSDR DET;SG N;SG _
i loved the atmosphere here and the food is good , however the tables are so close together that it feels very cramped .	i love the atmosphere here and the food be good , however the table be so close together that it feel very cramped .	1;NOM;PRO;SG FIN;IND;PST;V DEF;DET N;SG ADV CONJ DEF;DET N;SG 3;FIN;IND;PRS;SG;V ADJ _ ADV DEF;DET N;PL FIN;IND;PRS;V ADV ADJ ADJ CONJ 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V ADV ADJ _
economics will be a big determiner in the speed of their program . "	economics will be a big determiner in the speed of they program . "	N;PL FIN;V NFIN;V DET;INDF ADJ N;SG ADP DEF;DET N;SG ADP 3;PL;PRO N;SG _ _
rich was here before the scheduled time .	rich be here before the schedule time .	PROPN;SG 3;FIN;IND;PST;SG;V ADV ADP DEF;DET PST;V;V.PTCP N;SG _
it 's legal .	it be legal .	3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V ADJ _
for a hotel like this you would expect some form of free internet .	for a hotel like this you would expect some form of free internet .	ADP DET;INDF N;SG ADP PRO;SG 2;NOM;PRO FIN;V NFIN;V DET N;SG ADP ADJ N;SG _
i assume you need both gas and power .	i assume you need both gas and power .	1;NOM;PRO;SG FIN;IND;PRS;V 2;NOM;PRO FIN;IND;PRS;V CONJ N;SG CONJ N;SG _
the address is for noida location not for gurgaon location .	the address be for noida location not for gurgaon location .	DEF;DET N;SG 3;FIN;IND;PRS;SG;V ADP PROPN;SG N;SG ADV ADP PROPN;SG N;SG _
just remember to make sure the mother is properly caring for the baby .	just remember to make sure the mother be properly care for the baby .	ADV FIN;IND;PRS;V PART NFIN;V ADJ DEF;DET N;SG 3;FIN;IND;PRS;SG;V ADV PRS;V;V.PTCP ADP DEF;DET N;SG _
i 've toured this place and was impressed by how clean the place was , and all the options for the dogs .	i have tour this place and be impress by how clean the place be , and all the option for the dog .	1;NOM;PRO;SG FIN;IND;PRS;V PST;V;V.PTCP DET;SG N;SG CONJ 1;FIN;IND;PST;SG;V PASS;PST;V;V.PTCP ADP ADV ADJ DEF;DET N;SG 3;FIN;IND;PST;SG;V _ CONJ DET DEF;DET N;PL ADP DEF;DET N;PL _
the owner / baker , " pie guy " is a hoot to deal with as well .	the owner / baker , " pie guy " be a hoot to deal with as well .	DEF;DET N;SG _ N;SG _ _ PROPN;SG PROPN;SG _ 3;FIN;IND;PRS;SG;V DET;INDF N;SG PART NFIN;V ADP ADV ADV _
she had to hack her way through the ceiling of her beauty shop as flood waters rose in the city of half a million people - much of which lies below sea level .	she have to hack she way through the ceiling of she beauty shop as flood water rise in the city of half a million people - much of which lie below sea level .	3;FEM;NOM;PRO;SG FIN;IND;PST;V PART NFIN;V 3;FEM;PRO;SG N;SG ADP DEF;DET N;SG ADP 3;FEM;PRO;SG N;SG N;SG CONJ N;SG N;PL FIN;IND;PST;V ADP DEF;DET N;SG ADP DET DET;INDF NUM N;PL _ ADJ ADP PRO 3;FIN;IND;PRS;SG;V ADP N;SG N;SG _
the flight of fei and nie could mark the end of the opening chapter in a three - phase chinese space initiative , johnson - freese said .	the flight of fei and nie could mark the end of the open chapter in a three - phase chinese space initiative , johnson - freese say .	DEF;DET N;SG ADP PROPN;SG CONJ PROPN;SG FIN;V NFIN;V DEF;DET N;SG ADP DEF;DET V;V.MSDR N;SG ADP DET;INDF NUM _ N;SG ADJ N;SG N;SG _ PROPN;SG _ PROPN;SG FIN;IND;PST;V _
i wanted to volunteer and help animals , and decided to try fostering kittens .	i want to volunteer and help animal , and decide to try foster kitten .	1;NOM;PRO;SG FIN;IND;PST;V PART NFIN;V CONJ NFIN;V N;PL _ CONJ FIN;IND;PST;V PART NFIN;V V;V.MSDR N;PL _
the last i knew after you and brent drafted this starting point for fundamental operating standards was that this was being circulated ( shona took this to do after brent 's return to houston ) for comments to all business controllers .	the last i know after you and brent draft this starting point for fundamental operating standard be that this be be circulate ( shona take this to do after brent 's return to houston ) for comment to all business controller .	DEF;DET ADJ 1;NOM;PRO;SG FIN;IND;PST;V CONJ 2;NOM;PRO CONJ PROPN;SG FIN;IND;PST;V DET;SG N;SG N;SG ADP ADJ N;SG N;PL 3;FIN;IND;PST;SG;V CONJ PRO;SG 3;FIN;IND;PST;SG;V V;V.MSDR PASS;PST;V;V.PTCP _ PROPN;SG FIN;IND;PST;V PRO;SG PART NFIN;V ADP PROPN;SG PART N;SG ADP PROPN;SG _ ADP N;PL ADP DET N;SG N;PL _
“ there have no business being there unless they are undermining pakistan , ’’ says a pakistani official .	" there have no business be there unless they be undermine pakistan , '' say a pakistani official .	_ PRO FIN;IND;PRS;V DET N;SG V;V.MSDR ADV CONJ 3;NOM;PL;PRO FIN;IND;PRS;V PRS;V;V.PTCP PROPN;SG _ _ 3;FIN;IND;PRS;SG;V DET;INDF ADJ N;SG _
kay mann	kay mann	PROPN;SG PROPN;SG
thanks	thanks	N;SG
how to prevent this ?	how to prevent this ?	ADV PART NFIN;V PRO;SG _
i have a fax machine at home , though , if you prefer .	i have a fax machine at home , though , if you prefer .	1;NOM;PRO;SG FIN;IND;PRS;V DET;INDF N;SG N;SG ADP N;SG _ ADV _ CONJ 2;NOM;PRO FIN;IND;PRS;V _
kyle with bullwark	kyle with bullwark	PROPN;SG ADP PROPN;SG
it s not a big deal but i had to take my salad home because they forgot to bring it .	it be not a big deal but i have to take my salad home because they forget to bring it .	3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V PART DET;INDF ADJ N;SG CONJ 1;NOM;PRO;SG FIN;IND;PST;V PART NFIN;V 1;PRO;SG N;SG ADV CONJ 3;NOM;PL;PRO FIN;IND;PST;V PART NFIN;V 3;ACC;NEUT;PRO;SG _
please update daily	please update daily	INTJ FIN;IMP;V ADV
orders and / or instructions transmitted by e-mail will not be accepted by painewebber and painewebber will not be responsible for carrying out such orders and / or instructions .	order and / or instruction transmit by e-mail will not be accept by painewebber and painewebber will not be responsible for carry out such order and / or instruction .	N;PL CONJ _ CONJ N;PL PST;V;V.PTCP ADP N;SG FIN;V PART NFIN;V PASS;PST;V;V.PTCP ADP PROPN;SG CONJ PROPN;SG FIN;V PART NFIN;V ADJ CONJ V;V.MSDR ADP ADJ N;PL CONJ _ CONJ N;PL _
he will learn to really like this .	he will learn to really like this .	3;MASC;NOM;PRO;SG FIN;V NFIN;V PART ADV NFIN;V PRO;SG _
24,000 - estimated number of premature deaths that will occur under bush 's clear skies initiative .	24,000 - estimate number of premature death that will occur under bush 's clear skies initiative .	NUM _ PST;V;V.PTCP N;SG ADP ADJ N;PL PRO FIN;V NFIN;V ADP PROPN;SG PART PROPN;SG PL;PROPN N;SG _
john lennon entered stardom being a murderer .	john lennon enter stardom be a murderer .	PROPN;SG PROPN;SG FIN;IND;PST;V N;SG V;V.MSDR DET;INDF N;SG _
i am looking forward to hearing from you soon and have a nice day .	i be look forward to hear from you soon and have a nice day .	1;NOM;PRO;SG 1;FIN;IND;PRS;SG;V PRS;V;V.PTCP ADV CONJ V;V.MSDR ADP 2;ACC;PRO ADV CONJ FIN;IMP;V DET;INDF ADJ N;SG _
phil if you could please make copies and distribute asap .	phil if you could please make copy and distribute asap .	PROPN;SG CONJ 2;NOM;PRO FIN;V INTJ NFIN;V N;PL CONJ NFIN;V ADV _
and can you tell me why that would be a tragedy ? "	and can you tell i why that would be a tragedy ? "	CONJ FIN;V 2;NOM;PRO NFIN;V 1;ACC;PRO;SG ADV PRO;SG FIN;V NFIN;V DET;INDF N;SG _ _
the theatre has greatly improved the surrounding neighborhood .	the theatre have greatly improve the surround neighborhood .	DEF;DET N;SG 3;FIN;IND;PRS;SG;V ADV PST;V;V.PTCP DEF;DET V;V.MSDR N;SG _
everything in here seems to amaze me !!!	everything in here seem to amaze i !!!	PRO;SG ADP ADV 3;FIN;IND;PRS;SG;V PART NFIN;V 1;ACC;PRO;SG _
17 - on 17 november 2001 , the economist printed a correction for having said george bush was properly elected in 2000 .	17 - on 17 november 2001 , the economist print a correction for have say george bush be properly elect in 2000 .	NUM _ ADP NUM PROPN;SG NUM _ DEF;DET PROPN;SG FIN;IND;PST;V DET;INDF N;SG CONJ V;V.MSDR PST;V;V.PTCP PROPN;SG PROPN;SG 3;FIN;IND;PST;SG;V ADV PASS;PST;V;V.PTCP ADP NUM _
pin # : 411507	pin # : 411507	N;SG N;SG _ NUM
bush did no such thing .	bush do no such thing .	PROPN;SG FIN;IND;PST;V DET ADJ N;SG _
not sure , but i assume that the bluegrass songbook is mine .	not sure , but i assume that the bluegrass songbook be mine .	PART ADJ _ CONJ 1;NOM;PRO;SG FIN;IND;PRS;V CONJ DEF;DET N;SG N;SG 3;FIN;IND;PRS;SG;V PRO _
melanie.gray@weil.com	melanie.gray@weil.com	_
a +	a +	_ _
try to go in there with the right frame of mind and enjoy them for what they are .	try to go in there with the right frame of mind and enjoy they for what they be .	FIN;IMP;V PART NFIN;V ADP ADV ADP DEF;DET ADJ N;SG ADP N;SG CONJ NFIN;V 3;ACC;PL;PRO CONJ PRO 3;NOM;PL;PRO FIN;IND;PRS;V _
i did n't fought is it good or not than .	i do not fight be it good or not than .	1;NOM;PRO;SG FIN;IND;PST;V PART NFIN;V 3;FIN;IND;PRS;SG;V 3;NEUT;NOM;PRO;SG ADJ CONJ PART ADV _
i am very concerned about this issue .	i be very concerned about this issue .	1;NOM;PRO;SG 1;FIN;IND;PRS;SG;V ADV ADJ ADP DET;SG N;SG _
yes , you must pay customs duties .	yes , you must pay custom duty .	INTJ _ 2;NOM;PRO FIN;V NFIN;V N;PL N;PL _
best ,	best ,	ADJ;RL _
kay	kay	PROPN;SG
david	david	PROPN;SG
fyi	fyi	ADV
walked in and was out ta there in 10 mins with a really good deal i thought i was going to be paying a lot because i had a dui but with my dui and sr - 22 they were able to get me the best deal out there .	walk in and be out of there in 10 min with a really good deal i think i be go to be pay a lot because i have a dui but with my dui and sr - 22 they be able to get i the best deal out there .	FIN;IND;PST;V ADV CONJ 3;FIN;IND;PST;SG;V ADP ADP ADV ADP NUM N;PL ADP DET;INDF ADV ADJ N;SG 1;NOM;PRO;SG FIN;IND;PST;V 1;NOM;PRO;SG 3;FIN;IND;PST;SG;V V;V.MSDR PART NFIN;V V;V.MSDR DET;INDF N;SG CONJ 1;NOM;PRO;SG FIN;IND;PST;V DET;INDF N;SG CONJ ADP 1;PRO;SG N;SG CONJ N;SG _ NUM 3;NOM;PL;PRO FIN;IND;PST;V ADJ PART NFIN;V 1;ACC;PRO;SG DEF;DET ADJ;RL N;SG ADV ADV _
good location and off road parking made our stay very convenient .	good location and off road parking make we stay very convenient .	ADJ N;SG CONJ ADP N;SG N;SG FIN;IND;PST;V 1;PL;PRO N;SG ADV ADJ _
i would recommend them to anyone !	i would recommend they to anyone !	1;NOM;PRO;SG FIN;V NFIN;V 3;ACC;PL;PRO ADP PRO;SG _
do you search every ambulance after a few suicide murderers use ambulances to reach their targets ?	do you search every ambulance after a few suicide murderer use ambulance to reach they target ?	FIN;IND;PRS;V 2;NOM;PRO NFIN;V DET N;SG CONJ DET;INDF ADJ N;SG N;PL FIN;IND;PRS;V N;PL PART NFIN;V 3;PL;PRO N;PL _
we called few companies before we decide to hire them .	we call few company before we decide to hire they .	1;NOM;PL;PRO FIN;IND;PST;V ADJ N;PL CONJ 1;NOM;PL;PRO FIN;IND;PRS;V PART NFIN;V 3;ACC;PL;PRO _
superb arrangements	superb arrangement	ADJ N;PL
once one had been received , the next ten , mailed on two separate dates , were easily collected .	once one have be receive , the next ten , mail on two separate date , be easily collect .	CONJ NUM FIN;IND;PST;V PST;V;V.PTCP PASS;PST;V;V.PTCP _ DEF;DET ADJ N;SG _ PST;V;V.PTCP ADP NUM ADJ N;PL _ FIN;IND;PST;V ADV PASS;PST;V;V.PTCP _
stay away	stay away	FIN;IMP;V ADV
how many of dad 's shares do you have ?	how many of dad 's share do you have ?	ADV ADJ ADP N;SG PART N;PL FIN;IND;PRS;V 2;NOM;PRO NFIN;V _
2005 is going to rock !	2005 be go to rock !	NUM 3;FIN;IND;PRS;SG;V PRS;V;V.PTCP PART NFIN;V _
in iraqi society , pm allawi is responsible for protecting his clan , including especially his first cousins , so this kidnapping makes him look weak and brings substantial shame on him .	in iraqi society , pm allawi be responsible for protect he clan , include especially he first cousin , so this kidnapping make he look weak and bring substantial shame on he .	ADP ADJ N;SG _ PROPN;SG PROPN;SG 3;FIN;IND;PRS;SG;V ADJ CONJ V;V.MSDR 3;MASC;PRO;SG N;SG _ V;V.MSDR ADV 3;MASC;PRO;SG ADJ N;PL _ ADV DET;SG N;SG 3;FIN;IND;PRS;SG;V 3;ACC;MASC;PRO;SG NFIN;V ADJ CONJ 3;FIN;IND;PRS;SG;V ADJ N;SG ADP 3;ACC;MASC;PRO;SG _
please let them know that i was simply quoting the ceo of a large , regulated utility in california .	please let they know that i be simply quote the ceo of a large , regulate utility in california .	INTJ FIN;IMP;V 3;ACC;PL;PRO NFIN;V CONJ 1;NOM;PRO;SG 1;FIN;IND;PST;SG;V ADV PRS;V;V.PTCP DEF;DET N;SG ADP DET;INDF ADJ _ PST;V;V.PTCP N;SG ADP PROPN;SG _
see http://www.gulf-news.com/articles/news.asp?articleid=97508	see http://www.gulf-news.com/articles/news.asp?articleid=97508	FIN;IMP;V _
let me know if you are interested .	let i know if you be interested .	FIN;IMP;V 1;ACC;PRO;SG NFIN;V CONJ 2;NOM;PRO FIN;IND;PRS;V ADJ _
thanks : john buchanan	thanks : john buchanan	N;SG _ PROPN;SG PROPN;SG
i lived in one that did not face the parking lot .	i live in one that do not face the parking lot .	1;NOM;PRO;SG FIN;IND;PST;V ADP NUM PRO FIN;IND;PST;V PART NFIN;V DEF;DET N;SG N;SG _
why did n't craig show ma his appartment ?	why do not craig show ma he apartment ?	ADV FIN;IND;PST;V PART PROPN;SG NFIN;V N;SG 3;MASC;PRO;SG N;SG _
08/16/2000 12:05 pm	08/16/2000 12:05 pm	NUM NUM N;SG
if that happens , separate them , and give them time apart .	if that happen , separate they , and give they time apart .	CONJ PRO;SG 3;FIN;IND;PRS;SG;V _ FIN;IMP;V 3;ACC;PL;PRO _ CONJ FIN;IMP;V 3;ACC;PL;PRO N;SG ADV _
great place	great place	ADJ N;SG
again dr. fortier threw rocks at the bear and again its target was able to escape .	again dr. fortier throw rock at the bear and again its target be able to escape .	ADV PROPN;SG PROPN;SG FIN;IND;PST;V N;PL ADP DEF;DET N;SG CONJ ADV 3;NEUT;PRO;SG N;SG 3;FIN;IND;PST;SG;V ADJ PART NFIN;V _
they were from all accounts marginalized and not listened to .	they be from all account marginalize and not listen to .	3;NOM;PL;PRO FIN;IND;PST;V ADP DET N;PL PASS;PST;V;V.PTCP CONJ PART PST;V;V.PTCP ADP _
thanks .	thanks .	N;SG _
$ 489 b - the us trade deficit in 2003 , the worst in history for a single year .	$ 489 b - the us trade deficit in 2003 , the worst in history for a single year .	_ NUM NUM _ DEF;DET PROPN;SG N;SG N;SG ADP NUM _ DEF;DET ADJ;RL ADP N;SG ADP DET;INDF ADJ N;SG _
hotmail	hotmail	PROPN;SG
sorry about the flooding .	sorry about the flooding .	ADJ ADP DEF;DET N;SG _
which of these do you like : mcdonald s , burger king , taco bell , wendy s ?	which of these do you like : mcdonald 's , burger king , taco bell , wendy 's ?	PRO ADP PL;PRO FIN;IND;PRS;V 2;NOM;PRO NFIN;V _ PROPN;SG PART _ PROPN;SG PROPN;SG _ PROPN;SG PROPN;SG _ PROPN;SG PART _
read the entire article ; there 's a punchline , too .	read the entire article ; there be a punchline , too .	FIN;IMP;V DEF;DET ADJ N;SG _ PRO 3;FIN;IND;PRS;SG;V DET;INDF N;SG _ ADV _
forget the one or more contract questions .	forget the one or more contract question .	FIN;IMP;V DEF;DET NUM CONJ ADJ;CMPR N;SG N;PL _
" terry said he made that filing in the interest of californians , but i find that argument has no basis in fact . ''	" terry say he make that filing in the interest of californians , but i find that argument have no basis in fact . ''	_ PROPN;SG FIN;IND;PST;V 3;MASC;NOM;PRO;SG FIN;IND;PST;V DET;SG N;SG ADP DEF;DET N;SG ADP PL;PROPN _ CONJ 1;NOM;PRO;SG FIN;IND;PRS;V DET;SG N;SG 3;FIN;IND;PRS;SG;V DET N;SG ADP N;SG _ _
i will have the epm test done before treating .	i will have the epm test do before treat .	1;NOM;PRO;SG FIN;V NFIN;V DEF;DET N;SG N;SG PST;V;V.PTCP CONJ V;V.MSDR _
worse comes to worse , i 'm out of the $ $ and have to put him down anyway or have a pretty pasture ornament .	worse come to worse , i be out of the $ $ and have to put he down anyway or have a pretty pasture ornament .	ADJ;CMPR 3;FIN;IND;PRS;SG;V ADP ADJ;CMPR _ 1;NOM;PRO;SG FIN;IND;PRS;V ADP ADP DEF;DET _ _ CONJ FIN;IND;PRS;V PART NFIN;V 3;ACC;MASC;PRO;SG ADP ADV CONJ FIN;IND;PRS;V DET;INDF ADJ N;SG N;SG _
after looking at the menu and seeing the new menu items they had , we knew we were in for a treat !	after look at the menu and see the new menu item they have , we know we be in for a treat !	CONJ V;V.MSDR ADP DEF;DET N;SG CONJ V;V.MSDR DEF;DET ADJ N;SG N;PL 3;NOM;PL;PRO FIN;IND;PST;V _ 1;NOM;PL;PRO FIN;IND;PST;V 1;NOM;PL;PRO FIN;IND;PST;V ADP ADP DET;INDF N;SG _
we do n't want too many tourists , and since we 'll both be out of school we can go anytime between the middle of june to early november .	we do not want too many tourist , and since we will both be out of school we can go anytime between the middle of june to early november .	1;NOM;PL;PRO FIN;IND;PRS;V PART NFIN;V ADV ADJ N;PL _ CONJ CONJ 1;NOM;PL;PRO FIN;V ADV NFIN;V ADP ADP N;SG 1;NOM;PL;PRO FIN;V NFIN;V ADV ADP DEF;DET N;SG ADP PROPN;SG ADP ADJ PROPN;SG _
they are also friendly .	they be also friendly .	3;NOM;PL;PRO FIN;IND;PRS;V ADV ADJ _
i have no idea if that is related or farmers are doing a better job of clearing out opossums now because they know opossums are carriers , but we have n't had an epm horse in at least 10 years .	i have no idea if that be related or farmer be do a better job of clear out opossum now because they know opossum be carrier , but we have not have a epm horse in at least 10 year .	1;NOM;PRO;SG FIN;IND;PRS;V DET N;SG CONJ PRO;SG 3;FIN;IND;PRS;SG;V ADJ CONJ N;PL FIN;IND;PRS;V PRS;V;V.PTCP DET;INDF ADJ;CMPR N;SG CONJ V;V.MSDR ADP N;PL ADV CONJ 3;NOM;PL;PRO FIN;IND;PRS;V N;PL FIN;IND;PRS;V N;PL _ CONJ 1;NOM;PL;PRO FIN;IND;PRS;V PART PST;V;V.PTCP DET;INDF N;SG N;SG ADP ADV ADV;RL NUM N;PL _
---------------------------------------------------------------------	---------------------------------------------------------------------	_
goodwyn : the candidate mr. bush was working for , red blount , had gotten rich in alabama in the construction business .	goodwyn : the candidate mr. bush be work for , red blount , have get rich in alabama in the construction business .	PROPN;SG _ DEF;DET N;SG PROPN;SG PROPN;SG 3;FIN;IND;PST;SG;V PRS;V;V.PTCP ADP _ PROPN;SG PROPN;SG _ FIN;IND;PST;V PST;V;V.PTCP ADJ ADP PROPN;SG ADP DEF;DET N;SG N;SG _
i seem to recall the object was to smuggle explosives .	i seem to recall the object be to smuggle explosive .	1;NOM;PRO;SG FIN;IND;PRS;V PART NFIN;V DEF;DET N;SG 3;FIN;IND;PST;SG;V PART NFIN;V N;PL _
they need to update the locker rooms asap .	they need to update the locker room asap .	3;NOM;PL;PRO FIN;IND;PRS;V PART NFIN;V DEF;DET N;SG N;PL ADV _
i asked her if she had any relatives that would want to know of her whereabouts .	i ask she if she have any relative that would want to know of she whereabouts .	1;NOM;PRO;SG FIN;IND;PST;V 3;ACC;FEM;PRO;SG CONJ 3;FEM;NOM;PRO;SG FIN;IND;PST;V DET N;PL PRO FIN;V NFIN;V PART NFIN;V ADP 3;FEM;PRO;SG N;PL _
