numera växer pinjer , cypresser och eukalyptusträd där nedanför den ryska ortodoxa kyrkans kupoler .	numera växa pinje , cypress och eukalyptusträd där nedanför den rysk ortodox kyrka kupol .	ADV ACT;FIN;IND;PRS;V INDF;MASC+FEM;N;NOM;PL _ INDF;MASC+FEM;N;NOM;PL CONJ INDF;N;NEUT;NOM;PL ADV ADP DEF;DET;MASC+FEM;SG ADJ;DEF;NOM;SG ADJ;DEF;NOM;SG DEF;GEN;MASC+FEM;N;SG INDF;MASC+FEM;N;NOM;PL _
bray hade en känsla av att han måste uppehålla sig någonstans i närheten ; det var svårt att föreställa sig denna epok utan honom .	bray ha en känsla av att han måste uppehålla sig någonstans i närhet ; det vara svår att föreställa sig denna epok utan han .	NOM;PROPN;SG ACT;FIN;IND;PST;V DET;INDF;MASC+FEM;SG INDF;MASC+FEM;N;NOM;SG ADP CONJ DEF;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V ACT;NFIN;V ACC;DEF;PRO ADV ADP DEF;MASC+FEM;N;NOM;SG _ DEF;NEUT;PRO;SG ACT;FIN;IND;PST;V ADJ;INDF;NEUT;NOM;SG PART ACT;NFIN;V ACC;DEF;PRO DEF;DET;MASC+FEM;SG INDF;MASC+FEM;N;NOM;SG ADP ACC;DEF;MASC+FEM;PRO;SG _
harrys hjärta tog ett skutt .	harry hjärta ta en skutt .	GEN;PROPN INDF;N;NEUT;NOM;SG ACT;FIN;IND;PST;V DET;INDF;NEUT;SG INDF;N;NEUT;NOM;SG _
mer exakt vet vi att han skrev detektivromaner .	mer exakt veta vi att han skriva detektivroman .	ADV;CMPR ADV ACT;FIN;IND;PRS;V DEF;MASC+FEM;NOM;PL;PRO CONJ DEF;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PST;V INDF;MASC+FEM;N;NOM;PL _
den kommer inte bara att påverka våra ekonomier utan också och framför allt utsikterna för en demokrati på global nivå .	den komma inte bara att påverka vi ekonomi utan också och framför allt utsikt för en demokrati på global nivå .	DEF;PL;PRO ACT;FIN;IND;PRS;V PART ADV PART ACT;NFIN;V DEF;GEN;PL;PRO INDF;MASC+FEM;N;NOM;PL CONJ ADV CONJ ADV;NOM INDF;NEUT;PRO;SG DEF;MASC+FEM;N;NOM;PL ADP DET;INDF;MASC+FEM;SG INDF;MASC+FEM;N;NOM;SG ADP ADJ;INDF;MASC+FEM;NOM;SG INDF;MASC+FEM;N;NOM;SG _
dom är patetiska helt enkelt ;	de vara patetisk helt enkelt ;	PRO ACT;FIN;IND;PRS;V ADJ;INDF;NOM;PL ADV ADV _
4 det inre fältets element upprepas för varje element i det yttre fältet .	4 den inre fält element upprepa för varje element i den yttre fält .	NUM DEF;DET;NEUT;SG ADJ;CMPR;NOM DEF;GEN;N;NEUT;SG INDF;N;NEUT;NOM;PL FIN;IND;PASS;PRS;V ADP DET;INDF;SG INDF;N;NEUT;NOM;SG ADP DEF;DET;SG ADJ;CMPR;NOM DEF;N;NEUT;NOM;SG _
" på det utrikespolitiska området har ryssarna upplevt en så gott som obruten rad av nederlag och besvikelser .	" på den utrikespolitisk område ha ryss uppleva en så gott som obruten rad av nederlag och besvikelse .	_ ADP DEF;DET;NEUT;SG ADJ;DEF;NOM;SG DEF;N;NEUT;NOM;SG ACT;FIN;IND;PRS;V DEF;MASC+FEM;N;NOM;PL ACT;V;V.CVB DET;INDF;MASC+FEM;SG ADV ADV ADP ADJ;INDF;NOM;SG INDF;MASC+FEM;N;NOM;SG ADP INDF;N;NEUT;NOM;PL CONJ INDF;MASC+FEM;N;NOM;PL _
du ändrar layout genom att flytta fälten till fördefinierade släppområden i diagrammets arbetsyta .	du ändra layout genom att flytta fält till fördefinierad släppområde i diagram arbetsyta .	DEF;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V INDF;MASC+FEM;N;NOM;SG ADP PART ACT;NFIN;V DEF;N;NEUT;NOM;PL ADP ADJ;INDF;NOM;PL INDF;N;NEUT;NOM;PL ADP DEF;GEN;N;NEUT;SG INDF;MASC+FEM;N;NOM;SG _
stoa , som tog fram ett dokument åt oss , av vilket framgick att bränslen med låg svavelhalt är nödvändiga .	stoa , som ta fram en dokument åt vi , av vilken framgå att bränsle med låg svavelhalt vara nödvändig .	NOM;PROPN _ PRO ACT;FIN;IND;PST;V ADV DET;INDF;NEUT;SG INDF;N;NEUT;NOM;SG ADP ACC;DEF;MASC+FEM;PL;PRO _ ADP INDF;NEUT;PRO;SG ACT;FIN;IND;PST;V CONJ DEF;N;NEUT;NOM;PL ADP ADJ;INDF;MASC+FEM;NOM;SG INDF;MASC+FEM;N;NOM;SG ACT;FIN;IND;PRS;V ADJ;INDF;NOM;PL _
om filtrering av data i pivottabellvy	om filtrering av data i pivottabellvy	ADP INDF;MASC+FEM;N;NOM;SG ADP INDF;N;NEUT;NOM;PL ADP INDF;MASC+FEM;N;NOM;SG
kan du inte skaffa dig en sån där vacker hatt ? "	kunna du inte skaffa du en sådan där vacker hatt ? "	ACT;FIN;IND;PRS;V DEF;MASC+FEM;NOM;PRO;SG PART ACT;NFIN;V ACC;DEF;MASC+FEM;PRO;SG DET;INDF;MASC+FEM;SG ADJ;INDF;MASC+FEM;NOM;SG ADV ADJ;INDF;MASC+FEM;NOM;SG INDF;MASC+FEM;N;NOM;SG _ _
vi strävade på , stannade , landsatte soldater , lade ut igen , landsatte tulltjänstemän som skulle ta upp tull i vad som såg ut som en av gud och människor bortglömd vildmark med ett vilsekommet plåtskjul och en flaggstång i ; landsatte flera soldater – som förmodligen skulle försvara tulltjänstemännen .	vi sträva på , stanna , landsätta soldat , lägga ut igen , landsätta tulltjänsteman som skola ta upp tull i vad som se ut som en av gud och människa bortglömd vildmark med en vilsekommen plåtskjul och en flaggstång i ; landsätta fler soldat – som förmodligen skola försvara tulltjänsteman .	DEF;MASC+FEM;NOM;PL;PRO ACT;FIN;IND;PST;V ADV;NOM _ ACT;FIN;IND;PST;V _ ACT;FIN;IND;PST;V INDF;MASC+FEM;N;NOM;PL _ ACT;FIN;IND;PST;V ADV ADV _ ACT;FIN;IND;PST;V INDF;MASC+FEM;N;NOM;PL PRO ACT;FIN;IND;PST;V ACT;NFIN;V ADV INDF;MASC+FEM;N;NOM;SG ADP INDF;NEUT;PRO;SG PRO ACT;FIN;IND;PST;V ADV ADP DET;INDF;MASC+FEM;SG ADP NOM;PROPN CONJ INDF;MASC+FEM;N;NOM;PL ADJ;INDF;MASC+FEM;NOM;SG INDF;MASC+FEM;N;NOM;SG ADP DET;INDF;NEUT;SG ADJ;INDF;NEUT;NOM;SG INDF;N;NEUT;NOM;SG CONJ DET;INDF;MASC+FEM;SG INDF;MASC+FEM;N;NOM;SG ADP _ ACT;FIN;IND;PST;V ADJ;INDF;NOM;PL INDF;MASC+FEM;N;NOM;PL _ PRO ADV ACT;FIN;IND;PST;V ACT;NFIN;V DEF;N;NEUT;NOM;PL _
jag tror att jag gör det nu , fast säker är jag inte – inte alls .	jag tro att jag göra det nu , fast säker vara jag inte – inte alls .	DEF;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V CONJ DEF;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V DEF;NEUT;PRO;SG ADV _ CONJ ADJ;INDF;NOM;SG ACT;FIN;IND;PRS;V DEF;MASC+FEM;NOM;PRO;SG PART _ PART ADV _
en av mina älsklingsböcker , sa quinn .	en av jag älsklingsbok , säga quinn .	INDF;MASC+FEM;PRO;SG ADP DEF;GEN;PL;PRO INDF;MASC+FEM;N;NOM;PL _ ACT;FIN;IND;PST;V NOM;PROPN;SG _
därefter fick han anstränga sig till det yttersta för att visa sig lugn .	därefter få han anstränga sig till den ytterst för att visa sig lugn .	ADV ACT;FIN;IND;PST;V DEF;MASC+FEM;NOM;PRO;SG ACT;NFIN;V ACC;DEF;PRO ADP DEF;DET;NEUT;SG ADJ;DEF;NOM;RL ADP PART ACT;NFIN;V ACC;DEF;PRO ADJ;INDF;NOM;SG _
men förstår de vad de har hört ?	men förstå de vad de ha höra ?	CONJ ACT;FIN;IND;PRS;V DEF;NOM;PL;PRO INDF;NEUT;PRO;SG DEF;NOM;PL;PRO ACT;FIN;IND;PRS;V ACT;V;V.CVB _
harry , ron och george tänkte gå till den lilla hästhagen uppe på kullen som familjen weasley ägde .	harry , ron och george tänka gå till den liten hästhage uppe på kull som familj weasley äga .	NOM;PROPN;SG _ NOM;PROPN;SG CONJ NOM;PROPN;SG ACT;FIN;IND;PST;V ACT;NFIN;V ADP DEF;DET;MASC+FEM;SG ADJ;DEF;NOM;SG DEF;MASC+FEM;N;NOM;SG ADV ADP DEF;MASC+FEM;N;NOM;SG PRO DEF;MASC+FEM;N;NOM;SG NOM;PROPN;SG ACT;FIN;IND;PST;V _
den värsta födelsedagen	den dålig födelsedag	DEF;DET;MASC+FEM;SG ADJ;DEF;NOM;RL DEF;MASC+FEM;N;NOM;SG
en karavan hade anlänt .	en karavan ha anlända .	DET;INDF;MASC+FEM;SG INDF;MASC+FEM;N;NOM;SG ACT;FIN;IND;PST;V ACT;V;V.CVB _
men efter tre timmars säkerhetsövningar på heathrow är jag hungrig .	men efter tre timme säkerhetsövning på heathrow vara jag hungrig .	CONJ ADP NUM GEN;INDF;MASC+FEM;N;PL INDF;MASC+FEM;N;NOM;PL ADP NOM;PROPN ACT;FIN;IND;PRS;V DEF;MASC+FEM;NOM;PRO;SG ADJ;INDF;MASC+FEM;NOM;SG _
jag hoppas att de inte godkänns , de är nämligen ett gott exempel på vad detta parlament inte får göra .	jag hoppas att de inte godkänna , de vara nämligen en god exempel på vad detta parlament inte få göra .	DEF;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V CONJ DEF;NOM;PL;PRO PART FIN;IND;PASS;PRS;V _ DEF;NOM;PL;PRO ACT;FIN;IND;PRS;V ADV DET;INDF;NEUT;SG ADJ;INDF;NEUT;NOM;SG INDF;N;NEUT;NOM;SG ADP INDF;NEUT;PRO;SG DEF;DET;NEUT;SG INDF;N;NEUT;NOM;SG PART ACT;FIN;IND;PRS;V ACT;NFIN;V _
jag kom hit för att träffa paul auster , privatdetektiven .	jag komma hit för att träffa paul auster , privatdetektiv .	DEF;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PST;V ADV ADP PART ACT;NFIN;V NOM;PROPN NOM;PROPN _ DEF;MASC+FEM;N;NOM;SG _
ibland brukade stillman efter en sådan ingående undersökning kasta tillbaka föremålet på trottoaren igen , men för det mesta öppnade han sin väska och stoppade försiktigt ner det i den .	ibland bruka stillman efter en sådan ingående undersökning kasta tillbaka föremål på trottoar igen , men för den mycken öppna han sin väska och stoppa försiktigt ner det i den .	ADV ACT;FIN;IND;PST;V NOM;PROPN ADP DET;INDF;MASC+FEM;SG ADJ;INDF;MASC+FEM;NOM;SG ADJ;NOM INDF;MASC+FEM;N;NOM;SG ACT;NFIN;V ADV DEF;N;NEUT;NOM;SG ADP DEF;MASC+FEM;N;NOM;SG ADV _ CONJ ADP DEF;DET;NEUT;SG ADJ;DEF;NOM;RL ACT;FIN;IND;PST;V DEF;MASC+FEM;NOM;PRO;SG DEF;GEN;MASC+FEM;PRO;SG INDF;N;NEUT;NOM;SG CONJ ACT;FIN;IND;PST;V ADV ADV DEF;NEUT;PRO;SG ADP DEF;PL;PRO _
för guds skull , låt dom behålla den , det är andras tur att bränna midnattsoljan där nu ...	för gud skull , låta de behålla den , det vara annan tur att bränna midnattsolja där nu ...	ADP GEN;PROPN INDF;MASC+FEM;N;NOM;SG _ ACT;FIN;IMP;V PRO ACT;NFIN;V DEF;MASC+FEM;PRO;SG _ DEF;NEUT;PRO;SG ACT;FIN;IND;PRS;V DEF;GEN;PRO INDF;MASC+FEM;N;NOM;SG PART ACT;NFIN;V DEF;MASC+FEM;N;NOM;SG ADV ADV _
enligt vår åsikt är internet ett bra sätt att komma runt denna flaskhals .	enligt vi åsikt vara internet en bra sätt att komma runt denna flaskhals .	ADP DEF;GEN;MASC+FEM;PRO;SG INDF;MASC+FEM;N;NOM;SG ACT;FIN;IND;PRS;V NOM;PROPN DET;INDF;NEUT;SG ADJ;NOM INDF;N;NEUT;NOM;SG PART ACT;NFIN;V ADP DEF;DET;MASC+FEM;SG INDF;MASC+FEM;N;NOM;SG _
om det finns något område där europeiska unionen både bör intensifiera sina åtgärder och vara sporrande , är det definitivt på dessa specifika områden som är nödvändiga för våra landsmäns hälsa .	om det finnas någon område där europeisk union både böra intensifiera sin åtgärd och vara sporra , vara det definitiv på dessa specifik område som vara nödvändig för vi landsman hälsa .	CONJ DEF;NEUT;PRO;SG FIN;IND;PRS;V DET;INDF;NEUT;SG INDF;N;NEUT;NOM;SG ADV ADJ;DEF;NOM;SG DEF;MASC+FEM;N;NOM;SG CONJ ACT;FIN;IND;PRS;V ACT;NFIN;V DEF;GEN;PL;PRO INDF;MASC+FEM;N;NOM;PL CONJ ACT;NFIN;V ACT;IND;V;V.PTCP _ ACT;FIN;IND;PRS;V DEF;NEUT;PRO;SG ADJ;NOM ADP DEF;DET;PL ADJ;DEF;NOM;PL INDF;N;NEUT;NOM;PL PRO ACT;FIN;IND;PRS;V ADJ;INDF;NOM;PL ADP DEF;GEN;PL;PRO GEN;INDF;MASC+FEM;N;PL INDF;MASC+FEM;N;NOM;SG _
han pekade upphetsat på tiopundssedlarna i mr grangers hand .	han peka upphetsad på tiopundssedel i mr granger hand .	DEF;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PST;V ADV ADP DEF;MASC+FEM;N;NOM;PL ADP INDF;MASC+FEM;N;NOM;SG GEN;PROPN INDF;MASC+FEM;N;NOM;SG _
om att använda anslutningsfiler	om att använda anslutningsfil	ADP PART ACT;NFIN;V INDF;MASC+FEM;N;NOM;PL
utanför ytterdörren låg en massa gummistövlar i en enda röra tillsammans med en väldigt rostig kittel .	utanför ytterdörr ligga en massa gummistövel i en enda röra tillsammans med en väldigt rostig kittel .	ADP DEF;MASC+FEM;N;NOM;SG ACT;FIN;IND;PST;V DET;INDF;MASC+FEM;SG INDF;MASC+FEM;N;NOM;SG INDF;MASC+FEM;N;NOM;PL ADP DET;INDF;MASC+FEM;SG ADJ;NOM INDF;MASC+FEM;N;NOM;SG ADV ADP DET;INDF;MASC+FEM;SG ADV ADJ;INDF;MASC+FEM;NOM;SG INDF;MASC+FEM;N;NOM;SG _
det första gäller ändringen att man inte längre skall få bilda en politisk grupp med ledamöter från bara ett land .	det först gälla ändring att man inte längre skola få bilda en politisk grupp med ledamot från bara en land .	DEF;DET;NEUT;SG ADJ;NOM ACT;FIN;IND;PRS;V DEF;MASC+FEM;N;NOM;SG CONJ INDF;MASC+FEM;NOM;PRO;SG PART ADV;CMPR ACT;FIN;IND;PRS;V ACT;NFIN;V ACT;NFIN;V DET;INDF;MASC+FEM;SG ADJ;INDF;MASC+FEM;NOM;SG INDF;MASC+FEM;N;NOM;SG ADP INDF;MASC+FEM;N;NOM;PL ADP ADV DET;INDF;NEUT;SG INDF;N;NEUT;NOM;SG _
att en intensiv medvetenhet om hans eget jag sköljde över honom som om något stimulerande medel hade injicerats direkt i hans ådror .	att en intensiv medvetenhet om han egen jag skölja över han som om någon stimulera medel ha injicera direkt i han ådra .	CONJ DET;INDF;MASC+FEM;SG ADJ;INDF;MASC+FEM;NOM;SG INDF;MASC+FEM;N;NOM;SG ADP DEF;GEN;PRO ADJ;NEUT;NOM;SG DEF;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PST;V ADP ACC;DEF;MASC+FEM;PRO;SG CONJ CONJ DET;INDF;NEUT;SG ADJ;NOM;PRS;V.PTCP INDF;N;NEUT;NOM;SG ACT;FIN;IND;PST;V PASS;V;V.CVB ADV ADP DEF;GEN;PRO INDF;MASC+FEM;N;NOM;PL _
effekt av filtrering och att ändra layout	effekt av filtrering och att ändra layout	INDF;MASC+FEM;N;NOM;SG ADP INDF;MASC+FEM;N;NOM;SG CONJ PART ACT;NFIN;V INDF;MASC+FEM;N;NOM;SG
han hade följt efter gubben i två veckor .	han ha följa efter gubbe i två vecka .	DEF;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PST;V ACT;V;V.CVB ADV;NOM DEF;MASC+FEM;N;NOM;SG ADP NUM INDF;MASC+FEM;N;NOM;PL _
till sist lyckades han ta sig samman och satt och tittade på harry med ett uttryck av tårfylld beundran i sina enorma ögon .	till sist lyckas han ta sig samman och sitta och titta på harry med en uttryck av tårfylld beundran i sin enorm öga .	ADV ADV;RL ACT;FIN;IND;PST;V DEF;MASC+FEM;NOM;PRO;SG ACT;NFIN;V ACC;DEF;PRO ADV CONJ ACT;FIN;IND;PST;V CONJ ACT;FIN;IND;PST;V ADP NOM;PROPN;SG ADP DET;INDF;NEUT;SG INDF;N;NEUT;NOM;SG ADP ADJ;INDF;NOM;SG INDF;MASC+FEM;N;NOM;SG ADP DEF;GEN;PL;PRO ADJ;INDF;NOM;PL INDF;N;NEUT;NOM;PL _
hans yttrande väckte ingen förvåning .	han yttrande väcka ingen förvåning .	DEF;GEN;PRO INDF;N;NEUT;NOM;SG ACT;FIN;IND;PST;V DET;INDF;MASC+FEM;SG INDF;MASC+FEM;N;NOM;SG _
man är i en stad som liknar många andra fast inte riktigt , eftersom jerusalem är den enda uråldriga stad jag någonsin sett där fornminnena inte förevisas som reliker utan är i dagligt bruk .	man vara i en stad som likna mången annan fast inte riktigt , eftersom jerusalem vara den enda uråldrig stad jag någonsin se där fornminne inte förevisa som relik utan vara i daglig bruk .	INDF;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V ADP DET;INDF;MASC+FEM;SG INDF;MASC+FEM;N;NOM;SG PRO ACT;FIN;IND;PRS;V ADJ;INDF;NOM;PL ADJ;INDF;NOM;PL CONJ PART ADV _ CONJ NOM;PROPN ACT;FIN;IND;PRS;V DEF;DET;MASC+FEM;SG ADJ;NOM ADJ;DEF;MASC+FEM;NOM;SG INDF;MASC+FEM;N;NOM;SG DEF;MASC+FEM;NOM;PRO;SG ADV ACT;V;V.CVB ADV DEF;MASC+FEM;N;NOM;PL PART FIN;IND;PASS;PRS;V ADP INDF;MASC+FEM;N;NOM;PL CONJ ACT;FIN;IND;PRS;V ADP ADJ;INDF;NEUT;NOM;SG INDF;N;NEUT;NOM;SG _
jag vågar inte säga på middag ... vi är hemlösa , förstår du ...	jag våga inte säga på middag ... vi vara hemlös , förstå du ...	DEF;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V PART ACT;NFIN;V ADP INDF;MASC+FEM;N;NOM;SG _ DEF;MASC+FEM;NOM;PL;PRO ACT;FIN;IND;PRS;V ADJ;INDF;NOM;PL _ ACT;FIN;IND;PRS;V DEF;MASC+FEM;NOM;PRO;SG _
xml-syntaxen ( märkena och deras placering i dokumentet ) definierar och beskriver informationen i ett xml-dokument men anger inte hur den ska visas .	xml-syntax ( märkena och de placering i dokument ) definiera och beskriva information i en xml-dokument men ange inte hur den skola visa .	DEF;MASC+FEM;N;NOM;SG _ DEF;MASC+FEM;N;NOM;PL CONJ DEF;GEN;PRO INDF;MASC+FEM;N;NOM;SG ADP DEF;N;NEUT;NOM;SG _ ACT;FIN;IND;PRS;V CONJ ACT;FIN;IND;PRS;V DEF;MASC+FEM;N;NOM;SG ADP DET;INDF;NEUT;SG INDF;N;NEUT;NOM;SG CONJ ACT;FIN;IND;PRS;V PART ADV DEF;MASC+FEM;PRO;SG ACT;FIN;IND;PRS;V NFIN;PASS;V _
ni sitter där och tänker : vem är den person som talar till mig ?	ni sitta där och tänka : vem vara den person som tala till jag ?	DEF;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V ADV CONJ ACT;FIN;IND;PRS;V _ INDF;MASC+FEM;PRO;SG ACT;FIN;IND;PRS;V DEF;DET;MASC+FEM;SG INDF;MASC+FEM;N;NOM;SG PRO ACT;FIN;IND;PRS;V ADP ACC;DEF;MASC+FEM;PRO;SG _
konsuln och hans hustru hade svepts undan i ett eller annat rum åt baksidan av medarbetare och sekreterare och nödvändigheten att hålla deras katter ur vägen för lady dorothys hund .	konsul och han hustru ha svepa undan i en eller annan rum åt baksida av medarbetare och sekreterare och nödvändighet att hålla de katt ur väg för lady dorothy hund .	DEF;MASC+FEM;N;NOM;SG CONJ DEF;GEN;PRO INDF;MASC+FEM;N;NOM;SG ACT;FIN;IND;PST;V PASS;V;V.CVB ADV ADP DET;INDF;NEUT;SG CONJ ADJ;INDF;NEUT;NOM;SG INDF;N;NEUT;NOM;SG ADP DEF;MASC+FEM;N;NOM;SG ADP INDF;MASC+FEM;N;NOM;PL CONJ INDF;MASC+FEM;N;NOM;PL CONJ DEF;MASC+FEM;N;NOM;SG PART ACT;NFIN;V DEF;GEN;PRO INDF;MASC+FEM;N;NOM;PL ADP DEF;MASC+FEM;N;NOM;SG ADP INDF;N;NEUT;NOM;SG GEN;PROPN INDF;MASC+FEM;N;NOM;SG _
