दोन लाडू शिल्लक होते .	दोन लाडू शिल्लक असणे .	NUM MASC;N;NOM;SG ADJ;NOM 3;FIN;MASC;PL;PST;V _
आज मी तुला तू मागशील ती किंमत द्यायला तयार झालो होतो ; परंतु _ _ बुद्धी भ्रष्ट झाली आहे .	आज मी तू तू मागणे तो किंमत देणे तयार होणे असणे ; परंतु तू चा बुद्धी भ्रष्ट होणे असणे .	ADV 1;NOM;PRO;SG 2;DAT;PRO;SG 2;NOM;PRO;SG 2;FIN;FUT;SG;V DET;FEM;SG ACC;FEM;N;SG V;V.CVB ADV 1;FIN;MASC;PFV;SG;V 1;FIN;MASC;PST;SG;V _ CONJ 2;PRO;SG ADP;FEM;SG FEM;N;NOM;SG ADJ;NOM 3;FEM;FIN;PFV;SG;V 3;FIN;PRS;SG;V _
आता जाते .	आता जाणे .	ADV 1;FEM;FIN;IPFV;PRS;SG;V _
" _ _ बाबतीत देव मेला , तसा _ _ _ _ मरायचा ! "	" तो चा बाबत देव मरणे , तसा आपण चा बाबत ही मरणे ! "	_ 3;MASC;PL;PRO ADP ESS;FEM;N;SG MASC;N;NOM;SG 3;FIN;MASC;PFV;SG;V _ CONJ PRO ADP ESS;FEM;N;SG PART 3;FIN;HAB;IND;MASC;PST;SG;V _ _
" बाबा , शेत का तुम्ही विकणार ? "	" बाबा , शेत का तू विकणे ? "	_ MASC;N;NOM;SG _ ACC;N;NEUT;SG ADV 2;NOM;PL;PRO FIN;PROSP;V _ _
भीमा दुःखाने घरी गेला .	भीमा दुःख घरी जाणे .	MASC;NOM;PROPN;SG INS;N;NEUT;SG ADV 3;FIN;MASC;PFV;SG;V _
सापाला _ _ तुकडा कापून देऊन _ _ प्राण तुम्ही वाचविले .	साप मांडी चा तुकडा कापणे देणे मी चा प्राण तू वाचवणे .	DAT;MASC;N;SG FEM;N;SG ADP;MASC;SG ACC;MASC;N;SG PFV;V;V.CVB PFV;V;V.CVB 1;PRO;SG ADP;NEUT;SG ACC;N;NEUT;SG 2;NOM;PL;PRO 3;FIN;NEUT;PFV;SG;V _
ती अजून जेम्सला शोधायचा प्रयत्न करत आहे .	तो अजून जेम्स शोधणे प्रयत्न करणे असणे .	3;FEM;NOM;PRO;SG ADV ACC;MASC;PROPN;SG 3;MASC;SG;V;V.PTCP MASC;N;NOM;SG IPFV;V;V.PTCP 3;FIN;PRS;SG;V _
राजपुत्र दोन भावांना म्हणाला , त्या राजधानीत जा .	राजपुत्र दोन भाऊ म्हणणे , तो राजधानी जाणे .	MASC;N;NOM;SG NUM DAT;MASC;N;PL 3;FIN;MASC;PFV;SG;V _ DET ESS;FEM;N;SG 2;FIN;IMP;PL;V _
राजपुत्र जणू शांत झोपला होता .	राजपुत्र जणू शांत झोपणे असणे .	MASC;N;NOM;SG ADV ADV 3;FIN;MASC;PFV;SG;V 3;FIN;MASC;PST;SG;V _
_ _ _ _ _ _ _ _ _ _ शेकडो मोठमोठी माणसे येणार होती .	राजा चा सत्कारसमारंभ साठी आजूबाजू चा पाच पन्नास कोस तील शेकडो मोठमोठा माणूस येणे असणे .	MASC;N;SG ADP MASC;N;SG ADP MASC;N;SG ADP NUM NUM MASC;N;PL ADP ADJ ADJ;MASC;NOM;PL MASC;N;PL FIN;PROSP;V 3;FIN;MASC;PL;PST;V _
_ _ ती पळत सुटली .	वारा प्रमाणे तो पळणे सुटणे .	MASC;N;SG ADP 3;FEM;NOM;PRO;SG IPFV;V;V.PTCP 3;FEM;FIN;PFV;SG;V _
पाडसे वाट पाहत असतील .	पाडस वाट पहाणे असणे .	N;NEUT;NOM;PL FEM;N;NOM;SG IPFV;V;V.PTCP 3;FIN;FUT;PL;V _
सावकारी पाशात सारे शेतकरी सापडले .	सावकारी पाशा सारा शेतकरी सापडणे .	ADJ ESS;MASC;N;SG ADJ;MASC;NOM;PL MASC;N;PL 3;FIN;MASC;PFV;PL;V _
चिंता नको करूस !	चिंता नको करूस !	ACC;FEM;N;SG 2;FIN;NEG;SG;V 2;FIN;IMP;SG;V _
आज ना उद्या सुधारेल तो .	आज ना उद्या सुधारणे तो .	ADV CONJ ADV 3;FIN;FUT;SG;V 3;MASC;NOM;PRO;SG _
या _ _ _ एकट्या कुठे जाता ?	हा रान वन आतून एकटा कुठे जाणे ?	DET;NEUT;SG MASC;N;SG N;NEUT;SG ADP ADV ADV 2;FIN;IPFV;PL;PRS;V _
थोड्या वेळाने खुशमस्कऱ्या जायला निघाला .	थोडा वेळ खुशमस्कऱ्या जाणे निघाला .	ADJ FEM;INS;N;SG MASC;N;NOM;SG V;V.CVB 3;FIN;MASC;PFV;SG;V _
_ _ एक छोटा कुत्रा आहे , _ _ आता बागेत आहे .	जेम्स चा एक छोटा कुत्रा असणे , कुत्रा सुद्धा आता बाग असणे .	MASC;PROPN;SG ADP;MASC;SG DET;SG ADJ;MASC;NOM;SG MASC;N;NOM;SG 3;FIN;PRS;SG;V _ MASC;N;NOM;SG PART ADV ESS;FEM;N;SG 3;FIN;PRS;SG;V _
_ _ जाऊन बस .	शहर बाहेर जाणे बसणे .	N;NEUT;SG ADP PFV;V;V.CVB 2;FIN;IMP;SG;V _
मेरी सावकाश बागेत चालते .	मेरी सावकाश बाग चालते .	FEM;NOM;PROPN;SG ADV ESS;FEM;N;SG 3;FEM;FIN;IPFV;PRS;SG;V _
या _ _ राजा _ _ निघाला होता .	हा प्रांत चा राजा दौऱ्य वर निघणे असणे .	DET MASC;N;SG ADP;MASC;SG MASC;N;NOM;SG MASC;N;SG ADP 3;FIN;MASC;PFV;SG;V 3;FIN;MASC;PST;SG;V _
" न्याय मेला . " भीमा म्हणाला .	" न्याय मरणे . " भीमा म्हणणे .	_ ACC;MASC;N;SG 3;FIN;MASC;PFV;SG;V _ _ MASC;NOM;PROPN;SG 3;FIN;MASC;PFV;SG;V _
ती _ _ राणी होऊ दे !	तो मी चा राणी होणे देणे !	3;FEM;NOM;PRO;SG 1;PRO;SG ADP;FEM;SG ACC;FEM;N;SG NFIN;V 2;FIN;IMP;SG;V _
तिने त्या _ _ चोळामोळा करून तो पाला _ _ पदर फाडून _ _ बांधला .	तो तो पाला चा चोळामोळा करणे तो पाला आपण चा पदर फाडणे जखम वरती बांधणे .	3;ERG;FEM;PRO;SG DET MASC;N;SG ADP;MASC;SG MASC;N;NOM;SG PFV;V;V.CVB DET;MASC;NOM;SG ACC;MASC;N;SG PRO ADP;MASC;SG MASC;N;NOM;SG PFV;V;V.CVB FEM;N;SG ADP 3;FIN;MASC;PFV;SG;V _
_ _ आई घरात _ _ आहे , ती _ _ बघते आणि तिला जेम्स आणि मेरी खेळताना दिसतात .	तो चा आई घर मांजर बरोबर असणे , तो खिडकी तून बघणे आणि तो जेम्स आणि मेरी खेळणे दिसणे .	3;MASC;PL;PRO ADP;FEM;SG FEM;N;NOM;SG ESS;N;NEUT;SG N;NEUT;SG ADP 3;FIN;PRS;SG;V _ 3;FEM;NOM;PRO;SG FEM;N;SG ADP 3;FEM;FIN;IPFV;PRS;SG;V CONJ 3;DAT;FEM;PRO;SG MASC;NOM;PROPN;SG CONJ FEM;NOM;PROPN;SG IPFV;V;V.CVB 3;FIN;IPFV;PL;PRS;V _
त्याला भूक लागली .	तो भूक लागणे .	3;DAT;MASC;PRO;SG ACC;FEM;N;SG 3;FEM;FIN;PFV;SG;V _
तो लाल तुकडा पाहून बेडकाला सोडून साप तिकडे धावला .	तो लाल तुकडा पहाणे बेडूक सोडणे साप तिकडे धावणे .	DET;MASC;SG ADJ;NOM ACC;MASC;N;SG PFV;V;V.CVB ACC;MASC;N;SG PFV;V;V.CVB MASC;N;NOM;SG ADV 3;FIN;MASC;PFV;SG;V _
तो दुसरा भाऊ येऊन म्हणाला , दादा , का दु:खी ?	तो दोन भाऊ येणे म्हणणे , दादा , का दुःखी ?	DET;MASC;SG NUM MASC;N;NOM;SG PFV;V;V.CVB 3;FIN;MASC;PFV;SG;V _ MASC;N;NOM;SG _ ADV ADJ;NOM _
त्या कुत्र्याला ह्या दोन मुलांशी खेळायला आवडते .	तो कुत्रा हा दोन मुल खेळणे आवडणे .	DET DAT;MASC;N;SG DET NUM COM;N;NEUT;PL V;V.CVB 3;FIN;IPFV;NEUT;PRS;SG;V _
डराव , डराव करून त्याने बेडकांना हाका मारल्या .	डराव , डराव करणे तो बेडूक हाक मारणे .	INTJ _ INTJ PFV;V;V.CVB 3;ERG;MASC;PRO;SG DAT;MASC;N;PL FEM;N;PL 3;FEM;FIN;PFV;PL;V _
हा साप _ _ _ अमृतबिंदू घेऊन _ _ येईल , शेष म्हणाला .	हा साप तू च्या बरोबर अमृतबिंदू घेणे पृथ्वी पर्यंत येणे , शेष म्हणणे .	DET;MASC;SG MASC;N;NOM;SG 2;PRO;SG PART ADP ACC;N;NEUT;SG PFV;V;V.CVB FEM;N;SG ADP 3;FIN;FUT;SG;V _ MASC;N;NOM;SG 3;FIN;MASC;PFV;SG;V _
दोघांना भूक लागली .	दोघ भूक लागणे .	DAT;MASC;N;PL ACC;FEM;N;SG 3;FEM;FIN;PFV;SG;V _
भाऊ _ _ येऊन म्हणाला , राजाला _ _ _ _ _ _ _ _ मोती निवडून घ्यायला सांग .	भाऊ राजपुत्र कडे येणे म्हणणे , राजा अंगण तील मोती पैकी राणी चा नथ चा मोती निवडणे घेणे सांगसांगणे .	MASC;N;NOM;SG MASC;N;SG ADP PFV;V;V.CVB 3;FIN;MASC;PFV;SG;V _ DAT;MASC;N;SG N;NEUT;SG ADP FEM;N;PL ADP FEM;N;SG ADP FEM;N;SG ADP;MASC;PL ACC;MASC;N;PL PFV;V;V.CVB V;V.CVB 2;FIN;IMP;SG;V _
म्हणून त्याने सर्वांना ताकीद दिली की , त्या दिवशी _ _ फिरकू नका .	म्हणून तो सर्व ताकीद देणे की , तो दिवस घर बाहेर फिरकणे नको .	CONJ 3;ERG;MASC;PRO;SG DAT;MASC;N;PL ACC;FEM;N;SG 3;FEM;FIN;PFV;SG;V CONJ _ DET DAT;MASC;N;SG N;NEUT;SG ADP 2;FIN;IMP;NEG;V 2;FIN;NEG;PL;V _
_ _ तोंड चिंतेने जरा काळवंडले .	तो चा तोंड चिंता जरा काळवंडणे .	3;MASC;PRO;SG ADP;NEUT;SG N;NEUT;NOM;SG FEM;INS;N;SG ADV 3;FIN;NEUT;PFV;SG;V _
" काय म्हणतो तो ? "	" काय म्हणणे तो ? "	_ ACC;PRO 3;FIN;IPFV;MASC;PRS;SG;V 3;MASC;NOM;PRO;SG _ _
राखेतून राजपुत्र उभा राहिला .	राख राजपुत्र उभा रहाणे .	AT+ABL;FEM;N;SG MASC;N;NOM;SG ADV 3;FIN;MASC;PFV;SG;V _
हे _ _ शेत गेले समज आणि तुला _ _ न मिळता .	हा तू चा शेत जाणे समजणे आणि तू पै ही न मिळणे .	DET;NEUT;SG 2;PRO;SG ADP;NEUT;SG N;NEUT;NOM;SG 3;FIN;NEUT;PFV;SG;V 2;FIN;IMP;SG;V CONJ 2;DAT;PRO;SG ACC;FEM;N;SG PART ADV IPFV;V;V.PTCP _
पण कुत्रा तर _ _ शकत नाही !	पण कुत्रा तर बोलणे च शकणे नाही !	CONJ MASC;N;NOM;SG ADV NFIN;V PART IPFV;V;V.PTCP 3;FIN;NEG;SG;V _
राजपुत्र आता _ _ राहिला .	राजपुत्र आता एकटा च रहाणे .	MASC;N;NOM;SG ADV ADJ;MASC;NOM;SG PART 3;FIN;MASC;PFV;SG;V _
" आईला म्हणाला , ' हजार रुपये घ्या व शेत द्या ! ' आणि मला म्हणाला , ' _ _ बापाला काही कळत नाही . '	" आई म्हणणे , ' हजार रुपय घेणे व शेत देणे ! ' आणि मी म्हणणे , ' तू चा बाप काही कळणे नाही . '	_ DAT;FEM;N;SG 3;FIN;MASC;PFV;SG;V _ _ NUM ACC;N;NEUT;PL 2;FIN;IMP;PL;V CONJ ACC;N;NEUT;SG 2;FIN;IMP;PL;V _ _ CONJ 1;DAT;PRO;SG 3;FIN;MASC;PFV;SG;V _ _ 2;PRO;SG ADP DAT;MASC;N;SG 3;PRO;SG IPFV;V;V.PTCP 3;FIN;NEG;SG;V _ _
तेथे _ _ सिंहासन तयार करण्यात आले होते .	तेथे राजा साठी सिंहासन तयार करणे येणे असणे .	ADV MASC;N;SG ADP N;NEUT;NOM;SG ADV ESS;NFIN;V 3;FIN;NEUT;PFV;SG;V 3;FIN;NEUT;PST;SG;V _
नवीन राजा - राणी उत्कृष्ठ राज्यकारभार चालवू लागली .	नवीन राजा - राणी उत्कृष्ठ राज्यकारभार चालवणे लागणे .	ADJ;NOM N;NEUT;NOM;SG _ FEM;N;NOM;SG ADV MASC;N;NOM;SG NFIN;V 3;FIN;NEUT;PFV;PL;V _
राजपुत्र रडत बसला .	राजपुत्र रडणे बसणे .	MASC;N;NOM;SG IPFV;V;V.PTCP 3;FIN;MASC;PFV;SG;V _
मी बातमी काढून आणतो , तो म्हणाला .	मी बातमी काढणे आणणे , तो म्हणणे .	1;NOM;PRO;SG ACC;FEM;N;SG PFV;V;V.CVB 1;FIN;IPFV;MASC;PRS;SG;V _ 3;MASC;NOM;PRO;SG 3;FIN;MASC;PFV;SG;V _
_ _ भांडे तोंडात धरून तो पाताळात गेला .	राख चा भांडे तोंड धरणे तो पाताळ जाणे .	FEM;N;NOM;SG ADP;NEUT;SG N;NEUT;NOM;SG ESS;N;NEUT;SG PFV;V;V.CVB 3;MASC;NOM;PRO;SG ESS;MASC;N;SG 3;FIN;MASC;PFV;SG;V _
राजपुत्र पायी निघाला व जाऊन बसला .	राजपुत्र पायी निघणे व जाणे बसणे .	MASC;N;NOM;SG ADV 3;FIN;MASC;PFV;SG;V CONJ PFV;V;V.CVB 3;FIN;MASC;PFV;SG;V _
_ _ मूळचे मालक मजूर झाले .	शेत चा मूळचा मालक मजूर होणे .	N;NEUT;SG ADP;MASC;PL ADJ;MASC;NOM;PL MASC;N;NOM;PL ADJ;NOM 3;FIN;MASC;PFV;PL;V _
खुशमस्कऱ्या _ _ गेला व म्हणाला , राजा , राजा , त्या _ _ बहीण फार सुंदर आहे .	खुशमस्कऱ्या राजा कडे जाणे व म्हणणे , राजा , राजा , तो राजपुत्र ची बहीण फार सुंदर असणे .	MASC;N;NOM;SG MASC;N;SG ADP 3;FIN;MASC;PFV;SG;V CONJ 3;FIN;MASC;PFV;SG;V _ MASC;N;NOM;SG _ MASC;N;NOM;SG _ DET;FEM;NOM;PL MASC;N;SG ADP;FEM;SG FEM;N;NOM;SG ADJ ADJ;NOM 3;FIN;PRS;SG;V _
_ _ उपकार फेडायला मी बहीण झाले .	तू चा उपकार फेडणे मी बहीण होणे .	2;PRO;SG ADP;MASC;PL ACC;MASC;N;PL V;V.CVB 1;NOM;PRO;SG ACC;FEM;N;SG 1;FEM;FIN;PFV;SG;V _
पुन्हा बहीण बनून _ _ ती फुले देऊन ती म्हणाली , जा , राजाला ही नेऊन दे !	पुन्हा बहीण बनणे राजपुत्र जवळ तो फुल देणे तो म्हणणे , जाणे , राजा हा नेणे देणे !	ADV ACC;FEM;N;SG PFV;V;V.CVB MASC;N;SG ADP DET;NEUT;NOM;PL ACC;N;NEUT;PL PFV;V;V.CVB 3;FEM;NOM;PRO;SG 3;FEM;FIN;PFV;SG;V _ 2;FIN;IMP;SG;V _ DAT;MASC;N;SG DET;NEUT;PL PFV;V;V.CVB 2;FIN;IMP;SG;V _
ती स्त्री जवळ आली .	तो स्त्री जवळ येणे .	DET;FEM;NOM;SG FEM;N;NOM;SG ADV 3;FEM;FIN;PFV;SG;V _
मग तिला एक छोटा हात दिसतो आणि जवळ _ _ _ _ डोकं पण दिसतं .	मग तो एक छोटा हात दिसणे आणि जवळ जाणे वर तो चा डोके पण दिसणे .	ADV 3;DAT;FEM;PRO;SG DET;SG ADJ;MASC;NOM;SG ACC;MASC;N;SG 3;FIN;IPFV;MASC;PRS;SG;V CONJ ADV FIN;PFV;V ADP 3;MASC;PRO;SG ADP;NEUT;SG ACC;N;NEUT;SG ADV 3;FIN;IPFV;NEUT;PRS;SG;V _
लोकांना कुत्र्यांशी _ _ काही उत्तर मिळत नाही !	लोक कुत्रा बोलणे वर काही उत्तर मिळणे नाही !	DAT;MASC;N;PL COM;MASC;N;PL FIN;PFV;V ADP DET;NEUT;SG ACC;N;NEUT;SG IPFV;V;V.PTCP 3;FIN;NEG;SG;V _
मला कंटाळलास ?	मी कंटाळणे ?	1;DAT;PRO;SG 2;FIN;MASC;PFV;SG;V _
मेरीला वाटते कि _ _ आईला जेम्स कुठे गेला , हे माहित आहे .	मेरी वाटणे कि तो च्या आई जेम्स कुठे जाणे , हा माहित असणे .	DAT;FEM;PROPN;SG 3;FIN;IPFV;NEUT;PRS;SG;V CONJ 3;FEM;PRO;SG ADP DAT;FEM;N;SG MASC;NOM;PROPN;SG ADV 3;FIN;MASC;PFV;SG;V _ 3;ACC;NEUT;PRO;SG ADV 3;FIN;PRS;SG;V _
बहीण हरिणी बनून कृतज्ञतेने मधून मधून मागे बघत _ _ _ _ पळत गेली .	बहीण हरिणी बनणे कृतज्ञता मधून मधून मागे बघणे वारा प्रमाणे पाडस कडे पळणे जाणे .	FEM;N;NOM;SG ACC;FEM;N;SG PFV;V;V.CVB ERG;FEM;N;SG ADV ADV ADV IPFV;V;V.PTCP MASC;N;SG ADP N;NEUT;PL ADP IPFV;V;V.PTCP 3;FEM;FIN;PFV;SG;V _
त्या मंदिरात एक प्रचंड घंटा होती .	तो मंदिर एक प्रचंड घंटा असणे .	DET ESS;N;NEUT;SG DET;SG ADJ;NOM FEM;N;NOM;SG 3;FEM;FIN;PST;SG;V _
_ _ _ _ _ _ तेथे झाडे होती .	भीम चा वाडवडिल चा हात चा तेथे झाड असणे .	MASC;PROPN;SG ADP MASC;N;PL ADP MASC;N;SG ADP;NEUT;PL ADV N;NEUT;NOM;PL 3;FIN;NEUT;PL;PST;V _
राहू द्या एवढी जमीन .	रहाणे देणे एवढा जमीन .	NFIN;V 2;FIN;IMP;PL;V ADJ;FEM;NOM;SG ACC;FEM;N;SG _
हजार रुपये द्यायला तयार झाला होता . "	हजार रुपय देणे तयार होणे असणे . "	NUM ACC;N;NEUT;PL V;V.CVB ADV 3;FIN;MASC;PFV;SG;V 3;FIN;MASC;PST;SG;V _ _
_ _ सर्पाने _ _ अमृत शिंपले आणि तो निघून गेला .	पाताळ तील सर्प राख वर अमृत शिंपणे आणि तो निघणे जाणे .	MASC;N;SG ADP ERG;MASC;N;SG FEM;N;SG ADP ACC;N;NEUT;SG 3;FIN;NEUT;PFV;SG;V CONJ 3;MASC;NOM;PRO;SG PFV;V;V.CVB 3;FIN;MASC;PFV;SG;V _
दिवस गेला , रात्र गेली .	दिवस जाणे , रात्र जाणे .	MASC;N;NOM;SG 3;FIN;MASC;PFV;SG;V _ FEM;N;NOM;SG 3;FEM;FIN;PFV;SG;V _
जेम्स पटकन एका मोठ्या , जुन्या _ _ पळतो , तो _ _ लपत आहे .	जेम्स पटकन एक मोठा , जुना झाड पर्यंत पळणे , तो मेरी पासुन लपणे असणे .	MASC;NOM;PROPN;SG ADV DET;SG ADJ _ ADJ N;NEUT;SG ADP 3;FIN;IPFV;MASC;PRS;SG;V _ 3;MASC;NOM;PRO;SG FEM;PROPN;SG ADP IPFV;V;V.PTCP 3;FIN;PRS;SG;V _
पण ते मांजर घरात आहे , मांजर झोपले आहे .	पण तो मांजर घर असणे , मांजर झोपणे असणे .	CONJ DET;NEUT;SG N;NEUT;NOM;SG ESS;N;NEUT;SG 3;FIN;PRS;SG;V _ N;NEUT;NOM;SG 3;FIN;NEUT;PFV;SG;V 3;FIN;PRS;SG;V _
मी कसा जाऊ ?	मी कसा जाणे ?	1;NOM;PRO;SG ADV 1;FIN;IMP;SG;V _
या _ _ मी मालक .	हा जमिन चा मी मालक .	DET FEM;N;SG ADP;MASC;SG 1;NOM;PRO;SG MASC;N;NOM;SG _
_ _ , _ _ कळस दिसत होते .	प्रासाद चा , मंदिर चा कळस दिसणे असणे .	MASC;N;PL ADP;MASC;PL _ N;NEUT;PL ADP;MASC;PL ACC;MASC;N;PL IPFV;V;V.PTCP 3;FIN;MASC;PL;PST;V _
" _ _ आई काय म्हणाली ? "	" तू चा आई काय म्हणणे ? "	_ 2;PRO;SG ADP;FEM;SG FEM;N;NOM;SG ACC;PRO 3;FEM;FIN;PFV;SG;V _ _
ती हसून म्हणते , " मला तू सापडलास ! " .	तो हसणे म्हणणे , " मी तू सापडणे ! " .	3;FEM;NOM;PRO;SG PFV;V;V.CVB 3;FEM;FIN;IPFV;PRS;SG;V _ _ 1;DAT;PRO;SG 2;ACC;PRO;SG 2;FIN;MASC;PFV;SG;V _ _ _
बहीण येऊन म्हणाली , दादा , का रडतोस ?	बहीण येणे म्हणणे , दादा , का रडणे ?	FEM;N;NOM;SG PFV;V;V.CVB 3;FEM;FIN;PFV;SG;V _ MASC;N;NOM;SG _ ADV 2;FIN;IPFV;MASC;PRS;SG;V _
_ _ उपकार _ _ मी _ _ भाऊ बनलो .	तू चा उपकार फेडणे साठी मी तू चा भाऊ बनणे .	2;PL;PRO ADP;MASC;PL ACC;MASC;N;PL NFIN;V ADP 1;NOM;PRO;SG 2;PL;PRO ADP;MASC;SG ACC;MASC;N;SG 1;FIN;MASC;PFV;SG;V _
