шлункова фаза соковиділення забезпечується не лише за рахунок нервової системи .	шлунковий фаза соковиділення забезпечуватися не лише за рахунок нервовий система .	ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG GEN;INAN;N;NEUT;SG 3;FIN;IND;IPFV;PRS;SG;V NEG;PART PART ACC;ADP ACC;INAN;MASC;N;SG ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG _
із тим новим ім’ям батько цілу легенду вигадав : мовляв , він з родини білого офіцера , який боровся проти червоних , мовляв , ми все життя мріяли , щоб побороти більшовиків .	із той новий ім’я батько цілий легенда вигадати : мовляв , він з родина білий офіцер , який боротися проти червоні , мовляв , ми весь життя мріяти , щоб побороти більшовик .	ADP;INS DET;INS;NEUT;SG ADJ;INS;NEUT;SG INAN;INS;N;NEUT;SG ANIM;MASC;N;NOM;SG ACC;ADJ;FEM;SG ACC;FEM;INAN;N;SG FIN;IND;MASC;PFV;PST;SG;V _ ADV _ 3;MASC;NOM;PRO;SG ADP;GEN FEM;GEN;INAN;N;SG ADJ;GEN;MASC;SG ANIM;GEN;MASC;N;SG _ DET;MASC;NOM;SG FIN;IND;IPFV;MASC;PST;SG;V ADP;GEN ANIM;GEN;N _ ADV _ 1;ANIM;NOM;PL;PRO ACC;DET;NEUT;SG ACC;INAN;N;NEUT;SG FIN;IND;IPFV;PL;PST;V _ CONJ NFIN;PFV;V ACC;ANIM;MASC;N;PL _
на відміну від них я дивлюся на ті події з дистанції , не так , як безпосередні учасники , маю зовсім інший досвід їх переживання .	на відміна від вони я дивитися на той подія з дистанція , не так , як безпосередній учасник , мати зовсім інший досвід вони переживання .	ACC;ADP ACC;FEM;INAN;N;SG ADP;GEN 3;GEN;PL;PRO 1;ANIM;NOM;PRO;SG 1;FIN;IND;IPFV;PRS;SG;V ACC;ADP ACC;DET;INAN;PL ACC;FEM;INAN;N;PL ADP;GEN FEM;GEN;INAN;N;SG _ NEG;PART ADV _ CONJ ADJ;NOM;PL ANIM;MASC;N;NOM;PL _ 1;FIN;IND;IPFV;PRS;SG;V ADV ACC;DET;INAN;MASC;SG ACC;INAN;MASC;N;SG 3;GEN;PL;PRO GEN;INAN;N;NEUT;SG _
інформація про енергоаудиторів та фахівців з обстеження інженерних систем , які підлягають внесенню до бази даних фахівців , у тому числі інформація про відмову у видачі кваліфікаційного атестата , його анулювання , надається в електронній формі атестаційними комісіями , які провели їхню атестацію , протягом десяти робочих днів з дня прийняття рішення про видачу кваліфікаційного атестата , анулювання кваліфікаційного атестата енергоаудитора чи фахівця з обстеження інженерних систем або відмову у видачі кваліфікаційного атестата .	інформація про енергоаудитор та фахівець з обстеження інженерний система , який підлягати внесення до база дані фахівець , у той число інформація про відмова у видача кваліфікаційний атестат , він анулювання , надаватися в електронний форма атестаційний комісія , який провести їхній атестація , протягом десять робочий день з день прийняття рішення про видача кваліфікаційний атестат , анулювання кваліфікаційний атестат енергоаудитор чи фахівець з обстеження інженерний система або відмова у видача кваліфікаційний атестат .	FEM;INAN;N;NOM;SG ACC;ADP ACC;ANIM;MASC;N;PL CONJ ACC;ANIM;MASC;N;PL ADP;GEN GEN;INAN;N;NEUT;SG ADJ;GEN;PL FEM;GEN;INAN;N;PL _ DET;NOM;PL 3;FIN;IND;IPFV;PL;PRS;V DAT;INAN;N;NEUT;SG ADP;GEN FEM;GEN;INAN;N;SG GEN;INAN;N ANIM;GEN;MASC;N;PL _ ADP;ESS DET;ESS;NEUT;SG ESS;INAN;N;NEUT;SG FEM;INAN;N;NOM;SG ACC;ADP ACC;FEM;INAN;N;SG ADP;ESS ESS;FEM;INAN;N;SG ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG _ 3;GEN;MASC;PRO;SG ACC;INAN;N;NEUT;SG _ 3;FIN;IND;IPFV;PRS;SG;V ADP;ESS ADJ;ESS;FEM;SG ESS;FEM;INAN;N;SG ADJ;INS;PL FEM;INAN;INS;N;PL _ DET;NOM;PL FIN;IND;PFV;PL;PST;V 3;ACC;DET;FEM;SG ACC;FEM;INAN;N;SG _ ADP;GEN GEN;NUM ADJ;GEN;PL GEN;INAN;MASC;N;PL ADP;GEN GEN;INAN;MASC;N;SG GEN;INAN;N;NEUT;SG GEN;INAN;N;NEUT;SG ACC;ADP ACC;FEM;INAN;N;SG ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG _ ACC;INAN;N;NEUT;SG ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG ANIM;GEN;MASC;N;SG CONJ ANIM;GEN;MASC;N;SG ADP;GEN GEN;INAN;N;NEUT;SG ADJ;GEN;PL FEM;GEN;INAN;N;PL CONJ ACC;FEM;INAN;N;SG ADP;ESS ESS;FEM;INAN;N;SG ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG _
виявилося , що новаківський дуже боїться за свої роботи .	виявитися , що новаківський дуже боятися за свій робота .	FIN;IND;NEUT;PFV;PST;SG;V _ CONJ ANIM;MASC;NOM;PROPN;SG ADV 3;FIN;IND;IPFV;PRS;SG;V ACC;ADP ACC;DET;INAN;PL;REFL ACC;FEM;INAN;N;PL _
було темно , душно і не лишалося нічого іншого , як забитися в мамине пір'я і віддати себе на поталу тривожним снам .	бути темно , душно і не лишатися ніщо інший , як забитися в мамин пір’я і віддати себе на потала тривожний сон .	FIN;IND;IPFV;NEUT;PST;SG;V ADV _ ADV CONJ NEG;PART FIN;IND;IPFV;NEUT;PST;SG;V GEN;INAN;PRO DET;GEN;NEUT;SG _ CONJ NFIN;PFV;V ACC;ADP ACC;ADJ;NEUT;SG ACC;INAN;N;NEUT;SG CONJ NFIN;PFV;V ACC;PRO;REFL ACC;ADP ACC;FEM;INAN;N;SG ADJ;DAT;PL DAT;INAN;MASC;N;PL _
тоді ж перестав розуміти математику і решту школи провів у цілковитих математичних сутінках .	тоді ж перестати розуміти математика і решта школа провести у цілковитий математичний сутінки .	ADV PART FIN;IND;MASC;PFV;PST;SG;V IPFV;NFIN;V ACC;FEM;INAN;N;SG CONJ ACC;FEM;INAN;N;SG FEM;GEN;INAN;N;SG FIN;IND;MASC;PFV;PST;SG;V ADP;ESS ADJ;ESS;PL ADJ;ESS;PL ESS;INAN;N _
усі вчительки переймалися серіалом .	увесь вчителька перейматися серіал .	DET;NOM;PL ANIM;FEM;N;NOM;PL FIN;IND;IPFV;PL;PST;V INAN;INS;MASC;N;SG _
підписавшись на наші сповіщення , ви першими дізнаєтеся про появу на наших сайтах нових матеріалів .	підписатися на наш сповіщення , ви перший дізнатися про поява на наш сайт новий матеріал .	PFV;PST;V;V.CVB ACC;ADP 1;ACC;DET;INAN;PL ACC;INAN;N;NEUT;PL _ 2;ANIM;NOM;PL;PRO ADJ;INS;PL 2;FIN;FUT;IND;PFV;PL;V ACC;ADP ACC;FEM;INAN;N;SG ADP;ESS 1;DET;ESS;PL ESS;INAN;MASC;N;PL ADJ;GEN;PL GEN;INAN;MASC;N;PL _
він пішов крізь кімнату до вузенької кухні .	він піти крізь кімната до вузенький кухня .	3;MASC;NOM;PRO;SG FIN;IND;MASC;PFV;PST;SG;V ACC;ADP ACC;FEM;INAN;N;SG ADP;GEN ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG _
через зниження народжуваності і зростання тривалості життя частка людей похилого віку зростає .	через зниження народжуваність і зростання тривалість життя частка людина похилий вік зростати .	ACC;ADP ACC;INAN;N;NEUT;SG FEM;GEN;INAN;N;SG CONJ ACC;INAN;N;NEUT;SG FEM;GEN;INAN;N;SG GEN;INAN;N;NEUT;SG FEM;INAN;N;NOM;SG ANIM;FEM;GEN;N;PL ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG 3;FIN;IND;IPFV;PRS;SG;V _
там він писатиметься першим , бо ж починається на бе .	там він писатися перший , бо ж починатися на бе .	ADV 3;MASC;NOM;PRO;SG 3;FIN;FUT;IND;IPFV;SG;V ADJ;INS;MASC;SG _ CONJ PART 3;FIN;IND;IPFV;PRS;SG;V ACC;ADP ACC;FEM;INAN;PROPN;SG _
мої хлопці дуже любили гризти черствий хліб .	мій хлопець дуже любити гризти черствий хліб .	1;DET;NOM;PL ANIM;MASC;N;NOM;PL ADV FIN;IND;IPFV;PL;PST;V IPFV;NFIN;V ACC;ADJ;INAN;MASC;SG ACC;INAN;MASC;N;SG _
вона його питалась :	вона він питатися :	3;FEM;NOM;PRO;SG 3;GEN;MASC;PRO;SG FEM;FIN;IND;IPFV;PST;SG;V _
лише в південно - західному наріччі принаймні декотрі говірки ( а точніше їх носії ) називаються так , як визначив сам народ ( зазвичай це слова на позначення сусідів ) , а не штучними науковими окресленнями .	лише в південний - західний наріччя принаймні декотрий говірка ( а точніше їх носій ) називатися так , як визначити сам народ ( зазвичай це слово на позначення сусід ) , а не штучний науковий окреслення .	PART ADP;ESS ADJ _ ADJ;ESS;NEUT;SG ESS;INAN;N;NEUT;SG ADV DET;NOM;PL FEM;INAN;N;NOM;PL _ CONJ ADV;CMPR 3;DET;NOM;PL ANIM;MASC;N;NOM;PL _ 3;FIN;IND;IPFV;PL;PRS;V ADV _ ADV FIN;IND;MASC;PFV;PST;SG;V DET;MASC;NOM;REFL;SG INAN;MASC;N;NOM;SG _ ADV INAN;NEUT;NOM;PRO;SG INAN;N;NEUT;NOM;PL ACC;ADP ACC;INAN;N;NEUT;SG ANIM;GEN;MASC;N;PL _ _ CONJ NEG;PART ADJ;INS;PL ADJ;INS;PL INAN;INS;N;NEUT;PL _
запалення легень має назву пневмонія .	запалення легеня мати назва пневмонія .	INAN;N;NEUT;NOM;SG FEM;GEN;INAN;N;PL 3;FIN;IND;IPFV;PRS;SG;V ACC;FEM;INAN;N;SG FEM;INAN;N;NOM;SG _
вінстон повернув вимикача і голос дещо вщух , одначе слова що лунали ще можна було розібрати .	вінстон повернути вимикач і голос дещо вщухнути , одначе слово що лунати ще можна бути розібрати .	ANIM;MASC;NOM;PROPN;SG FIN;IND;MASC;PFV;PST;SG;V ACC;INAN;MASC;N;SG CONJ INAN;MASC;N;NOM;SG ADV FIN;IND;MASC;PFV;PST;SG;V _ CONJ ACC;INAN;N;NEUT;PL CONJ FIN;IND;IPFV;PL;PST;V PART ADV FIN;IND;IPFV;NEUT;PST;SG;V NFIN;PFV;V _
для анни фунікової , засновниці клініки та навчального центру " академія здоров’я та краси " , запрошення на каву також стало важливим кроком на шляху до професійного успіху : під час подорожі в іспанії , спробувати місцевої кави анні запропонував один всесвітньо відомий лікар .	для анна фунікова , засновниця клініка та навчальний центр " академія здоров’я та краса " , запрошення на кава також стати важливий крок на шлях до професійний успіх : під час подорож в іспанія , спробувати місцевий кава анна запропонувати один всесвітньо відомий лікар .	ADP;GEN ANIM;FEM;GEN;PROPN;SG ANIM;FEM;GEN;PROPN;SG _ ANIM;FEM;GEN;N;SG FEM;GEN;INAN;N;SG CONJ ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG _ FEM;INAN;N;NOM;SG GEN;INAN;N;NEUT;SG CONJ FEM;GEN;INAN;N;SG _ _ INAN;N;NEUT;NOM;SG ACC;ADP ACC;FEM;INAN;N;SG ADV FIN;IND;NEUT;PFV;PST;SG;V ADJ;INS;MASC;SG INAN;INS;MASC;N;SG ADP;ESS ESS;INAN;MASC;N;SG ADP;GEN ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG _ ACC;ADP ACC;INAN;MASC;N;SG FEM;GEN;INAN;N;SG ADP;ESS ESS;FEM;INAN;PROPN;SG _ NFIN;PFV;V ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG ANIM;DAT;FEM;PROPN;SG FIN;IND;MASC;PFV;PST;SG;V DET;MASC;NOM;SG ADV ADJ;MASC;NOM;SG ANIM;MASC;N;NOM;SG _
хлопці з дозору на неї натрапили , коли досліджували покинутий будинок у сірій зоні .	хлопець з дозор на вона натрапити , коли досліджувати покинутий будинок у сірий зона .	ANIM;MASC;N;NOM;PL ADP;GEN GEN;INAN;MASC;N;SG ACC;ADP 3;ACC;FEM;PRO;SG FIN;IND;PFV;PL;PST;V _ ADV FIN;IND;IPFV;PL;PST;V ACC;ADJ;INAN;MASC;PASS;PFV;SG;V.PTCP ACC;INAN;MASC;N;SG ADP;ESS ADJ;ESS;FEM;SG ESS;FEM;INAN;N;SG _
— так , ма , — кажу я , — влаштуємо флешмоб .	— так , мама , — казати я , — влаштувати флешмоб .	_ PART _ ANIM;FEM;N;SG;VOC _ _ 1;FIN;IND;IPFV;PRS;SG;V 1;ANIM;NOM;PRO;SG _ _ 1;FIN;FUT;IND;PFV;PL;V ACC;INAN;MASC;N;SG _
якась рижа леді сидить з трьома англійцями і блакитна сталь її очей цвіте , вбираючи цю чорну постать геніального музики джаз - банду .	якийсь рижий леді сидіти з троє англієць і блакитний сталь її око цвісти , вбирати цей чорний постать геніальний музика джаз - банд .	DET;FEM;NOM;SG ADJ;FEM;NOM;SG ANIM;FEM;N;NOM;SG 3;FIN;IND;IPFV;PRS;SG;V ADP;INS INS;NUM ANIM;INS;MASC;N;PL CONJ ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG 3;DET;GEN;PL GEN;INAN;N;NEUT;PL 3;FIN;IND;IPFV;PRS;SG;V _ IPFV;PRS;V;V.CVB ACC;DET;FEM;SG ACC;ADJ;FEM;SG ACC;FEM;INAN;N;SG ADJ;GEN;MASC;SG ANIM;GEN;MASC;N;SG INAN;MASC;N;NOM;SG _ GEN;INAN;MASC;N;SG _
вони увійшли в ту хату .	вони увійти в той хата .	3;NOM;PL;PRO FIN;IND;PFV;PL;PST;V ACC;ADP ACC;DET;FEM;SG ACC;FEM;INAN;N;SG _
у руках носили транзистори , а розщеплені кольорові сорочки зав’язувалися на животі .	у рука носити транзистор , а розщеплений кольоровий сорочка зав’язуватися на живіт .	ADP;ESS ESS;FEM;INAN;N;PL FIN;IND;IPFV;PL;PST;V ACC;INAN;MASC;N;PL _ CONJ ADJ;NOM;PASS;PFV;PL;V.PTCP ADJ;NOM;PL FEM;INAN;N;NOM;PL FIN;IND;IPFV;PL;PST;V ADP;ESS ESS;INAN;MASC;N;SG _
грип — гостре інфекційне захворювання , яке спричиняють віруси кількох різновидів .	грип — гострий інфекційний захворювання , який спричиняти вірус кілька різновид .	INAN;MASC;N;NOM;SG _ ADJ;NEUT;NOM;SG ADJ;NEUT;NOM;SG INAN;N;NEUT;NOM;SG _ ACC;DET;NEUT;SG 3;FIN;IND;IPFV;PL;PRS;V INAN;MASC;N;NOM;PL DET;GEN GEN;INAN;MASC;N;PL _
він створений не уявою автора .	він створений не уява автор .	3;MASC;NOM;PRO;SG ADJ;MASC;NOM;PASS;PFV;SG;V.PTCP NEG;PART FEM;INAN;INS;N;SG ANIM;GEN;MASC;N;SG _
але хто перевірить ?	але хто перевірити ?	CONJ ANIM;MASC;NOM;PRO;SG 3;FIN;FUT;IND;PFV;SG;V _
неюзабельний !	неюзабельний !	ADJ;MASC;NOM;SG _
та і в політичному відношенні за упармією існують великі здобутки .	та і в політичний відношення за упармія існувати великий здобуток .	CONJ PART ADP;ESS ADJ;ESS;NEUT;SG ESS;INAN;N;NEUT;SG ADP;INS FEM;INAN;INS;N;SG 3;FIN;IND;IPFV;PL;PRS;V ADJ;NOM;PL INAN;MASC;N;NOM;PL _
але , очевидно , таки не зміг , не знайшов у собі тієї страшно важливої сили — стриматися .	але , очевидно , таки не змогти , не знайти у себе той страшно важливий сила — стриматися .	CONJ _ ADV _ PART NEG;PART FIN;IND;MASC;PFV;PST;SG;V _ NEG;PART FIN;IND;MASC;PFV;PST;SG;V ADP;ESS ESS;PRO;REFL DET;FEM;GEN;SG ADV ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG _ NFIN;PFV;V _
одна з найпоширеніших скарг , яка спонукає пацієнтів звернутися до гастроентеролога , — пекуче неприємне відчуття за грудниною , у стравоході , що зазвичай виникає після прийому їжі .	один з найпоширеніший скарга , який спонукати пацієнт звернутися до гастроентеролог , — пекучий неприємний відчуття за груднина , у стравохід , що зазвичай виникати після прийом їжа .	DET;FEM;NOM;SG ADP;GEN ADJ;GEN;PL;RL FEM;GEN;INAN;N;PL _ DET;FEM;NOM;SG 3;FIN;IND;IPFV;PRS;SG;V ACC;ANIM;MASC;N;PL NFIN;PFV;V ADP;GEN ANIM;GEN;MASC;N;SG _ _ ADJ;NEUT;NOM;SG ADJ;NEUT;NOM;SG INAN;N;NEUT;NOM;SG ADP;INS FEM;INAN;INS;N;SG _ ADP;ESS ESS;INAN;MASC;N;SG _ CONJ ADV 3;FIN;IND;IPFV;PRS;SG;V ADP;GEN GEN;INAN;MASC;N;SG FEM;GEN;INAN;N;SG _
я та й то плюнув на них у своїй « камені » в примітках до латинських перекладів .	я та й то плюнути на вони у свій « камена » в примітка до латинський переклад .	1;ANIM;NOM;PRO;SG PART PART PART FIN;IND;MASC;PFV;PST;SG;V ACC;ADP 3;ACC;PL;PRO ADP;ESS DET;ESS;FEM;REFL;SG _ ESS;FEM;INAN;PROPN;SG _ ADP;ESS ESS;FEM;INAN;N;PL ADP;GEN ADJ;GEN;PL GEN;INAN;MASC;N;PL _
коли в творі даного автора показано ті причини , то критик користується ними і дякує автора , коли ні , то чіпається його , як , мовляв , ти смів вивести таку людину , не показавши причин її існування ?	коли в твір даний автор показати той причина , то критик користуватися вони і дякувати автор , коли ні , то чіпатися він , як , мовляв , ти сміти вивести такий людина , не показати причина її існування ?	CONJ ADP;ESS ESS;INAN;MASC;N;SG ADJ;GEN;MASC;PASS;PFV;SG;V.PTCP ANIM;GEN;MASC;N;SG 0;FIN;IND;PFV;V ACC;DET;INAN;PL ACC;FEM;INAN;N;PL _ PART ANIM;MASC;N;NOM;SG 3;FIN;IND;IPFV;PRS;SG;V 3;INS;PL;PRO CONJ 3;FIN;IND;IPFV;PRS;SG;V ACC;ANIM;MASC;N;SG _ CONJ NEG;PART _ PART 3;FIN;IND;IPFV;PRS;SG;V 3;GEN;MASC;PRO;SG _ ADV _ ADV _ 2;ANIM;NOM;PRO;SG FIN;IND;IPFV;MASC;PST;SG;V NFIN;PFV;V ACC;DET;FEM;SG ACC;ANIM;FEM;N;SG _ NEG;PART PFV;PST;V;V.CVB FEM;GEN;INAN;N;PL 3;DET;GEN;NEUT;SG GEN;INAN;N;NEUT;SG _
клітини прокаріотів ( бактерій та архей ) та еукаріотів на фенотипічному рівні схожі за наявністю днк та білок - синтезуючого апарату , представленого рибосомами ; наявністю клітинних мембран ; ферментних комплексів , що забезпечують процеси реплікації , транскрипції , трансляції та синтезу атф .	клітина прокаріот ( бактерія та архея ) та еукаріот на фенотипічний рівень схожий за наявність днк та білок - синтезуючий апарат , представлений рибосома ; наявність клітинний мембрана ; ферментний комплекс , що забезпечувати процес реплікація , транскрипція , трансляція та синтез атф .	FEM;INAN;N;NOM;PL ANIM;GEN;MASC;N;PL _ ANIM;FEM;GEN;N;PL CONJ ANIM;FEM;GEN;N;PL _ CONJ ANIM;GEN;MASC;N;PL ADP;ESS ADJ;ESS;MASC;SG ESS;INAN;MASC;N;SG ADJ;NOM;PL ADP;INS FEM;INAN;INS;N;SG FEM;GEN;INAN;N;SG CONJ INAN;MASC;N;NOM;SG _ ACT;ADJ;GEN;IPFV;MASC;PRS;SG;V.PTCP GEN;INAN;MASC;N;SG _ ADJ;GEN;MASC;PASS;PFV;SG;V.PTCP FEM;INAN;INS;N;PL _ FEM;INAN;INS;N;SG ADJ;GEN;PL FEM;GEN;INAN;N;PL _ ADJ;GEN;PL GEN;INAN;MASC;N;PL _ CONJ 3;FIN;IND;IPFV;PL;PRS;V ACC;INAN;MASC;N;PL FEM;GEN;INAN;N;SG _ FEM;GEN;INAN;N;SG _ FEM;GEN;INAN;N;SG CONJ GEN;INAN;MASC;N;SG GEN;INAN;MASC;N;SG _
— та кажи !.. чого ти плачеш ? — аж скрикнула вона .	— та казати !.. чого ти плакати ? — аж скрикнути вона .	_ PART 2;FIN;IMP;IPFV;SG;V _ ADV 2;ANIM;NOM;PRO;SG 2;FIN;IND;IPFV;PRS;SG;V _ _ PART FEM;FIN;IND;PFV;PST;SG;V 3;FEM;NOM;PRO;SG _
вибір медико - технологічних документів	вибір медичний - технологічний документ	INAN;MASC;N;NOM;SG ADJ _ ADJ;GEN;PL GEN;INAN;MASC;N;PL
доводилося вичерпувати воду руками .	доводитися вичерпувати вода рука .	FIN;IND;IPFV;NEUT;PST;SG;V IPFV;NFIN;V ACC;FEM;INAN;N;SG FEM;INAN;INS;N;PL _
він запропонував старому спільну подорож .	він запропонувати старий спільний подорож .	3;MASC;NOM;PRO;SG FIN;IND;MASC;PFV;PST;SG;V ANIM;DAT;MASC;N;SG ACC;ADJ;FEM;SG ACC;FEM;INAN;N;SG _
правила поводження з тваринами , що використовуються в наукових експериментах , тестуванні , навчальному процесі , виробництві біологічних препаратів	правило поводження з тварина , що використовуватися в науковий експеримент , тестування , навчальний процес , виробництво біологічний препарат	INAN;N;NEUT;NOM;PL GEN;INAN;N;NEUT;SG ADP;INS ANIM;FEM;INS;N;PL _ CONJ 3;FIN;IND;IPFV;PL;PRS;V ADP;ESS ADJ;ESS;PL ESS;INAN;MASC;N;PL _ ESS;INAN;N;NEUT;SG _ ADJ;ESS;MASC;SG ESS;INAN;MASC;N;SG _ ESS;INAN;N;NEUT;SG ADJ;GEN;PL GEN;INAN;MASC;N;PL
як заспокоїти бунтівливий шлунок	як заспокоїти бунтівливий шлунок	ADV NFIN;PFV;V ACC;ADJ;INAN;MASC;SG ACC;INAN;MASC;N;SG
почули і побігли до неї на перший ніжний поклик .	почути і побігти до вона на перший ніжний поклик .	FIN;IND;PFV;PL;PST;V CONJ FIN;IND;PFV;PL;PST;V ADP;GEN 3;FEM;GEN;PRO;SG ACC;ADP ACC;ADJ;INAN;MASC;SG ACC;ADJ;INAN;MASC;SG ACC;INAN;MASC;N;SG _
