занимает площадь 352,658 км2 .	занимать площадь 352,658 км2 .	3;FIN;IND;IPFV;PRS;SG;V ACC;FEM;INAN;N;SG NOM;NUM GEN;INAN;MASC;N;PL _
основными переносчиками babesia divergens являются клещи видов ixodes ricinus и ixodes persulcatus .	основной переносчик babesia divergens являться клещ вид ixodes ricinus и ixodes persulcatus .	ADJ;ANIM;INS;PL ANIM;INS;MASC;N;PL ANIM;FEM;GEN;PROPN;SG ADJ;ANIM;FEM;GEN;SG 3;FIN;IND;IPFV;MID;PL;PRS;V ANIM;MASC;N;NOM;PL GEN;INAN;MASC;N;PL ANIM;MASC;NOM;PROPN;SG ADJ;ANIM;MASC;NOM;SG CONJ ANIM;MASC;NOM;PROPN;SG ADJ;ANIM;MASC;NOM;SG _
она пред тобою &#39;&#39; ... `` я сделал много тебе зла , -- сказал он хану , -- но теперь пришел принять от тебя смерть или жизнь , будучи готов на все , что бог возвестит тебе &#39;&#39; .	она пред ты &#39;&#39; ... `` я сделать много ты зло , -- сказать он хан , -- но теперь прийти принять от ты смерть или жизнь , быть готовый на всё , что бог возвестить ты &#39;&#39; .	3;FEM;NOM;PRO;SG ADP 2;INS;PRO;SG _ _ _ 1;NOM;PRO;SG FIN;IND;MASC;PFV;PST;SG;V ACC;INAN;NUM 2;DAT;PRO;SG GEN;INAN;N;NEUT;SG _ _ FIN;IND;MASC;PFV;PST;SG;V 3;MASC;NOM;PRO;SG ANIM;DAT;MASC;N;SG _ _ CONJ ADV FIN;IND;MASC;PFV;PST;SG;V NFIN;PFV;V ADP 2;GEN;PRO;SG ACC;FEM;INAN;N;SG CONJ ACC;FEM;INAN;N;SG _ IPFV;V;V.CVB ADJ;ANIM;MASC;NOM;SG ADP ACC;INAN;NEUT;PRO;SG _ ACC;INAN;NEUT;PRO;SG ANIM;MASC;N;NOM;SG 3;FIN;FUT;IND;PFV;SG;V 2;DAT;PRO;SG _ _
жених , родители , близкие родственники приезжали в дом невесты .	жених , родитель , близкий родственник приезжать в дом невеста .	ANIM;MASC;N;NOM;SG _ ANIM;MASC;N;NOM;PL _ ADJ;ANIM;NOM;PL ANIM;MASC;N;NOM;PL FIN;IND;IPFV;PL;PST;V ADP ACC;INAN;MASC;N;SG ANIM;FEM;GEN;N;SG _
но дивидендов приобретения не принесли : лишь 15 - е место в сезоне 1993/94 .	но дивиденд приобретение не принести : лишь 15 - й место в сезон 1993/94 .	CONJ ACC;INAN;MASC;N;PL INAN;N;NEUT;NOM;PL NEG;PART FIN;IND;PFV;PL;PST;V _ PART ADV _ ADJ;INAN;NEUT;NOM;SG INAN;N;NEUT;NOM;SG ADP ESS;INAN;MASC;N;SG INAN;NOM;NUM _
летом 1947 года на сравнительных испытаниях по бездорожью американских трёхосных автомобилей `` студебеккер &#39;&#39; , `` интернешнл &#39;&#39; , отечественных зис - 151-1 и зис - 151-2 , зис - 151-1 на автобусных шинах 10,5 , 20 &#39;&#39; показал лучшую проходимость и более высокую среднюю скорость по бездорожью , кроме движения по болотистой луговине .	лето 1947 год на сравнительный испытание по бездорожье американский трехосный автомобиль `` студебеккер &#39;&#39; , `` интернешнл &#39;&#39; , отечественный зис - 151-1 и зис - 151-2 , зис - 151-1 на автобусный шина 10,5 , 20 &#39;&#39; показать лучший проходимость и более высокий средний скорость по бездорожье , кроме движение по болотистый луговина .	INAN;INS;N;NEUT;SG ADJ;GEN;INAN;MASC;SG GEN;INAN;MASC;N;SG ADP ADJ;ESS;INAN;PL ESS;INAN;N;NEUT;PL ADP DAT;INAN;N;NEUT;SG ADJ;GEN;INAN;PL ADJ;GEN;INAN;PL DAT;INAN;MASC;N;PL _ INAN;MASC;NOM;PROPN;SG _ _ _ INAN;MASC;NOM;PROPN;SG _ _ ADJ;GEN;INAN;PL INAN;MASC;NOM;PROPN;SG _ ADV CONJ INAN;MASC;NOM;PROPN;SG _ ADV _ INAN;MASC;NOM;PROPN;SG _ ADV ADP ADJ;ESS;INAN;PL ESS;FEM;INAN;N;PL NOM;NUM _ NOM;NUM _ FIN;IND;MASC;PFV;PST;SG;V ACC;ADJ;FEM;INAN;RL;SG ACC;FEM;INAN;N;SG CONJ ADV;CMPR ACC;ADJ;FEM;INAN;SG ACC;ADJ;FEM;INAN;SG ACC;FEM;INAN;N;SG ADP DAT;INAN;N;NEUT;SG _ ADP GEN;INAN;N;NEUT;SG ADP ADJ;DAT;FEM;INAN;SG DAT;FEM;INAN;N;SG _
родился 1 января 1947 в ленинграде , рсфср .	родиться 1 январь 1947 в ленинград , рсфср .	FIN;IND;MASC;MID;PFV;PST;SG;V ADJ;GEN;INAN;NEUT;SG GEN;INAN;MASC;N;SG ADJ;GEN;INAN;MASC;SG ADP ESS;INAN;MASC;PROPN;SG _ FEM;INAN;NOM;PROPN;SG _
речной бассейн реки -- ( верхняя ) волга до куйбышевского водохранилища ( без бассейна оки ) .	речной бассейн река -- ( верхний ) волга до куйбышевский водохранилище ( без бассейн ока ) .	ADJ;INAN;MASC;NOM;SG INAN;MASC;N;NOM;SG FEM;GEN;INAN;N;SG _ _ ADJ;FEM;INAN;NOM;SG _ FEM;INAN;NOM;PROPN;SG ADP ADJ;GEN;INAN;NEUT;SG GEN;INAN;N;NEUT;SG _ ADP GEN;INAN;MASC;N;SG FEM;GEN;INAN;PROPN;SG _ _
буддийские монастыри превратились в крупных земельных собственников ; богатые монастыри давали деньги в рост .	буддийский монастырь превратиться в крупный земельный собственник ; богатый монастырь давать деньги в рост .	ADJ;INAN;NOM;PL INAN;MASC;N;NOM;PL FIN;IND;MID;PFV;PL;PST;V ADP ACC;ADJ;ANIM;PL ACC;ADJ;ANIM;PL ACC;ANIM;MASC;N;PL _ ADJ;INAN;NOM;PL INAN;MASC;N;NOM;PL FIN;IND;IPFV;PL;PST;V ACC;FEM;INAN;N;PL ADP ACC;INAN;MASC;N;SG _
исследования учёных позволили выявить , что предки аккадцев -- восточные семиты -- поклонялись различным божествам , покровителям отдельных общин , но при этом семиты издревле избегали называть богов собственными именами .	исследование ученый позволить выявить , что предок аккадец -- восточный семит -- поклоняться различный божество , покровитель отдельный община , но при это семит издревле избегать называть бог собственный имя .	INAN;N;NEUT;NOM;PL ANIM;GEN;MASC;N;PL FIN;IND;PFV;PL;PST;V NFIN;PFV;V _ CONJ ANIM;MASC;N;NOM;PL ANIM;GEN;MASC;N;PL _ ADJ;ANIM;NOM;PL ANIM;MASC;N;NOM;PL _ FIN;IND;IPFV;MID;PL;PST;V ADJ;ANIM;DAT;PL ANIM;DAT;N;NEUT;PL _ ANIM;DAT;MASC;N;PL ADJ;GEN;INAN;PL FEM;GEN;INAN;N;PL _ CONJ ADP ESS;INAN;NEUT;PRO;SG ANIM;MASC;N;NOM;PL ADV FIN;IND;IPFV;PL;PST;V IPFV;NFIN;V ACC;ANIM;MASC;N;PL ADJ;INAN;INS;PL INAN;INS;N;NEUT;PL _
хаджи мухаммед в переписке с москвой называл себя врагом сахиб гирея , в начале 1538 он в письме к ивану iv предлагал послать в крым 20 - тысячное войско во главе с али , сыном хасана , что было одобрено москвой .	хаджи мухаммед в переписка с москва называть себя враг сахиб гирей , в начало 1538 он в письмо к иван iv предлагать послать в крым 20 - тысячный войско во глава с али , сын хасан , что быть одобрить москва .	ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG ADP ESS;FEM;INAN;N;SG ADP FEM;INAN;INS;PROPN;SG FIN;IND;IPFV;MASC;PST;SG;V ACC;PRO;REFL ANIM;INS;MASC;N;SG ANIM;GEN;MASC;PROPN;SG ANIM;MASC;NOM;PROPN;SG _ ADP ESS;INAN;N;NEUT;SG ADJ;GEN;INAN;MASC;SG 3;MASC;NOM;PRO;SG ADP ESS;INAN;N;NEUT;SG ADP ANIM;DAT;MASC;PROPN;SG ADJ;ANIM;DAT;MASC;SG FIN;IND;IPFV;MASC;PST;SG;V NFIN;PFV;V ADP ACC;INAN;MASC;PROPN;SG ADV _ ACC;ADJ;INAN;NEUT;SG ACC;INAN;N;NEUT;SG ADP ESS;FEM;INAN;N;SG ADP ANIM;INS;MASC;PROPN;SG _ ANIM;INS;MASC;N;SG ANIM;GEN;MASC;PROPN;SG _ INAN;NEUT;NOM;PRO;SG FIN;IND;IPFV;NEUT;PST;SG;V INAN;NEUT;NOM;PASS;PFV;PST;SG;V;V.PTCP FEM;INAN;INS;PROPN;SG _
олибрий правил совсем недолго и скончался во время эпидемии чумы 23 октября 472 года .	олибрий править совсем недолго и скончаться во время эпидемия чума 23 октябрь 472 год .	ANIM;MASC;NOM;PROPN;SG FIN;IND;IPFV;MASC;PST;SG;V ADV ADV CONJ FIN;IND;MASC;MID;PFV;PST;SG;V ADP ACC;INAN;N;NEUT;SG FEM;GEN;INAN;N;SG FEM;GEN;INAN;N;SG ADJ;GEN;INAN;NEUT;SG GEN;INAN;MASC;N;SG ADJ;GEN;INAN;MASC;SG GEN;INAN;MASC;N;SG _
раш выиграл шестой для себя кубок лиги в 1995 году .	раш выиграть шестой для себя кубок лига в 1995 год .	ANIM;MASC;NOM;PROPN;SG FIN;IND;MASC;PFV;PST;SG;V ACC;ADJ;INAN;MASC;SG ADP GEN;PRO;REFL ACC;INAN;MASC;N;SG FEM;GEN;INAN;N;SG ADP ADJ;ESS;INAN;MASC;SG ESS;INAN;MASC;N;SG _
представляет собой повествование о строительстве пирамиды хеопса , полное аллюзий на современность и на коммунистический проект , который осуществлялся в албании .	представлять себя повествование о строительство пирамида хеопс , полный аллюзия на современность и на коммунистический проект , который осуществляться в албания .	3;FIN;IND;IPFV;PRS;SG;V INS;PRO;REFL ACC;INAN;N;NEUT;SG ADP ESS;INAN;N;NEUT;SG FEM;GEN;INAN;N;SG ANIM;GEN;MASC;PROPN;SG _ ACC;ADJ;INAN;NEUT;SG FEM;GEN;INAN;N;PL ADP ACC;FEM;INAN;N;SG CONJ ADP ACC;ADJ;INAN;MASC;SG ACC;INAN;MASC;N;SG _ INAN;MASC;NOM;PRO;SG FIN;IND;IPFV;MASC;MID;PST;SG;V ADP ESS;FEM;INAN;PROPN;SG _
представители этого направления включали в мессу чисто инструментальные , нередко светского происхождения , композиции для органа или струнных ансамблей , вводили сольное ариозно - речитативное пение и т. д. , -- то есть уходили всё дальше от собственно церковной музыки .	представитель этот направление включать в месса чисто инструментальный , нередко светский происхождение , композиция для орган или струнный ансамбль , вводить сольный ариозно - речитативный пение и т. д. , -- то быть уходить всё далеко от собственно церковный музыка .	ANIM;MASC;N;NOM;PL DET;GEN;INAN;NEUT;SG GEN;INAN;N;NEUT;SG FIN;IND;IPFV;PL;PST;V ADP ACC;FEM;INAN;N;SG ADV ACC;ADJ;INAN;PL _ ADV ADJ;GEN;INAN;NEUT;SG GEN;INAN;N;NEUT;SG _ ACC;FEM;INAN;N;PL ADP GEN;INAN;MASC;N;SG CONJ ADJ;GEN;INAN;PL DAT;INAN;MASC;N;PL _ FIN;IND;IPFV;PL;PST;V ACC;ADJ;INAN;NEUT;SG ADV _ ACC;ADJ;INAN;NEUT;SG ACC;INAN;N;NEUT;SG CONJ ADV ADV;CMPR _ _ INAN;NEUT;NOM;PRO;SG 3;FIN;IND;IPFV;PRS;SG;V FIN;IND;IPFV;PL;PST;V ADV ADV ADP ADV ADJ;FEM;GEN;INAN;SG FEM;GEN;INAN;N;SG _
преобладающая национальность -- русские ( 99 % ) .	преобладающий национальность -- русский ( 99 % ) .	ADJ;FEM;INAN;NOM;SG FEM;INAN;N;NOM;SG _ ANIM;MASC;N;NOM;PL _ NOM;NUM _ _ _
развитие испанских территорий затрудняло то , что карл i и филипп ii проводили много времени за границей ; большую часть xvi столетия испания управлялась из брюсселя и антверпена , и только во время нидерландской революции , когда филипп вернулся в испанию , он стал проводить большую часть времени в уединении в монастырском дворце эскориал .	развитие испанский территория затруднять то , что карл i и филипп ii проводить много время за граница ; больший часть xvi столетие испания управляться из брюссель и антверпен , и только во время нидерландский революция , когда филипп вернуться в испания , он стать проводить больший часть время в уединение в монастырский дворец эскориал .	ACC;INAN;N;NEUT;SG ADJ;GEN;INAN;PL FEM;GEN;INAN;N;PL FIN;IND;IPFV;NEUT;PST;SG;V ACC;INAN;NEUT;PRO;SG _ CONJ ANIM;MASC;NOM;PROPN;SG ADJ;ANIM;MASC;NOM;SG CONJ ANIM;MASC;NOM;PROPN;SG ADJ;ANIM;MASC;NOM;SG FIN;IND;IPFV;PL;PST;V ACC;INAN;NUM GEN;INAN;N;NEUT;SG ADP FEM;INAN;INS;N;SG _ ACC;ADJ;FEM;INAN;SG ACC;FEM;INAN;N;SG ADJ;GEN;INAN;NEUT;SG GEN;INAN;N;NEUT;SG FEM;INAN;NOM;PROPN;SG FEM;FIN;IND;IPFV;MID;PST;SG;V ADP GEN;INAN;MASC;PROPN;SG CONJ GEN;INAN;MASC;PROPN;SG _ CONJ PART ADP ACC;INAN;N;NEUT;SG ADJ;FEM;GEN;INAN;SG FEM;GEN;INAN;N;SG _ ADV ANIM;MASC;NOM;PROPN;SG FIN;IND;MASC;MID;PFV;PST;SG;V ADP ACC;FEM;INAN;PROPN;SG _ 3;MASC;NOM;PRO;SG FIN;IND;MASC;PFV;PST;SG;V IPFV;NFIN;V ACC;ADJ;FEM;INAN;SG ACC;FEM;INAN;N;SG GEN;INAN;N;NEUT;SG ADP ESS;INAN;N;NEUT;SG ADP ADJ;ESS;INAN;MASC;SG ESS;INAN;MASC;N;SG INAN;MASC;NOM;PROPN;SG _
в 533 году византийский император юстиниан великий , использую династические споры вандалов как предлог , посылает армию под командованием велизария в африку .	в 533 год византийский император юстиниан великий , использовать династический спор вандал как предлог , посылать армия под командование велизарий в африка .	ADP ADJ;ESS;INAN;MASC;SG ESS;INAN;MASC;N;SG ADJ;ANIM;MASC;NOM;SG ANIM;MASC;N;NOM;SG ANIM;MASC;NOM;PROPN;SG ADJ;ANIM;MASC;NOM;SG _ IPFV;V;V.CVB ACC;ADJ;INAN;PL ACC;INAN;MASC;N;PL ANIM;GEN;MASC;N;PL ADP ACC;INAN;MASC;N;SG _ 3;FIN;IND;IPFV;PRS;SG;V ACC;FEM;INAN;N;SG ADP INAN;INS;N;NEUT;SG ANIM;GEN;MASC;PROPN;SG ADP ACC;FEM;INAN;PROPN;SG _
над маврусиями , жившими около триполи , правил каваон , талантливый военачальник и весьма проницательный вождь .	над маврусий , жить около триполи , править каваон , талантливый военачальник и весьма проницательный вождь .	ADP ANIM;INS;MASC;N;PL _ ACT;ANIM;INS;IPFV;PL;PST;V;V.PTCP ADP GEN;INAN;MASC;PROPN;SG _ FIN;IND;IPFV;MASC;PST;SG;V ANIM;MASC;NOM;PROPN;SG _ ADJ;ANIM;MASC;NOM;SG ANIM;MASC;N;NOM;SG CONJ ADV ADJ;ANIM;MASC;NOM;SG ANIM;MASC;N;NOM;SG _
в официальной печати стихи кропивницкого не публиковались ( за исключением нескольких детских стихотворений ) , но с 1950 - х годов распространялись в самиздате .	в официальный печать стих кропивницкий не публиковаться ( за исключение несколько детский стихотворение ) , но с 1950 - й год распространяться в самиздат .	ADP ADJ;ESS;FEM;INAN;SG ESS;FEM;INAN;N;SG INAN;MASC;N;NOM;PL ANIM;GEN;MASC;PROPN;SG NEG;PART FIN;IND;IPFV;MID;PL;PST;V _ ADP INAN;INS;N;NEUT;SG GEN;INAN;NUM ADJ;GEN;INAN;PL GEN;INAN;N;NEUT;PL _ _ CONJ ADP ADV _ ADJ;GEN;INAN;PL GEN;INAN;MASC;N;PL FIN;IND;IPFV;MID;PL;PST;V ADP ESS;INAN;MASC;N;SG _
каждый полюс соответствует определенному психологическому аспекту нашей жизни .	каждый полюс соответствовать определенный психологический аспект наш жизнь .	DET;INAN;MASC;NOM;SG INAN;MASC;N;NOM;SG 3;FIN;IND;IPFV;PRS;SG;V ADJ;DAT;INAN;MASC;SG ADJ;DAT;INAN;MASC;SG DAT;INAN;MASC;N;SG 1;DET;FEM;GEN;INAN;SG FEM;GEN;INAN;N;SG _
затем семья сырбу ( папа , алексей иванович сырбу , мама , евгения георгиевна сырбу , брат , алексей ) переехала в город бельцы , где раду окончил 9 - й класс .	затем семья сырбу ( папа , алексей иванович сырбу , мама , евгения георгиевна сырбу , брат , алексей ) переехать в город бельцы , где раду окончить 9 - й класс .	ADV FEM;INAN;N;NOM;SG ANIM;GEN;MASC;PL;PROPN _ ANIM;MASC;N;NOM;SG _ ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG _ ANIM;FEM;N;NOM;SG _ ANIM;FEM;NOM;PROPN;SG ANIM;FEM;NOM;PROPN;SG ANIM;FEM;NOM;PROPN;SG _ ANIM;MASC;N;NOM;SG _ ANIM;MASC;NOM;PROPN;SG _ FEM;FIN;IND;PFV;PST;SG;V ADP ACC;INAN;MASC;N;SG INAN;MASC;NOM;PL;PROPN _ ADV ANIM;MASC;NOM;PROPN;SG FIN;IND;MASC;PFV;PST;SG;V ADV _ ACC;ADJ;INAN;MASC;SG ACC;INAN;MASC;N;SG _
в сша вышли магнитные альбомы `` песни григория дикштейна &#39;&#39; ( 1992 ) , `` как это делалось ... &#39;&#39; ( 1992 ) и `` две души &#39;&#39; ( 1995 ) , компактные диски `` крылья клеенные воском &#39;&#39; ( 1998 ) , `` старое танго с секретом &#39;&#39; ( 1999 ) , `` как это делалось ... &#39;&#39; ( 2001 год , ремейк пластинки ) , `` лаокоон и другие ... `` ( 2003 ) , `` слепок с натуры &#39;&#39; ( 2006 ) и юбилейный сборник `` пересыхающий ручей &#39;&#39; ( 2006 г. , музпром , москва ) .	в сша выйти магнитный альбом `` песня григорий дикштейн &#39;&#39; ( 1992 ) , `` как это делаться ... &#39;&#39; ( 1992 ) и `` два душа &#39;&#39; ( 1995 ) , компактный диск `` крыло клеить воск &#39;&#39; ( 1998 ) , `` старый танго с секрет &#39;&#39; ( 1999 ) , `` как это делаться ... &#39;&#39; ( 2001 год , ремейк пластинка ) , `` лаокоон и другой ... `` ( 2003 ) , `` слепок с натура &#39;&#39; ( 2006 ) и юбилейный сборник `` пересыхать ручей &#39;&#39; ( 2006 г. , музпром , москва ) .	ADP ESS;INAN;MASC;PL;PROPN FIN;IND;PFV;PL;PST;V ADJ;INAN;NOM;PL INAN;MASC;N;NOM;PL _ FEM;INAN;N;NOM;PL ANIM;GEN;MASC;PROPN;SG ANIM;GEN;MASC;PROPN;SG _ _ ADJ;INAN;MASC;NOM;SG _ _ _ ADV INAN;NEUT;NOM;PRO;SG FIN;IND;IPFV;MID;NEUT;PST;SG;V _ _ _ ADJ;INAN;MASC;NOM;SG _ CONJ _ FEM;INAN;NOM;NUM FEM;GEN;INAN;N;SG _ _ ADJ;INAN;MASC;NOM;SG _ _ ADJ;INAN;NOM;PL INAN;MASC;N;NOM;PL _ INAN;N;NEUT;NOM;PL INAN;NOM;PASS;PFV;PL;PST;V;V.PTCP INAN;INS;MASC;N;SG _ _ ADJ;INAN;MASC;NOM;SG _ _ _ ADJ;INAN;NEUT;NOM;SG INAN;N;NEUT;NOM;SG ADP INAN;INS;MASC;N;SG _ _ ADJ;INAN;MASC;NOM;SG _ _ _ ADV INAN;NEUT;NOM;PRO;SG FIN;IND;IPFV;MID;NEUT;PST;SG;V _ _ _ ADJ;INAN;MASC;NOM;SG INAN;MASC;N;NOM;SG _ INAN;MASC;N;NOM;SG FEM;GEN;INAN;N;SG _ _ _ ANIM;MASC;NOM;PROPN;SG CONJ ANIM;MASC;N;NOM;PL _ _ _ ADJ;INAN;MASC;NOM;SG _ _ _ INAN;MASC;N;NOM;SG ADP FEM;GEN;INAN;N;SG _ _ ADJ;INAN;MASC;NOM;SG _ CONJ ADJ;INAN;MASC;NOM;SG INAN;MASC;N;NOM;SG _ ACT;INAN;IPFV;MASC;NOM;PRS;SG;V;V.PTCP INAN;MASC;N;NOM;SG _ _ ADJ;INAN;MASC;NOM;SG INAN;MASC;N;NOM;SG _ INAN;MASC;NOM;PROPN;SG _ FEM;INAN;NOM;PROPN;SG _ _
а с 2002 года режиссёр стал снимать фильмы по собственным сценариям , первой такой работой стал фильм `` икота &#39;&#39; ( ) .	а с 2002 год режиссер стать снимать фильм по собственный сценарий , первый такой работа стать фильм `` икота &#39;&#39; ( ) .	CONJ ADP ADJ;GEN;INAN;MASC;SG GEN;INAN;MASC;N;SG ANIM;MASC;N;NOM;SG FIN;IND;MASC;PFV;PST;SG;V IPFV;NFIN;V ACC;INAN;MASC;N;PL ADP ADJ;DAT;INAN;PL DAT;INAN;MASC;N;PL _ ADJ;FEM;INAN;INS;SG DET;FEM;INAN;INS;SG FEM;INAN;INS;N;SG FIN;IND;MASC;PFV;PST;SG;V INAN;MASC;N;NOM;SG _ FEM;INAN;N;NOM;SG _ _ _ _
он утверждал , что `` просмотр боя после боя и ещё одного боя сильно наскучивает , и это только начало тенденции &#39;&#39; .	он утверждать , что `` просмотр бой после бой и еще один бой сильно наскучивать , и это только начало тенденция &#39;&#39; .	3;MASC;NOM;PRO;SG FIN;IND;IPFV;MASC;PST;SG;V _ CONJ _ INAN;MASC;N;NOM;SG GEN;INAN;MASC;N;SG ADP GEN;INAN;MASC;N;SG CONJ ADV GEN;INAN;MASC;NUM;SG GEN;INAN;MASC;N;SG ADV 3;FIN;IND;IPFV;PRS;SG;V _ CONJ INAN;NEUT;NOM;PRO;SG PART INAN;N;NEUT;NOM;SG FEM;GEN;INAN;N;SG _ _
