suosittelisin , että sellaiset ihmiset menisivät nyt itseensä .	suositella , että sellainen ihminen mennä nyt itse .	1;ACT;COND;FIN;SG;V _ CONJ DET;NOM;PL N;NOM;PL 3;ACT;COND;FIN;PL;V ADV IN+ALL;PRO;PSS3;REFL;SG _
kuka teistä olisi voinut poistua vierasmajasta muiden huomaamatta ulos ja käväistä saunalla ?	kuka te olla voida poistua vierasmaja muu huomata ulos ja käväistä sauna ?	DET;NOM;SG 2;IN+ABL;PL;PRO 3;ACT;COND;FIN;SG;V ACT;NOM;SG;V;V.PTCP ACT;NFIN;V IN+ABL;N;SG GEN;PL;PRO ACT;NFIN;PRIV;V ADV CONJ ACT;NFIN;V AT+ESS;N;SG _
ryhmä on paikallistanut atlantilla ja meksikonlahdella kahdeksan kehittyvää hirmumyrskyä .	ryhmä olla paikallistaa atlantti ja meksikonlahti kahdeksan kehittyä hirmumyrsky .	N;NOM;SG 3;ACT;FIN;IND;PRS;SG;V ACT;NOM;SG;V;V.PTCP AT+ESS;PROPN;SG CONJ AT+ESS;PROPN;SG NOM;NUM;SG ACT;PRT;SG;V;V.PTCP N;PRT;SG _
en osaa sanoa , oliko torilla paljonkin venäläisiä sotilaita , hullunmyllyn keskuksessa ollut valtonen tunnustaa .	ei osata sanoa , olla tori paljon venäläinen sotilas , hullunmylly keskus olla valtonen tunnustaa .	1;ACT;FIN;NEG;SG;V ACT;FIN;IND;PRS;V ACT;NFIN;V _ 3;ACT;FIN;IND;PST;SG;V AT+ESS;N;SG ADV ADJ;PL;PRT N;PL;PRT _ GEN;N;SG IN+ESS;N;SG ACT;NOM;SG;V;V.PTCP NOM;PROPN;SG 3;ACT;FIN;IND;PRS;SG;V _
kerrotte valmistuvanne pian .	kertoa valmistua pian .	2;ACT;FIN;IND;PL;PRS;V ACT;GEN;PSS2P;SG;V;V.PTCP ADV _
mutt eihän toisen maan monarkki voi avioitua toiseen maahan - eihän ?	mutta ei toinen maa monarkki voida avioitua toinen maa - ei ?	CONJ 3;ACT;FIN;NEG;SG;V DET;GEN;SG GEN;N;SG N;NOM;SG 3;ACT;FIN;IND;PRS;SG;V ACT;NFIN;V DET;IN+ALL;SG IN+ALL;N;SG _ 3;ACT;FIN;NEG;SG;V _
kuukausipalkkaisista toimihenkilöistä parhaiten ansaitsivat miespuoliset pankkitoimihenkilöt .	kuukausipalkkainen toimihenkilö parhaiten ansaita miespuolinen pankkitoimihenkilö .	ADJ;IN+ABL;PL IN+ABL;N;PL ADV;RL 3;ACT;FIN;IND;PL;PST;V ADJ;NOM;PL N;NOM;PL _
trokarit tai venäläisittäin jobbarit hankkivat leveämpää leipää ostamalla turisteilta länsitavaraa ja myymällä sitä huikeaan hintaan maanmiehilleen .	trokari tai venäläisittäin jobbari hankkia leveä leipä ostaa turisti länsitavara ja myydä se huikea hinta maanmies .	N;NOM;PL CONJ ADV N;NOM;PL 3;ACT;FIN;IND;PL;PRS;V ADJ;CMPR;PRT;SG N;PRT;SG ACT;AT+ESS;NFIN;V AT+ABL;N;PL N;PRT;SG CONJ ACT;AT+ESS;NFIN;V PRO;PRT;SG ADJ;IN+ALL;SG IN+ALL;N;SG AT+ALL;N;PL;PSS3 _
kuvailemani kaltainen	kuvailla kaltainen	GEN;PSS1S;SG;V;V.PTCP ADJ;NOM;SG
menetelmät eivät aina onnistu , mikä kuultiin metsäekologian laitoksen tutkija anneli ylimartion kertoessa .	menetelmä ei aina onnistua , mikä kuulla metsäekologia laitos tutkija anneli ylimartio kertoa .	N;NOM;PL 3;ACT;FIN;NEG;PL;V ADV ACT;FIN;IND;PRS;V _ NOM;PRO;SG FIN;IND;PASS;PST;V GEN;N;SG GEN;N;SG N;NOM;SG NOM;PROPN;SG GEN;PROPN;SG ACT;IN+ESS;NFIN;V _
vanhan 405:n ainoa porrasperäinen malli on nykyisin kaksilitrainen style .	vanha 405 ainoa porrasperäinen malli olla nykyisin kaksilitrainen style .	ADJ;GEN;SG GEN;NUM;SG ADJ;NOM;SG ADJ;NOM;SG N;NOM;SG 3;ACT;FIN;IND;PRS;SG;V ADV ADJ;NOM;SG _ _
kissasta pitää huolehtia sittenkin kun kesä on ohi .	kissa pitää huolehtia sitten kun kesä olla ohi .	IN+ABL;N;SG 3;ACT;FIN;IND;PRS;SG;V ACT;NFIN;V ADV CONJ N;NOM;SG 3;ACT;FIN;IND;PRS;SG;V ADV _
tulenjohtaja istui takapenkillä selkä menosuuntaan päin .	tulenjohtaja istua takapenkki selkä menosuunta päin .	N;NOM;SG 3;ACT;FIN;IND;PST;SG;V AT+ESS;N;SG N;NOM;SG IN+ALL;N;SG PART _
auto pysyi tiellä .	auto pysyä tie .	N;NOM;SG 3;ACT;FIN;IND;PST;SG;V AT+ESS;N;SG _
kiekko-espoolla on varaa hävitä vain yksi jäljellä olevista 11 ottelusta noustakseen kahdeksan joukkoon .	kiekko-espoo olla vara hävitä vain yksi jäljellä olla 11 ottelu nousta kahdeksan joukkoon .	AT+ESS;PROPN;SG 3;ACT;FIN;IND;PRS;SG;V N;PRT;SG ACT;NFIN;V PART NOM;NUM;SG ADV ACT;IN+ABL;PL;V;V.PTCP NUM IN+ABL;N;SG ACT;NFIN;PSS3;TRANS;V GEN;NUM;SG ADP _
ulkomailla ryöstetään , huijataan ja hakataan	ulkomaa ryöstää , huijata ja hakata	AT+ESS;N;PL FIN;IND;PASS;PRS;V _ FIN;IND;PASS;PRS;V CONJ FIN;IND;PASS;PRS;V
kannatti valvoa .	kannattaa valvoa .	3;ACT;FIN;IND;PST;SG;V ACT;NFIN;V _
se nyt vielä puuttuisi , että alkaisin olla mustasukkainen siitä akasta .	se nyt vielä puuttua , että alkaa olla mustasukkainen se akka .	NOM;PRO;SG PART PART 3;ACT;COND;FIN;SG;V _ CONJ 1;ACT;COND;FIN;SG;V ACT;NFIN;V ADJ;NOM;SG DET;IN+ABL;SG IN+ABL;N;SG _
ympärillä seisova väki tuijotti näkyä kuin lumottuna .	ympärillä seisoa väki tuijottaa näky kuin lumota .	ADV ACT;NOM;SG;V;V.PTCP N;NOM;SG 3;ACT;FIN;IND;PST;SG;V N;PRT;SG CONJ FRML;PASS;SG;V;V.PTCP _
siitä , että kuolemat olisivat johtuneet ns. muuttostressistä tai sen seurauksista , hän ei ole varma .	se , että kuolema olla johtua ns. muuttostressi tai se seuraus , hän ei olla varma .	IN+ABL;PRO;SG _ CONJ N;NOM;PL 3;ACT;COND;FIN;PL;V ACT;NOM;PL;V;V.PTCP PART IN+ABL;N;SG CONJ DET;GEN;SG IN+ABL;N;PL _ 3;NOM;PRO;SG 3;ACT;FIN;NEG;SG;V ACT;FIN;IND;PRS;V ADJ;NOM;SG _
kyllä kyllä	kyllä kyllä	PART PART
illalla monet romanovit kokoontuivat palatseihinsa päivälliselle .	ilta moni romanov kokoontua palatsi päivällinen .	AT+ESS;N;SG DET;NOM;PL NOM;PL;PROPN 3;ACT;FIN;IND;PL;PST;V IN+ALL;N;PL;PSS3 AT+ALL;N;SG _
vastaa kysymyksiin valitsemalla jokin vastausvaihtoehdoista .	vastata kysymys valita jokin vastausvaihtoehto .	2;ACT;FIN;IMP;SG;V IN+ALL;N;PL ACT;AT+ESS;NFIN;V DET;NOM;SG IN+ABL;N;PL _
minun on yksinkertaisesti pakko antaa lehdille jotain , uusitalo sanoi .	minä olla yksinkertaisesti pakko antaa lehti jokin , uusitalo sanoa .	1;GEN;PRO;SG 3;ACT;FIN;IND;PRS;SG;V ADV N;NOM;SG ACT;NFIN;V AT+ALL;N;PL PRO;PRT;SG _ NOM;PROPN;SG 3;ACT;FIN;IND;PST;SG;V _
seppeleet ovat kaikki mikan ansaitsemia .	seppele olla kaikki mika ansaita .	N;NOM;PL 3;ACT;FIN;IND;PL;PRS;V NOM;PRO GEN;PROPN;SG PL;PRT;V;V.PTCP _
katsokaa te muut ett ei ala kuulua samanlaisia puhelinsoittoja .	katsoa te muu että ei alkaa kuulua samanlainen puhelinsoitto .	2;ACT;FIN;IMP;PL;V 2;DET;NOM;PL NOM;PL;PRO CONJ 3;ACT;FIN;NEG;SG;V ACT;FIN;IND;PRS;V ACT;NFIN;V ADJ;PL;PRT N;PL;PRT _
uusi oikeudenkäynti on epätodennäköinen .	uusi oikeudenkäynti olla epätodennäköinen .	ADJ;NOM;SG N;NOM;SG 3;ACT;FIN;IND;PRS;SG;V ADJ;NOM;SG _
vaaleissa puolueen kannatus oli 19,9 prosenttia .	vaali puolue kannatus olla 19,9 prosentti .	IN+ESS;N;PL GEN;N;SG N;NOM;SG 3;ACT;FIN;IND;PST;SG;V NUM N;PRT;SG _
vasara syöttää , lehtinen pysäyttää päällään jalkoihinsa , käännähtää ja vetäisee paijan vierestä takatolpan kautta : 2-1 .	vasara syöttää , lehtinen pysäyttää pää jalka , käännähtää ja vetäistä paija vierestä takatolppa kautta : 2-1 .	N;NOM;SG 3;ACT;FIN;IND;PRS;SG;V _ NOM;PROPN;SG 3;ACT;FIN;IND;PRS;SG;V AT+ESS;N;PSS3;SG IN+ALL;N;PL;PSS3 _ 3;ACT;FIN;IND;PRS;SG;V CONJ 3;ACT;FIN;IND;PRS;SG;V GEN;PROPN;SG ADP GEN;N;SG ADP _ NUM _
minne kuluttajat laittavat säästyneet markkansa , on vaikea täsmällisesti sanoa .	minne kuluttaja laittaa säästyä markka , olla vaikea täsmällisesti sanoa .	ADV N;NOM;PL 3;ACT;FIN;IND;PL;PRS;V ACT;NOM;PL;V;V.PTCP N;NOM;PL;PSS3 _ 3;ACT;FIN;IND;PRS;SG;V ADJ;NOM;SG ADV ACT;NFIN;V _
unohda kysymykseni	unohtaa kysymys	2;ACT;FIN;IMP;SG;V N;NOM;PSS1S;SG
karjala-talossa on tapahtumia pitkin päivää .	karjala-talo olla tapahtuma pitkin päivä .	IN+ESS;PROPN;SG 3;ACT;FIN;IND;PRS;SG;V N;PL;PRT ADP N;PRT;SG _
itseruoskinta kuuluu kirjailijakokoukseen kuin vihdan läiske savusaunaan .	itseruoskinta kuulua kirjailijakokous kuin vihta läiske savusauna .	N;NOM;SG 3;ACT;FIN;IND;PRS;SG;V IN+ALL;N;SG CONJ GEN;N;SG N;NOM;SG IN+ALL;N;SG _
sit me mentiin maija ja anders ja yks aslak ja , kerstin ja , minä sit mentii juttutupaa ja sitte , istuttii siel	sitten me mennä maija ja anders ja yksi aslak ja , kerstin ja , minä sitten mennä juttutupa ja sitten , istua siellä	ADV 1;NOM;PL;PRO FIN;IND;PASS;PST;V NOM;PROPN;SG CONJ NOM;PROPN;SG CONJ DET;NOM;SG NOM;PROPN;SG CONJ _ NOM;PROPN;SG CONJ _ 1;NOM;PRO;SG ADV FIN;IND;PASS;PST;V IN+ALL;PROPN;SG CONJ ADV _ FIN;IND;PASS;PST;V ADV
stan -- kiroili maansa päättäjien lyhytnäköisyyttä ja cia:n typeryyttä : - syrjäyttää nyt sihanouk , ainoa kaveri joka pystyi yhdistämään kambodzhalaiset , ja laittaa tilalle lon nolin kaltainen marionettihallitsija .	stan -- kiroilla maa päättäjä lyhytnäköisyys ja cia typeryys : - syrjäyttää nyt sihanouk , ainoa kaveri joka pystyä yhdistää kambodzhalainen , ja laittaa tilalle lon nol kaltainen marionettihallitsija .	NOM;PROPN;SG _ 3;ACT;FIN;IND;PST;SG;V GEN;N;PSS3;SG GEN;N;PL N;PRT;SG CONJ GEN;PROPN;SG N;PRT;SG _ _ ACT;NFIN;V PART NOM;PROPN;SG _ ADJ;NOM;SG N;NOM;SG NOM;PRO;SG 3;ACT;FIN;IND;PST;SG;V ACT;IN+ALL;NFIN;V ADJ;NOM;PL _ CONJ ACT;NFIN;V ADV NOM;PROPN;SG GEN;PROPN;SG ADJ;NOM;SG N;NOM;SG _
ei voi ajatellakhaa varhmaan että ne ikinä olis vakinaisia .	ei voida ajatella varmaan että ne ikinä olla vakinainen .	3;ACT;FIN;NEG;SG;V ACT;FIN;IND;PRS;V ACT;NFIN;V PART CONJ NOM;PL;PRO ADV 3;ACT;COND;FIN;SG;V ADJ;PL;PRT _
halukkuus lähteä	halukkuus lähteä	N;NOM;SG ACT;NFIN;V
afrikkalaisnaiset pujottelevat tottuneesti ihmisvilinässä kantaen kaikkea tarvitsemaansa päänsä päällä .	afrikkalaisnainen pujotella tottuneesti ihmisvilinä kantaa kaikki tarvita pää päällä .	N;NOM;PL 3;ACT;FIN;IND;PL;PRS;V ADV IN+ESS;N;SG ACT;INS;NFIN;V DET;PRT;SG PRT;PSS3;SG;V;V.PTCP GEN;N;PSS3;SG ADP _
älkäämme hypätkö	ei hypätä	1;ACT;FIN;IMP;NEG;PL;V ACT;FIN;IMP;V
tästä pöydältä	tästä pöytä	ADV AT+ABL;N;SG
määrin tunnusmerkki on ranskan trikolorin ( sininen , valkoinen , punainen ) värinen kangasvyö .	määri tunnusmerkki olla ranska trikolori ( sininen , valkoinen , punainen ) värinen kangasvyö .	GEN;PROPN;SG N;NOM;SG 3;ACT;FIN;IND;PRS;SG;V GEN;PROPN;SG GEN;N;SG _ ADJ;NOM;SG _ ADJ;NOM;SG _ ADJ;NOM;SG _ ADJ;NOM;SG N;NOM;SG _
antakaahan olla .	antaa olla .	2;ACT;FIN;IMP;PL;V ACT;NFIN;V _
sähköautoa luullaan usein saasteettomaksi vaihtoehdoksi .	sähköauto luulla usein saasteeton vaihtoehto .	N;PRT;SG FIN;IND;PASS;PRS;V ADV ADJ;SG;TRANS N;SG;TRANS _
kapinalliset muodostivat varjohallituksen	kapinallinen muodostaa varjohallitus	ADJ;NOM;PL 3;ACT;FIN;IND;PL;PST;V GEN;N;SG
sitten heräsi sellainenkin kysymys , voitaisiinko asia hoitaa myös toisin .	sitten herätä sellainen kysymys , voida asia hoitaa myös toisin .	ADV 3;ACT;FIN;IND;PST;SG;V DET;NOM;SG N;NOM;SG _ COND;FIN;PASS;V N;NOM;SG ACT;NFIN;V PART ADV _
onneksi en harrasta valokuvausta , muuten köyhtyisin heti neljällä tuhannella .	onneksi ei harrastaa valokuvaus , muuten köyhtyä heti neljä tuhat .	ADV 1;ACT;FIN;NEG;SG;V ACT;FIN;IND;PRS;V N;PRT;SG _ ADV 1;ACT;COND;FIN;SG;V ADV AT+ESS;NUM;SG AT+ESS;NUM;SG _
edustajat ajattelivat mainettaan .	edustaja ajatella maine .	N;NOM;PL 3;ACT;FIN;IND;PL;PST;V N;PRT;PSS3;SG _
hän oli sahannut yhden haulikoistaan , sopinut tapaamisesta huurteen kanssa pääsiäismaanantaina .	hän olla sahata yksi haulikko , sopia tapaaminen huurre kanssa pääsiäismaanantai .	3;NOM;PRO;SG 3;ACT;FIN;IND;PST;SG;V ACT;NOM;SG;V;V.PTCP GEN;NUM;SG IN+ABL;N;PL;PSS3 _ ACT;NOM;SG;V;V.PTCP IN+ABL;N;SG GEN;PROPN;SG ADP FRML;N;SG _
tota ootas nytten .	tuota odottaa nyt .	PART 2;ACT;FIN;IMP;SG;V PART _
tulen viiden tienoilla .	tulla viisi tienoilla .	1;ACT;FIN;IND;PRS;SG;V GEN;NUM;SG ADP _
pisin juoksematon kauteni vihon mukaan on parin vuoden takaa .	pitkä juosta kausi vihko mukaan olla pari vuosi takaa .	ADJ;NOM;RL;SG NOM;SG;V;V.PTCP N;NOM;PSS1S;SG GEN;N;SG ADP 3;ACT;FIN;IND;PRS;SG;V GEN;NUM;SG GEN;N;SG ADP _
niinhän se oli .	niin se olla .	ADV NOM;PRO;SG 3;ACT;FIN;IND;PST;SG;V _
tilasitte taksin .	tilata taksi .	2;ACT;FIN;IND;PL;PST;V GEN;N;SG _
teollisuusmaiden järjestön oecd:n suomea koskeva raportti on jo julkistamishetkellä vanhentunut .	teollisuusmaa järjestö oecd suomi koskea raportti olla jo julkistamishetki vanhentua .	GEN;N;PL GEN;N;SG GEN;PROPN;SG PROPN;PRT;SG ACT;NOM;SG;V;V.PTCP N;NOM;SG 3;ACT;FIN;IND;PRS;SG;V PART AT+ESS;N;SG ACT;NOM;SG;V;V.PTCP _
konsernin liikevaihto kasvoi 2,5 miljardilla markalla ollen nyt 8,5 miljardia markkaa .	konserni liikevaihto kasvaa 2,5 miljardi markka olla nyt 8,5 miljardi markka .	GEN;N;SG N;NOM;SG 3;ACT;FIN;IND;PST;SG;V NUM AT+ESS;NUM;SG AT+ESS;N;SG ACT;INS;NFIN;V ADV NUM NUM;PRT;SG N;PRT;SG _
mä oli sillai ensi mä meinasi et mä en ota mu s mä olin vaa et no kiitos ,	minä olla sillälailla ensin minä meinata että minä ei ottaa mutta sitten minä olla vaan että no kiitos ,	1;NOM;PRO;SG 1;ACT;FIN;IND;PST;SG;V ADV ADV 1;NOM;PRO;SG 1;ACT;FIN;IND;PST;SG;V CONJ 1;NOM;PRO;SG 1;ACT;FIN;NEG;SG;V ACT;FIN;IND;PRS;V CONJ ADV 1;NOM;PRO;SG 1;ACT;FIN;IND;PST;SG;V PART CONJ INTJ N;NOM;SG _
noin .	noin .	ADV _
he ovat tyytyväisiä toistensa suorituksiin .	he olla tyytyväinen toinen suoritus .	3;NOM;PL;PRO 3;ACT;FIN;IND;PL;PRS;V ADJ;PL;PRT DET;GEN;PL;PSS3 IN+ALL;N;PL _
lapsi oli vihainen kaverilleen .	lapsi olla vihainen kaveri .	N;NOM;SG 3;ACT;FIN;IND;PST;SG;V ADJ;NOM;SG AT+ALL;N;PSS3;SG _
palkkoja korotetaan maaliskuun alusta 2,5 prosenttia , kuitenkin vähintään 220 markkaa kuukaudessa .	palkka korottaa maaliskuu alusta 2,5 prosentti , kuitenkin vähintään 220 markka kuukausi .	N;PL;PRT FIN;IND;PASS;PRS;V GEN;N;SG ADP NUM N;PRT;SG _ PART PART NUM N;PRT;SG IN+ESS;N;SG _
ehtiikö valtio mukaan kehitysvauhtiin ?	ehtiä valtio mukaan kehitysvauhti ?	3;ACT;FIN;IND;PRS;SG;V N;NOM;SG ADV IN+ALL;N;SG _
mikko elo vaatii lipposelta demarimpaa politiikkaa	mikko elo vaatia lipponen demari politiikka	NOM;PROPN;SG NOM;PROPN;SG 3;ACT;FIN;IND;PRS;SG;V AT+ABL;PROPN;SG CMPR;N;PRT;SG N;PRT;SG
ota ota nyt vaan .	ottaa ottaa nyt vaan .	2;ACT;FIN;IMP;SG;V 2;ACT;FIN;IMP;SG;V PART PART _
puutarha-uutisten numerossa 25 sivulla 608 oli kuvia .	puutarha-uutinen numero 25 sivu 608 olla kuva .	GEN;N;PL IN+ESS;N;SG NUM AT+ESS;N;SG NUM 3;ACT;FIN;IND;PST;SG;V N;PL;PRT _
he olivat kulkeneet ovelta ovelle ja käskeneet ottamaan mukaan vain kaikkein välttämättömimmän .	he olla kulkea ovi ovi ja käskeä ottaa mukaan vain kaikkein välttämätön .	3;NOM;PL;PRO 3;ACT;FIN;IND;PL;PST;V ACT;NOM;PL;V;V.PTCP AT+ABL;N;SG AT+ALL;N;SG CONJ ACT;NOM;PL;V;V.PTCP ACT;IN+ALL;NFIN;V ADV PART PART ADJ;GEN;RL;SG _
