հիմա , իհարկե , շատ ավելին գիտենք ։	հիմա , իհարկե , շատ ավելի գիտենալ ։	ADV _ PART _ ADJ DEF;N;NHUM;NOM;SG 1;ACT;FIN;IND;IPFV;PL;POS;PRS;V _
բուլղարները ստիպված եղան հաշտություն խնդրել և , ստանալով իրենց առաջնորդին , հեռացան հռոմեական կայսրության տիրույթներից :	բուլղար ստիպել լինել հաշտություն խնդրել և , ստանալ ինքը առաջնորդ , հեռանալ հռոմեական կայսրություն տիրույթ :	DEF;HUM;N;NOM;PL PASS;PFV;POS;V;V.PTCP 3;FIN;IND;PFV;PL;POS;PST;V INDF;N;NHUM;NOM;SG ACT;NFIN;POS;V CONJ _ ACT;INDF;INS;POS;V;V.CVB 3;DET;GEN;PL;REFL DAT;DEF;HUM;N;SG _ 3;FIN;IND;MID;PFV;PL;POS;PST;V ADJ DAT;INDF;N;NHUM;SG AT+ABL;INDF;N;NHUM;PL _
լավագույն դեպքում հորիզոնում տեսնում են միայն աժ ելք խմբակցությանը :	լավ դեպք հորիզոն տեսնել եմ միայն աժ ելք խմբակցություն :	ADJ;RL ESS;INDF;N;NHUM;SG ESS;INDF;N;NHUM;SG ACT;IPFV;V;V.PTCP 3;FIN;IND;IPFV;PL;POS;PRS;V ADV INDF;NHUM;NOM;PROPN;SG INDF;N;NHUM;NOM;SG DAT;DEF;N;NHUM;SG _
իսկ էս ծննդկանը բանից անտեղյակ , բերածն էլ ՝ զույգ , ու դեռ չծնված էնպես էին ճղվելով ղժում - վնգում , որ նույնիսկ դռնից դուրս լսվում - հասկացվում էր ՝ առողջ լաց է ։	իսկ այս ծննդկան բան անտեղյակ , բերած էլ ՝ զույգ , ու դեռ ծնվել այնպես եմ ճղվել ղժալ - վնգալ , որ նույնիսկ դուռ դուրս լսվել - հասկանալ եմ ՝ առողջ լաց եմ ։	CONJ DET DEF;HUM;N;NOM;SG AT+ABL;INDF;N;NHUM;SG ADJ _ DEF;N;NHUM;NOM;SG ADV _ HUM;INDF;N;NOM;SG _ CONJ ADV MID;NEG;PFV;V;V.PTCP ADV 3;FIN;IND;IPFV;PL;POS;V INDF;INS;MID;POS;V;V.CVB IPFV;MID;V;V.PTCP _ IPFV;MID;V;V.PTCP _ CONJ PART AT+ABL;INDF;N;NHUM;SG ADP IPFV;MID;V;V.PTCP _ IPFV;PASS;V;V.PTCP 3;FIN;IND;IPFV;POS;SG;V _ ADJ INDF;N;NHUM;NOM;SG 3;FIN;IND;IPFV;POS;PRS;SG;V _
այս տարվա սեպտեմբերին կմեկնարկի բասկետբոլի եվրոպայի առաջնության ընտրական երկրորդ փուլը , որին մասնակցելու իրավունք է ստացել նաև հայաստանի ազգային հավաքականը :	այս տարի սեպտեմբեր մեկնարկել բասկետբոլ եվրոպա առաջնություն ընտրական երկրորդ փուլ , որ մասնակցել իրավունք եմ ստանալ նաև հայաստան ազգային հավաքական :	DET DAT;INDF;N;NHUM;SG DAT;DEF;N;NHUM;SG 3;COND;FIN;MID;POS;PROSP;PRS;SG;V DAT;INDF;N;NHUM DAT;INDF;NHUM;PROPN;SG DAT;INDF;N;NHUM;SG ADJ ADJ DEF;N;NHUM;NOM;SG _ DAT;DEF;PRO;SG DAT;INDF;MID;POS;V;V.CVB INDF;N;NHUM;NOM;SG 3;FIN;IND;IPFV;POS;PRS;SG;V ACT;PFV;V;V.PTCP CONJ DAT;INDF;NHUM;PROPN;SG ADJ DEF;N;NHUM;NOM;SG _
մեկ ուրիշը պարուսույց էր , ինքը չէր պարում , բայց բոլորին ստիպում էր , որ պարեն ։	մեկ ուրիշ պարուսույց եմ , ինքը եմ պարել , բայց բոլորը ստիպել եմ , որ պարել ։	DET DEF;NOM;PRO;SG HUM;INDF;N;NOM;SG 3;FIN;IND;IPFV;POS;SG;V _ 3;NOM;PRO;SG 3;FIN;IND;IPFV;NEG;SG;V IPFV;MID;V;V.PTCP _ CONJ DAT;PRO ACT;IPFV;V;V.PTCP 3;FIN;IND;IPFV;POS;SG;V _ CONJ 3;FIN;MID;PL;POS;PROSP;PRS;SBJV;V _
փառատոնի շրջանակում կանցկացվի ուլրիխ զայդլի « սաֆարի » և ամերիկյան կինոյի ներկայացուցիչ շոն բեյքերի « ֆլորիդա նախագիծը » ֆիլմերի հայաստանյան պրեմիերաները :	փառատոն շրջանակ անցկացնել ուլրիխ զայդլ « սաֆարի » և ամերիկյան կինո ներկայացուցիչ շոն բեյքեր « ֆլորիդա նախագիծ » ֆիլմ հայաստանյան պրեմիերա :	DAT;INDF;N;NHUM;SG ESS;INDF;N;NHUM;SG 3;COND;FIN;PASS;POS;PROSP;PRS;SG;V HUM;INDF;NOM;PROPN;SG DAT;HUM;INDF;PROPN;SG _ INDF;N;NHUM;NOM;SG _ CONJ ADJ DAT;INDF;N;NHUM;SG HUM;INDF;N;NOM;SG HUM;INDF;NOM;PROPN;SG DAT;HUM;INDF;PROPN;SG _ INDF;NHUM;NOM;PROPN;SG DEF;N;NHUM;NOM;SG _ DAT;INDF;N;NHUM;PL ADJ DEF;N;NHUM;NOM;PL _
այդ պարագայում հայաստանի դիրքերին որևէ վնաս չի հասցվի :	այդ պարագա հայաստան դիրք որևէ վնաս եմ հասնել :	DET ESS;INDF;N;NHUM;SG DAT;INDF;NHUM;PROPN;SG DAT;DEF;N;NHUM;PL DET INDF;N;NHUM;NOM;SG 3;FIN;IND;IPFV;NEG;PRS;SG;V COND;FIN;PASS;PROSP;V _
այդ օրը ռուսաստանում նշում են հայրենիքի պաշտպանի օրը :	այդ օր ռուսաստան նշել եմ հայրենիք պաշտպան օր :	DET DEF;N;NHUM;NOM;SG ESS;INDF;NHUM;PROPN;SG ACT;IPFV;V;V.PTCP 3;FIN;IND;IPFV;PL;POS;PRS;V DAT;INDF;N;NHUM;SG DAT;HUM;INDF;N;SG DEF;N;NHUM;NOM;SG _
ճչան ու սպիտակ լույսի մեջ ՝ իրար խածած լեռներ , արյուն , գոռուգոչ , լաց , անկանոն շարժում , իրարանցում ...	ճչան ու սպիտակ լույս մեջ ՝ իրար խածել լեռ , արյուն , գոռուգոչ , լաց , անկանոն շարժում , իրարանցում ...	ADJ CONJ ADJ DAT;INDF;N;NHUM;SG ADP;NOM _ DAT;PL;PRO ACT;PFV;POS;V;V.PTCP INDF;N;NHUM;NOM;PL _ INDF;N;NHUM;NOM;SG _ INDF;N;NHUM;NOM;SG _ INDF;N;NHUM;NOM;SG _ ADJ INDF;N;NHUM;NOM;SG _ INDF;N;NHUM;NOM;SG _
նաիրա հայրումյան , մեկնաբան	նաիրա հայրումյան , մեկնաբան	HUM;INDF;NOM;PROPN;SG HUM;INDF;NOM;PROPN;SG _ HUM;INDF;N;NOM;SG
ինչևէ , երևի նույն կերպ էլ մարտինին հանդիպելուց հետո կնոջ պատկերն էր ամբողջացել ։	ինչևէ , երևի նույն կերպ էլ մարտին հանդիպել հետո կին պատկեր եմ ամբողջանալ ։	PART _ PART DET INDF;N;NHUM;NOM;SG ADV DAT;DEF;HUM;PROPN;SG AT+ABL;INDF;MID;POS;V;V.CVB ADP DAT;HUM;INDF;N;SG DEF;N;NHUM;NOM;SG 3;FIN;IND;IPFV;POS;SG;V MID;PFV;V;V.PTCP _
ինքն էլ համաձայն էր . « էրեխու զորությունն ինչ ՞ ա , ձեռդ սեղմեցիր քիթբերնին ՝ խեղդված ա » ։	ինքը էլ համաձայն եմ . « երեխա զորություն ինչ ՞ եմ , ձեռ սեղմել քիթբերան ՝ խեղդել եմ » ։	3;NOM;PRO;SG ADV ADJ 3;FIN;IND;IPFV;POS;SG;V _ _ DAT;HUM;INDF;N;SG DEF;N;NHUM;NOM;SG INDF;NOM;PRO;SG _ 3;FIN;IND;IPFV;POS;PRS;SG;V _ N;NHUM;NOM;PSS2S;SG 2;ACT;FIN;IND;PFV;POS;PST;SG;V DAT;DEF;N;NHUM;SG _ PASS;PFV;POS;V;V.PTCP 3;FIN;IND;IPFV;POS;PRS;SG;V _ _
ողջ գիշեր լույս էր լինում , իսկ առավոտյան գյուղը զարթնում էր հաճույքից խոնջացած կնոջ նման ։	ողջ գիշեր լույս եմ լինել , իսկ առավոտյան գյուղ զարթնել եմ հաճույք խոնջանալ կին նման ։	DET INDF;N;NHUM;NOM;SG INDF;N;NHUM;NOM;SG 3;FIN;IND;IPFV;POS;SG;V IPFV;MID;V;V.PTCP _ CONJ ADV DEF;N;NHUM;NOM;SG IPFV;MID;V;V.PTCP 3;FIN;IND;IPFV;POS;SG;V AT+ABL;INDF;N;NHUM;SG MID;PFV;POS;V;V.PTCP DAT;HUM;INDF;N;SG ADP _
թերևս առանց ջրի մնալու վախը կամ կնոջ նկատմամբ ունեցած պարտավորությունը ...	թերևս առանց ջուր մնալ վախ կամ կին նկատմամբ ունենալ պարտավորություն ...	PART ADP DAT;INDF;N;NHUM;SG DAT;INDF;MID;POS;V;V.CVB DEF;N;NHUM;NOM;SG CONJ DAT;HUM;INDF;N;SG ADP ACT;PFV;POS;V;V.PTCP DEF;N;NHUM;NOM;SG _
լուսածագին քարտեզը ծնկներին գեներալներն ու հրամանատարները ճշտեցին գյուղի դիրքը , ու մենք չորս կողմից տապալված հեռագրասյուների , էլեկտրասյուների , առաջնորդների մեծադիր յուղանկարների , գալարաթափ լարերի , մետաղների ու , քթներիս առած ինչ - որ բուրմունքների միջով , մեր շղթայակազմ շարքերից ընկնող տղաներին թողած կրնկակոխ եկող սանիտարական մեքենաներին , բամբակի դաշտերով էլ անցանք ու հողի դողը ոտքներիս տակ ՝ մտանք գյուղ :	լուսածագ քարտեզ ծունկ գեներալ ու հրամանատար ճշտել գյուղ դիրք , ու մենք չորս կողմ տապալել հեռագրասյուն , էլեկտրասյուն , առաջնորդ մեծադիր յուղանկար , գալարաթափ լար , մետաղ ու , քիթ առնել ինչ ֊ որ բուրմունք մեջ , մենք շղթայակազմ շարք ընկնել տղա թողնել կրնկակոխ գալ սանիտարական մեքենա , բամբակ դաշտ էլ անցնել ու հող դող ոտք տակ ՝ մտնել գյուղ :	DAT;DEF;N;NHUM;SG DEF;N;NHUM;NOM;SG DAT;DEF;N;NHUM;PL DEF;HUM;N;NOM;PL CONJ DEF;HUM;N;NOM;PL 3;ACT;FIN;IND;PFV;PL;POS;PST;V DAT;INDF;N;NHUM;SG DEF;N;NHUM;NOM;SG _ CONJ 1;NOM;PL;PRO NUM AT+ABL;INDF;N;NHUM;SG PASS;PFV;POS;V;V.PTCP DAT;INDF;N;NHUM;PL _ DAT;INDF;N;NHUM;PL _ DAT;HUM;INDF;N;PL ADJ DAT;INDF;N;NHUM;PL _ ADJ DAT;INDF;N;NHUM;PL _ DAT;INDF;N;NHUM;PL CONJ _ DAT;N;NHUM;PL;PSS1P ACT;PFV;POS;V;V.PTCP DET _ PART DAT;INDF;N;NHUM;PL ADP;INS _ 1;DET;GEN;PL ADJ AT+ABL;INDF;N;NHUM;PL MID;POS;V;V.PTCP DAT;DEF;HUM;N;PL ACT;PFV;POS;V;V.PTCP ADV MID;POS;V;V.PTCP ADJ DAT;DEF;N;NHUM;PL _ DAT;INDF;N;NHUM;SG INDF;INS;N;NHUM;PL ADV 1;FIN;IND;MID;PFV;PL;POS;PST;V CONJ DAT;INDF;N;NHUM;SG DEF;N;NHUM;NOM DAT;N;NHUM;PL;PSS1P ADP;NOM _ 1;FIN;IND;MID;PFV;PL;POS;PST;V INDF;N;NHUM;NOM;SG _
միևնույն ժամանակ , սակայն , խորքային առումով իրապես բավական բարդ է ճշգրտորեն արձանագրել , թե փոթորկվող աշխարհում ինչի շուրջ է այդ ուժային կենտրոնների միջև շոշափելի կամ նկատելի կոնսենսուսը , որն է այդ կոնսենսուսային բացառիկ իրավիճակի հենման կետը :	միևնույն ժամանակ , սակայն , խորքային առում իրապես բավական բարդ եմ ճշգրտորեն արձանագրել , թե փոթորկվել աշխարհ ինչ շուրջ եմ այդ ուժային կենտրոն միջև շոշափելի կամ նկատելի կոնսենսուս , որ եմ այդ կոնսենսուսային բացառիկ իրավիճակ հենում կետ :	ADJ INDF;N;NHUM;NOM;SG _ CONJ _ ADJ INDF;INS;N;NHUM;SG ADV ADV ADJ 3;FIN;IND;IPFV;POS;PRS;SG;V ADV ACT;NFIN;POS;V _ CONJ MID;POS;V;V.PTCP ESS;INDF;N;NHUM;SG DAT;INDF;PRO;SG ADP 3;FIN;IND;IPFV;POS;PRS;SG;V DET ADJ DAT;INDF;N;NHUM;PL ADP ADJ CONJ ADJ DEF;N;NHUM;NOM;SG _ DEF;NOM;PRO;SG 3;FIN;IND;IPFV;POS;PRS;SG;V DET ADJ ADJ DAT;INDF;N;NHUM;SG DAT;INDF;N;NHUM;SG DEF;N;NHUM;NOM;SG _
ներքին կյանք - 06 մարտի 2017 , 15:26	ներքին կյանք - 06 մարտ 2017 , 15:26	ADJ INDF;N;NHUM;NOM;SG _ NUM DAT;INDF;N;NHUM;SG NUM _ NUM
նշենք նաև , որ հասան ջեմալը նաև « 1915 . հայոց ցեղասպանությունը » գրքի հեղինակն է , որը թարգմանվել է մի շարք լեզուներով :	նշել նաև , որ հասան ջեմալ նաև « 1915 . հայոց ցեղասպանություն » գիրք հեղինակ եմ , որ թարգմանել եմ մի շարք լեզու :	1;ACT;FIN;PL;POS;PROSP;PRS;SBJV;V CONJ _ CONJ HUM;INDF;NOM;PROPN;SG DEF;HUM;NOM;PROPN;SG CONJ _ NUM _ ADJ DEF;N;NHUM;NOM;SG _ DAT;INDF;N;NHUM;SG DEF;HUM;N;NOM;SG 3;FIN;IND;IPFV;POS;PRS;SG;V _ DEF;NOM;PRO;SG PASS;PFV;V;V.PTCP 3;FIN;IND;IPFV;POS;PRS;SG;V DET INDF;N;NHUM;NOM;SG INDF;INS;N;NHUM;PL _
եվ միայն յոթերորդ անգամ , այդ օրը ՝ 1941 թվականի հունիսի 21-ի լույս 22-ի խավար գիշերը երեխան ողջ ու առողջ ծնվեց ։	և միայն յոթերորդ անգամ , այդ օր ՝ 1941 թվական հունիս 21 լույս 22 խավար գիշեր երեխա ողջ ու առողջ ծնվել ։	CONJ ADV ADJ INDF;N;NHUM;NOM;SG _ DET DEF;N;NHUM;NOM;SG _ NUM DAT;INDF;N;NHUM;SG DAT;INDF;N;NHUM;SG DAT;INDF;N;NHUM;SG INDF;N;NHUM;NOM;SG DAT;INDF;N;NHUM;SG ADJ DEF;N;NHUM;NOM;SG DEF;HUM;N;NOM;SG ADJ CONJ ADJ 3;FIN;IND;MID;PFV;POS;PST;SG;V _
սկզբում նա հանկարծակիի եկավ , հաջորդ պահին հիշեց մի րոպե առաջ տեսածն ու մտածեց , որ դա երազի շարունակությունն է , իսկ ևս մի քանի վայրկյան անց մտածեց ավելի խելացի ՝ երազի մասին խոսք չի կարող լինել , որովհետև ինքը քնած չէ ։	սկիզբ նա հանկարծակի գալ , հաջորդ պահ հիշել մի րոպե առաջ տեսած ու մտածել , որ դա երազ շարունակություն եմ , իսկ ևս մի քանի վայրկյան անց մտածել ավելի խելացի ՝ երազ մասին խոսք եմ կարող լինել , որովհետև ինքը քնել եմ ։	ESS;INDF;N;NHUM;SG 3;NOM;PRO;SG DAT;INDF;N;NHUM;SG 3;FIN;IND;MID;PFV;POS;PST;SG;V _ ADJ DAT;DEF;N;NHUM;SG 3;ACT;FIN;IND;PFV;POS;PST;SG;V NUM INDF;N;NHUM;NOM;SG ADP;NOM DEF;N;NHUM;NOM;SG CONJ 3;ACT;FIN;IND;PFV;POS;PST;SG;V _ CONJ NOM;PRO;SG DAT;INDF;N;NHUM;SG DEF;N;NHUM;NOM;SG 3;FIN;IND;IPFV;POS;PRS;SG;V _ CONJ ADV DET DET INDF;N;NHUM;NOM;SG ADP 3;ACT;FIN;IND;PFV;POS;PST;SG;V ADV;CMPR ADV _ DAT;INDF;N;NHUM;SG ADP INDF;N;NHUM;NOM;SG 3;FIN;IND;IPFV;NEG;PRS;SG;V ADJ MID;NFIN;POS;V _ CONJ 3;NOM;PRO;SG MID;PFV;POS;V;V.PTCP 3;FIN;IND;IPFV;NEG;PRS;SG;V _
մենք չգիտեինք , որ գալու է նոր կայսրություն , նոր հարաբերություններ , ուժերի նոր դասավորություն , իսկ մենք սկսնակ ու ռոմանտիկ էինք լինելու էպոխայի դժվարությունների համար ։	մենք գիտենալ , որ գալ եմ նոր կայսրություն , նոր հարաբերություն , ուժ նոր դասավորություն , իսկ մենք սկսնակ ու ռոմանտիկ եմ լինել էպոխա դժվարություն համար ։	1;NOM;PL;PRO 1;ACT;FIN;IND;IPFV;NEG;PL;V _ CONJ MID;PROSP;V;V.PTCP 3;FIN;IND;IPFV;POS;PRS;SG;V ADJ INDF;N;NHUM;NOM;SG _ ADJ INDF;N;NHUM;NOM;PL _ DAT;INDF;N;NHUM;PL ADJ INDF;N;NHUM;NOM;SG _ CONJ 1;NOM;PL;PRO ADJ CONJ ADJ 1;FIN;IND;IPFV;PL;POS;V PROSP;V;V.PTCP DAT;INDF;N;NHUM;SG DAT;INDF;N;NHUM;PL ADP _
զինվորները ճոճում էին նիզակները , մոռացած ցուրտն ու դժվարին ճանապարհը ՝ պահանջում անմիջապես ճամփա ընկնել :	զինվոր ճոճել եմ նիզակ , մոռանալ ցուրտ ու դժվարին ճանապարհ ՝ պահանջել անմիջապես ճամփա ընկնել :	DEF;HUM;N;NOM;PL ACT;IPFV;V;V.PTCP 3;FIN;IND;IPFV;PL;POS;V DEF;N;NHUM;NOM;PL _ ACT;PFV;POS;V;V.PTCP DEF;N;NHUM;NOM;SG CONJ ADJ DEF;N;NHUM;NOM;SG _ ACT;IPFV;V;V.PTCP ADV INDF;N;NHUM;NOM;SG MID;NFIN;POS;V _
հոգեշնորհ տ . զավեն վարդապետ յազիչյանը , ազատվելով եգիպտոսի հայոց թեմում ստանձնած պարտականություններից , հոգևոր սպասավորությունը կշարունակի երևանի ս . գրիգոր լուսավորիչ մայր եկեղեցում ՝ հոգևոր տեսչի իշխանության ներքո :	հոգեշնորհ տեր . զավեն վարդապետ յազիչյան , ազատել եգիպտոս հայ թեմ ստանձնել պարտականություն , հոգևոր սպասավորություն շարունակել երևան սուրբ . գրիգոր լուսավորիչ մայր եկեղեցի ՝ հոգևոր տեսուչ իշխանություն ներքո :	ADJ HUM;INDF;N;NOM;SG _ HUM;INDF;NOM;PROPN;SG HUM;INDF;N;NOM;SG DEF;HUM;NOM;PROPN;SG _ INDF;INS;PASS;POS;V;V.CVB DAT;INDF;NHUM;PROPN;SG GEN;HUM;INDF;N;PL ESS;INDF;N;NHUM;SG ACT;PFV;POS;V;V.PTCP AT+ABL;INDF;N;NHUM;PL _ ADJ DEF;N;NHUM;NOM;SG 3;ACT;COND;FIN;POS;PROSP;PRS;SG;V DAT;INDF;NHUM;PROPN;SG ADJ _ HUM;INDF;NOM;PROPN;SG HUM;INDF;NOM;PROPN;SG HUM;INDF;N;NOM;SG ESS;INDF;N;NHUM;SG _ ADJ DAT;HUM;INDF;N;SG DAT;INDF;N;NHUM;SG ADP _
բայց միթե ՞ ես ավելի տաք եմ հագնված , միթե ՞ իմ ոսկորները չեն զգում այս անտանելի խոնավությունը :	բայց միթե ՞ ես ավելի տաք եմ հագնվել , միթե ՞ ես ոսկոր եմ զգալ այս անտանելի խոնավություն :	CONJ PART _ 1;NOM;PRO;SG ADV;CMPR ADV 1;FIN;IND;IPFV;POS;PRS;SG;V MID;PFV;POS;V;V.PTCP _ PART _ 1;DET;GEN;SG DEF;N;NHUM;NOM;PL 3;FIN;IND;IPFV;NEG;PL;PRS;V ACT;IPFV;V;V.PTCP DET ADJ DEF;N;NHUM;NOM;SG _
եվ արդեն այդպես հեշտ ու հասարակ , առանց ողբի շարժվում էր գնդակների մեջ , դիակների մեջ , ավերածության մեջ ։	և արդեն այդպես հեշտ ու հասարակ , առանց ողբ շարժվել եմ գնդակ մեջ , դիակ մեջ , ավերածություն մեջ ։	CONJ ADV ADV ADV CONJ ADV _ ADP DAT;INDF;N;NHUM;SG IPFV;MID;V;V.PTCP 3;FIN;IND;IPFV;POS;SG;V DAT;INDF;N;NHUM;PL ADP;NOM _ DAT;INDF;N;NHUM;PL ADP;NOM _ DAT;INDF;N;NHUM;SG ADP;NOM _
նա հավելեց ` կցուցադրվեն « ակունքը » , « սև կարապ » , « մայր » ֆիլմերը :	նա հավելել ` ցուցադրել « ակունք » , « սև կարապ » , « մայր » ֆիլմ :	3;NOM;PRO;SG 3;ACT;FIN;IND;PFV;POS;PST;SG;V _ 3;COND;FIN;PASS;PL;POS;PROSP;PRS;V _ DEF;N;NHUM;NOM;SG _ _ _ ADJ INDF;N;NHUM;NOM;SG _ _ _ HUM;INDF;N;NOM;SG _ DEF;N;NHUM;NOM;PL _
ինչպես տեղեկացնում է « արմենպրես » - ը վկայակոչելով հհ տնտեսական զարգացման և ներդրումների նախարարության աշխատակազմի մտավոր սեփականության գործակալության տվյալները , դրանցից 1148-ը եղել են ազգային հայտատուների անունով :	ինչպես տեղեկանալ եմ « արմենպրես » - ը վկայակոչել հհ տնտեսական զարգացում և ներդրում նախարարություն աշխատակազմ մտավոր սեփականություն գործակալություն տվյալ , դա 1148 լինել եմ ազգային հայտատու անուն :	CONJ ACT;IPFV;V;V.PTCP 3;FIN;IND;IPFV;POS;PRS;SG;V _ INDF;NHUM;NOM;PROPN;SG _ _ DEF;N;NHUM;NOM;SG ACT;INDF;INS;POS;V;V.CVB INDF;NHUM;NOM;PROPN;SG ADJ DAT;INDF;N;NHUM;SG CONJ DAT;INDF;N;NHUM;PL DAT;INDF;N;NHUM;SG DAT;INDF;N;NHUM;SG ADJ DAT;INDF;N;NHUM;SG DAT;INDF;N;NHUM;SG DEF;N;NHUM;NOM;PL _ AT+ABL;DET;PL DEF;N;NHUM;NOM;SG PFV;V;V.PTCP 3;FIN;IND;IPFV;PL;POS;PRS;V ADJ DAT;HUM;INDF;N;PL INDF;INS;N;NHUM;SG _
« դեպքերի զարգացման ճնշման տակ այլևս ինձ համար վերջնականապես պարզվում է դասակարգային պայքարի և ազգային գաղափարների անհամատեղությունը , և մինչև կուսակցության պառակտումը փարիզյան կոնֆերանսում ՝ ես փաստորեն հեռացել էի նրա շարքերից ...	« դեպք զարգացում ճնշում տակ այլևս ես համար վերջնականապես պարզվել եմ դասակարգային պայքար և ազգային գաղափար անհամատեղություն , և մինչև կուսակցություն պառակտում փարիզյան կոնֆերանս ՝ ես փաստորեն հեռանալ եմ նա շարք ...	_ DAT;INDF;N;NHUM;PL DAT;INDF;N;NHUM;SG DAT;INDF;N;NHUM;SG ADP;NOM ADV 1;DAT;PRO;SG ADP ADV IPFV;MID;V;V.PTCP 3;FIN;IND;IPFV;POS;PRS;SG;V ADJ DAT;INDF;N;NHUM;SG CONJ ADJ DAT;INDF;N;NHUM;PL DEF;N;NHUM;NOM;SG _ CONJ ADP DAT;INDF;N;NHUM;SG DEF;N;NHUM;NOM;SG ADJ ESS;INDF;N;NHUM;SG _ 1;NOM;PRO;SG ADV MID;PFV;V;V.PTCP 1;FIN;IND;IPFV;POS;SG;V 3;DET;GEN;SG AT+ABL;INDF;N;NHUM;PL _
« է ՜ , միամիտ հայ ժողովուրդ , — կբացականչի սաթոն ՝ տունն ու գյուղը տակնուվրա անելով , — գնաց ՜ ... թռավ ՜ բուռդիկը , էրիվանի ճամփին ա ... հարութի սելի մեջ ... գողացան - տարան , էլ ինչ ՞ » ։	« է ՜ , միամիտ հայ ժողովուրդ , — բացականչել սաթո ՝ տուն ու գյուղ տակնուվրա անել , — գնալ ՜ ... թռնել ՜ բուռդիկ , էրիվան ճամփա եմ ... հարութ սայլ մեջ ... գողանալ - տանել , էլ ինչ ՞ » ։	_ INTJ _ _ ADJ ADJ HUM;INDF;N;NOM;SG _ _ 3;COND;FIN;MID;POS;PROSP;PRS;SG;V DEF;HUM;NOM;PROPN;SG _ DEF;N;NHUM;NOM;SG CONJ DEF;N;NHUM;NOM;SG ADJ ACT;INDF;INS;POS;V;V.CVB _ _ 3;FIN;IND;MID;PFV;POS;PST;SG;V _ _ 3;FIN;IND;MID;PFV;POS;PST;SG;V _ DEF;N;NHUM;NOM;SG _ DAT;INDF;NHUM;PROPN;SG DAT;DEF;N;NHUM;SG 3;FIN;IND;IPFV;POS;PRS;SG;V _ DAT;HUM;INDF;PROPN;SG DAT;INDF;N;NHUM;SG ADP;NOM _ 3;ACT;FIN;IND;PFV;PL;POS;PST;V _ 3;ACT;FIN;IND;PFV;PL;POS;PST;V _ PART INDF;NOM;PRO;SG _ _ _
ձեզնից մեկն ու մեկը կհաջողացներ մտնել մի այրի ասորուհու կամ հրեուհու անկողին , իսկ ում հայտնի չէ , թե անկողնում որքան հարցասեր են կանայք և որքան անկեղծ տղամարդիկ :	դուք մեկը ու մեկը հաջողել մտնել մի այրի ասորուհի կամ հրեուհի անկողին , իսկ ով հայտնի եմ , թե անկողին որքան հարցասեր եմ կին և որքան անկեղծ տղամարդ :	2;AT+ABL;DET;INFM;PL NOM;PRO CONJ NOM;PRO 3;ACT;COND;FIN;IPFV;POS;PROSP;SG;V MID;NFIN;POS;V DET ADJ DAT;HUM;INDF;N;SG CONJ DAT;HUM;INDF;N;SG INDF;N;NHUM;NOM;SG _ CONJ DAT;PRO;SG ADJ 3;FIN;IND;IPFV;NEG;PRS;SG;V _ CONJ ESS;INDF;N;NHUM;SG NOM;PRO ADJ 3;FIN;IND;IPFV;PL;POS;PRS;V HUM;INDF;N;NOM;PL CONJ NOM;PRO ADJ HUM;INDF;N;NOM;PL _
որովհետև նրա պատկերը , քանի դեռ այդ կինը չէր նյութականացել , կիսատ էր ։	որովհետև նա պատկեր , քանի դեռ այդ կին եմ նյութականանալ , կիսատ եմ ։	CONJ 3;DET;GEN;SG DEF;N;NHUM;NOM;SG _ ADV ADV DET DEF;HUM;N;NOM;SG 3;FIN;IND;IPFV;NEG;SG;V MID;PFV;V;V.PTCP _ ADJ 3;FIN;IND;IPFV;POS;SG;V _
ներկայում , երբ արագացված ռեժիմով կարգավորվում են իրանի ու ամն-ի հարաբերությունները , պետք է հասկանալ , որ իրանի տարածաշրջանային քաղաքականության առաջնահերթությունների փոփոխություն տեղի չի ունենա :	ներկա , երբ արագանալ ռեժիմ կարգավորվել եմ իրան ու ամն հարաբերություն , պետք եմ հասկանալ , որ իրան տարածաշրջանային քաղաքականություն առաջնահերթություն փոփոխություն տեղի եմ ունենալ :	ESS;INDF;N;NHUM _ ADV PASS;PFV;POS;V;V.PTCP INDF;INS;N;NHUM;SG IPFV;MID;V;V.PTCP 3;FIN;IND;IPFV;PL;POS;PRS;V DAT;INDF;NHUM;PROPN;SG CONJ DAT;INDF;NHUM;PROPN;SG DEF;N;NHUM;NOM;PL _ ADJ 3;FIN;IND;IPFV;POS;PRS;SG;V ACT;NFIN;POS;V _ CONJ DAT;INDF;NHUM;PROPN;SG ADJ DAT;INDF;N;NHUM;SG DAT;INDF;N;NHUM;PL INDF;N;NHUM;NOM;SG ADV 3;FIN;IND;IPFV;NEG;PRS;SG;V ACT;COND;FIN;PROSP;V _
