brug den i tynde flager som gratinering af en ovnret eller i tern i salatskålen .	bruge den i tynd flage som gratinering af en ovnret eller i tern i salatskål .	IMP;V 3;ACC;MASC+FEM;PRO;SG ADP ADJ;PL INDF;MASC+FEM;N;PL ADP INDF;MASC+FEM;N;SG ADP DET;MASC+FEM;SG INDF;MASC+FEM;N;SG CONJ ADP INDF;N;PL ADP DEF;MASC+FEM;N;SG _
ligger ballen sådan , at det vil være smartest , at keglerne står alleryderst på den hvide plet , så stiller man dem da på den måde .	ligge bal sådan , at det ville være smart , at kegle stå alleryderst på den hvid plet , så stille man de da på den måde .	ACT;FIN;IND;PRS;V DEF;MASC+FEM;N;SG ADV _ CONJ 3;ACC;NEUT;PRO;SG ACT;FIN;IND;PRS;V ACT;NFIN;V ADJ;RL _ CONJ DEF;MASC+FEM;N;PL ACT;FIN;IND;PRS;V AB;ADV ADP DET;MASC+FEM;SG ADJ;DEF;SG INDF;MASC+FEM;N;SG _ ADV ACT;FIN;IND;PRS;V MASC+FEM;NOM;PRO 3;ACC;PL;PRO ADV ADP DET;MASC+FEM;SG INDF;MASC+FEM;N;SG _
kriminalpolitiet i løgstør har endnu ikke kunnet konstatere , at manden har søgt lægehjælp , og man beder derfor offentligheden om hjælp til at identificere gerningsmanden .	kriminalpoliti i løgstør have endnu ikke kunne konstatere , at mand have søge lægehjælp , og man bede derfor offentlighed om hjælp til at identificere gerningsmand .	DEF;N;NEUT;SG ADP PROPN ACT;FIN;IND;PRS;V ADV ADV INDF;PST;SG;V;V.PTCP ACT;NFIN;V _ CONJ DEF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP INDF;MASC+FEM;N;SG _ CONJ MASC+FEM;NOM;PRO ACT;FIN;IND;PRS;V ADV DEF;MASC+FEM;N;SG ADP INDF;MASC+FEM;N;SG ADP PART ACT;NFIN;V DEF;MASC+FEM;N;SG _
11 induktion	11 induktion	NUM INDF;MASC+FEM;N;SG
- hmm , hun skjulte med en let rødme i kinderne sit ansigt ved hans bryst .	- hmm , hun skjule med en let rødme i kind sin ansigt ved hans bryst .	_ INTJ _ 3;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PST;V ADP DET;MASC+FEM;SG ADJ;INDF;SG INDF;MASC+FEM;N;SG ADP DEF;MASC+FEM;N;PL 3;DET;NEUT;PSSS;REFL;SG INDF;N;NEUT;SG ADP 3;DET;PSSS INDF;N;NEUT;SG _
her kommer regnestykket :	her komme regnestykke :	ADV ACT;FIN;IND;PRS;V DEF;N;NEUT;SG _
de kan ses i fotografisk galleri på nikolaj plads i københavn .	de kunne se i fotografisk galleri på nikolaj plads i københavn .	3;NOM;PL;PRO ACT;FIN;IND;PRS;V NFIN;PASS;V ADP ADJ;INDF;SG INDF;N;NEUT;SG ADP PROPN PROPN ADP PROPN _
fisk og fjerkræ	fisk og fjerkræ	INDF;MASC+FEM;N;SG CONJ INDF;N;NEUT;SG
både fotografen og jeg glædede os meget .	både fotograf og jeg glæde vi meget .	ADV DEF;MASC+FEM;N;SG CONJ 1;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PST;V 1;ACC;MASC+FEM;PL;PRO ADV _
hun så aldrig nogen nødplan og kendte ikke sit emergency-nummer .	hun se aldrig nogen nødplan og kende ikke sin emergency-nummer .	3;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PST;V ADV DET;MASC+FEM;SG INDF;MASC+FEM;N;SG CONJ ACT;FIN;IND;PST;V ADV 3;DET;NEUT;PSSS;REFL;SG INDF;N;NEUT;SG _
" tilbygningen berører mindre end én pct. af parkens areal , og det er lykkedes horsens arkitekterne niels thorup pedersen og poul schwartz at tegne en udvidelse , der passer særdeles fint til den gamle bygning , og derfor kan vi tage kritikken helt roligt . "	" tilbygning berøre lille end en procent af park areal , og det være lykkes horsens arkitekt niels thorup pedersen og poul schwartz at tegne en udvidelse , der passe særdeles fint til den gammel bygning , og derfor kunne vi tage kritik helt roligt . "	_ DEF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V ADJ;CMPR ADP DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ADP DEF;GEN;MASC+FEM;N;SG INDF;N;NEUT;SG _ CONJ 3;ACC;NEUT;PRO;SG ACT;FIN;IND;PRS;V PST;V;V.PTCP PROPN DEF;MASC+FEM;N;PL PROPN PROPN PROPN CONJ PROPN PROPN PART ACT;NFIN;V DET;MASC+FEM;SG INDF;MASC+FEM;N;SG _ PRO ACT;FIN;IND;PRS;V ADV ADV ADP DET;MASC+FEM;SG ADJ;DEF;SG INDF;MASC+FEM;N;SG _ CONJ ADV ACT;FIN;IND;PRS;V 1;MASC+FEM;NOM;PL;PRO ACT;NFIN;V DEF;MASC+FEM;N;SG ADV ADV _ _
men tre enige dommere i østre landsret underkendte hurtigt varetægtsfængslingen .	men tre enig dommer i østre landsret underkende hurtigt varetægtsfængsling .	CONJ NUM ADJ;PL INDF;MASC+FEM;N;PL ADP ADJ INDF;MASC+FEM;N;SG ACT;FIN;IND;PST;V ADV DEF;MASC+FEM;N;SG _
de manglende indre stridigheder anser han for danskernes adelsmærke .	den mangle indre stridighed anse han for dansker adelsmærke .	DET;PL PRS;V;V.PTCP ADJ INDF;MASC+FEM;N;PL ACT;FIN;IND;PRS;V 3;MASC+FEM;NOM;PRO;SG ADP DEF;GEN;MASC+FEM;N;PL INDF;N;NEUT;SG _
det jugoslaviske præsidentråd appellerede i sidste øjeblik til fn om at undlade at iværksætte en boykot og opfordrede til , at der i stedet indkaldes til en international konference om konflikten .	den jugoslavisk præsidentråd appellere i sidste øjeblik til fn om at undlade at iværksætte en boykot og opfordre til , at der i sted indkalde til en international konference om konflikt .	DET;NEUT;SG ADJ;DEF;SG INDF;N;NEUT;SG ACT;FIN;IND;PST;V ADP ADJ INDF;N;NEUT;SG ADP PROPN ADP PART ACT;NFIN;V PART ACT;NFIN;V DET;MASC+FEM;SG INDF;N;NEUT;SG CONJ ACT;FIN;IND;PST;V ADP _ CONJ ADV ADP DEF;N;NEUT;SG FIN;IND;PASS;PRS;V ADP DET;MASC+FEM;SG ADJ;INDF;MASC+FEM;SG INDF;MASC+FEM;N;SG ADP DEF;MASC+FEM;N;SG _
jenny !	jenny !	PROPN _
de europæiske stålfabrikker befinder sig midt i den værste nedgang i ti år , uden udsigt til forbedring i år .	den europæisk stålfabrik befinde sig midt i den slem nedgang i ti år , uden udsigt til forbedring i år .	DET;PL ADJ;PL INDF;MASC+FEM;N;PL ACT;FIN;IND;PRS;V 3;ACC;PRO;REFL ADV ADP DET;MASC+FEM;SG ADJ;DEF;RL INDF;MASC+FEM;N;SG ADP NUM INDF;N;NEUT;PL _ ADP INDF;MASC+FEM;N;SG ADP INDF;MASC+FEM;N;SG ADP INDF;N;NEUT;SG _
bevæg magneten i forhold til ledningen og iagttag på voltmeteret , hvad der sker .	bevæge magnet i forhold til ledning og iagttage på voltmeter , hvad der ske .	IMP;V DEF;MASC+FEM;N;SG ADP INDF;N;NEUT;SG ADP DEF;MASC+FEM;N;SG CONJ IMP;V ADP DEF;N;NEUT;SG _ PRO;SG ADV ACT;FIN;IND;PRS;V _
på tærsklen til østtyskland har det store presse-opbud indstillet sig på en usikker venten på en storstilet udveksling af spioner mellem øst og vest .	på tærskel til østtyskland have den stor presse-opbud indstille sig på en usikker vente på en storstilet udveksling af spion mellem øst og vest .	ADP DEF;MASC+FEM;N;SG ADP PROPN ACT;FIN;IND;PRS;V DET;NEUT;SG ADJ;DEF;SG INDF;N;NEUT;SG INDF;PST;SG;V;V.PTCP 3;ACC;PRO;REFL ADP DET;MASC+FEM;SG ADJ;INDF;MASC+FEM;SG V;V.MSDR ADP DET;MASC+FEM;SG ADJ;INDF;SG INDF;MASC+FEM;N;SG ADP INDF;MASC+FEM;N;PL ADP INDF;N CONJ INDF;N _
medarb = jss kilde = afp	medarb = jss kilde = afp	_ _ _ INDF;MASC+FEM;N;SG _ _
ligeledes oplyser et flertal af de største industrivirksomheder , at ordrebeholdningerne ligger under det normale .	ligeledes oplyse en flertal af den stor industrivirksomhed , at ordrebeholdning ligge under den normal .	ADV ACT;FIN;IND;PRS;V DET;NEUT;SG INDF;N;NEUT;SG ADP DET;PL ADJ;DEF;RL INDF;MASC+FEM;N;PL _ CONJ DEF;MASC+FEM;N;PL ACT;FIN;IND;PRS;V ADP DET;NEUT;SG ADJ;DEF;SG _
ud at se med dsb - ud at lufte den indre sigøjner på rejse og fri flugt gennem flere lande .	ud at se med dsb - ud at lufte den indre sigøjner på rejse og fri flugt gennem mange land .	ADV PART ACT;NFIN;V ADP PROPN _ ADV PART ACT;NFIN;V DET;MASC+FEM;SG ADJ INDF;MASC+FEM;N;SG ADP INDF;MASC+FEM;N;SG CONJ ADJ;INDF;MASC+FEM;SG INDF;MASC+FEM;N;SG ADP ADJ;CMPR;PL INDF;N;NEUT;PL _
- cocain er latinamerikas atombombe i krigen mod usa , sagde han .	- cocain være latinamerika atombombe i krig mod usa , sige han .	_ _ ACT;FIN;IND;PRS;V GEN;PROPN INDF;MASC+FEM;N;SG ADP DEF;MASC+FEM;N;SG ADP PROPN _ ACT;FIN;IND;PST;V 3;MASC+FEM;NOM;PRO;SG _
byretsdommer nils erik jensen lagde dog ikke skjul på , at bestyrelsesmedlemmerne ikke kunne gå hjem med god samvittighed .	byretsdommer nils erik jensen lægge dog ikke skjul på , at bestyrelsesmedlem ikke kunne gå hjem med god samvittighed .	INDF;MASC+FEM;N;SG PROPN PROPN PROPN ACT;FIN;IND;PST;V ADV ADV INDF;N;NEUT;SG ADP _ CONJ DEF;N;NEUT;PL ADV ACT;FIN;IND;PST;V ACT;NFIN;V ADV ADP ADJ;INDF;MASC+FEM;SG INDF;MASC+FEM;N;SG _
ryger vi ud mod trabzonspor - trods en tilfredsstillende præstation af spillerne - kan vi måske bagefter tale os til rette om ekstraordinær betaling .	ryge vi ud mod trabzonspor - trods en tilfredsstille præstation af spiller - kunne vi måske bagefter tale vi til ret om ekstraordinær betaling .	ACT;FIN;IND;PRS;V 1;MASC+FEM;NOM;PL;PRO ADV ADP PROPN _ ADP DET;MASC+FEM;SG PRS;V;V.PTCP INDF;MASC+FEM;N;SG ADP DEF;MASC+FEM;N;PL _ ACT;FIN;IND;PRS;V 1;MASC+FEM;NOM;PL;PRO ADV ADV ACT;NFIN;V 1;ACC;MASC+FEM;PL;PRO ADP INDF;MASC+FEM;N;SG ADP ADJ;INDF;MASC+FEM;SG INDF;MASC+FEM;N;SG _
blød	blød	ADJ;INDF;MASC+FEM;SG
brøndby er blevet den lukkede klub , der spekulerer stort uden for banen og småt indenfor .	brøndby være blive den lukke klub , der spekulere stort uden for bane og småt indenfor .	PROPN ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP DET;MASC+FEM;SG DEF;PST;SG;V;V.PTCP INDF;MASC+FEM;N;SG _ PRO ACT;FIN;IND;PRS;V ADV ADV ADP DEF;MASC+FEM;N;SG CONJ ADV ADV _
- i 2. klasse fik jeg at vide , at jeg var ordblind , og i årene derefter fik jeg specialundervisning i lange baner , og jeg kløede på , så godt jeg kunne .	- i 2. klasse få jeg at vide , at jeg være ordblind , og i år derefter få jeg specialundervisning i lang bane , og jeg klø på , så godt jeg kunne .	_ ADP ADJ INDF;MASC+FEM;N;SG ACT;FIN;IND;PST;V 1;MASC+FEM;NOM;PRO;SG PART ACT;NFIN;V _ CONJ 1;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PST;V ADJ;INDF;MASC+FEM;SG _ CONJ ADP DEF;N;NEUT;PL ADV ACT;FIN;IND;PST;V 1;MASC+FEM;NOM;PRO;SG INDF;MASC+FEM;N;SG ADP ADJ;PL INDF;MASC+FEM;N;PL _ CONJ 1;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PST;V ADV _ ADV ADV 1;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PST;V _
da hun blev 40 år talte jeg med hende om en anden prævention i stedet for p-pillerne , men det ønskede hun under ingen omstændigheder .	da hun blive 40 år tale jeg med hun om en anden prævention i sted for p-pille , men det ønske hun under ingen omstændighed .	CONJ 3;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PST;V NUM INDF;N;NEUT;PL ACT;FIN;IND;PST;V 1;MASC+FEM;NOM;PRO;SG ADP 3;ACC;MASC+FEM;PRO;SG ADP DET;MASC+FEM;SG DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ADP DEF;N;NEUT;SG ADP DEF;MASC+FEM;N;PL _ CONJ 3;ACC;NEUT;PRO;SG ACT;FIN;IND;PST;V 3;MASC+FEM;NOM;PRO;SG ADP DET;MASC+FEM;SG INDF;MASC+FEM;N;PL _
venstående illustrerer så i øvrigt også det , man kan kalde regelforvirring .	venstående illustrere så i øvrigt også det , man kunne kalde regelforvirring .	_ ACT;FIN;IND;PRS;V ADV ADP ADV ADV 3;ACC;NEUT;PRO;SG _ MASC+FEM;NOM;PRO ACT;FIN;IND;PRS;V ACT;NFIN;V INDF;MASC+FEM;N;SG _
nazisterne lover at fortsætte til 1. september , dagen hvor anden verdenskrig blev startet i 1939 .	nazist love at fortsætte til 1. september , dag hvor anden verdenskrig blive starte i 1939 .	DEF;MASC+FEM;N;PL ACT;FIN;IND;PRS;V PART ACT;NFIN;V ADP ADJ INDF;MASC+FEM;N;SG _ DEF;MASC+FEM;N;SG ADV ADJ INDF;MASC+FEM;N;SG ACT;FIN;IND;PST;V INDF;PST;SG;V;V.PTCP ADP NUM _
nævnes i flæng skal 70'ernes store mistænkeliggørelse af folkeskolelærerne .	nævne i flæng skulle 70'er stor mistænkeliggørelse af folkeskolelærer .	NFIN;PASS;V ADP N ACT;FIN;IND;PRS;V DEF;GEN;MASC+FEM;N;PL ADJ;DEF;SG INDF;MASC+FEM;N;SG ADP DEF;MASC+FEM;N;PL _
det har arne ikke	det have arne ikke	3;ACC;NEUT;PRO;SG ACT;FIN;IND;PRS;V PROPN ADV
kurset , som kombinerer tre sanser : syns- , høre- og følesansen , udbydes normalt på tasteskolen i københavn , og her har 24 dansklærere fra gymnasiet fået undervisning siden foråret .	kursus , som kombinere tre sans : syns- , høre- og følesans , udbyde normalt på tasteskole i københavn , og her have 24 dansklærer fra gymnasium få undervisning siden forår .	DEF;N;NEUT;SG _ PRO ACT;FIN;IND;PRS;V NUM INDF;MASC+FEM;N;PL _ _ _ _ CONJ DEF;MASC+FEM;N;SG _ FIN;IND;PASS;PRS;V ADV ADP DEF;MASC+FEM;N;SG ADP PROPN _ CONJ ADV ACT;FIN;IND;PRS;V NUM INDF;MASC+FEM;N;PL ADP DEF;N;NEUT;SG INDF;PST;SG;V;V.PTCP INDF;MASC+FEM;N;SG ADP DEF;N;NEUT;SG _
mange havde uheld .	mange have uheld .	ADJ;PL ACT;FIN;IND;PST;V INDF;N;NEUT;SG _
det skulle han aldrig have gjort .	det skulle han aldrig have gøre .	3;ACC;NEUT;PRO;SG ACT;FIN;IND;PST;V 3;MASC+FEM;NOM;PRO;SG ADV ACT;NFIN;V INDF;PST;SG;V;V.PTCP _
klokken 01.38 var bagdad en død by .	klokke 01.38 være bagdad en død by .	DEF;MASC+FEM;N;SG NUM ACT;FIN;IND;PST;V PROPN DET;MASC+FEM;SG ADJ;INDF;MASC+FEM;SG INDF;MASC+FEM;N;SG _
og på dansk ...	og på dansk ...	CONJ ADP INDF;N;NEUT;SG _
deltager de også i " ugens overraskelse " på side 47 , så kommer de blot kuponen i én kuvert mærket " ugens overraskelse - uge 47 " og " duplo legetøj " .	deltage de også i " uge overraskelse " på side 47 , så komme de blot kupon i en kuvert mærke " uge overraskelse - uge 47 " og " duplo legetøj " .	ACT;FIN;IND;PRS;V 2;FORM;MASC+FEM;NOM;PRO ADV ADP _ DEF;GEN;MASC+FEM;N;SG INDF;MASC+FEM;N;SG _ ADP INDF;MASC+FEM;N;SG NUM _ ADV ACT;FIN;IND;PRS;V 2;FORM;MASC+FEM;NOM;PRO ADV DEF;MASC+FEM;N;SG ADP DET;MASC+FEM;SG INDF;MASC+FEM;N;SG INDF;PST;SG;V;V.PTCP _ DEF;GEN;MASC+FEM;N;SG INDF;MASC+FEM;N;SG _ INDF;MASC+FEM;N;SG NUM _ CONJ _ PROPN INDF;N;NEUT;SG _ _
grindsted products , der fremstiller fødevareingredienser , har præsteret en stigning på 3,4 pct. i det primære driftsresultat til 244 mill. kr. .	grindsted products , der fremstille fødevareingrediens , have præstere en stigning på 3,4 procent i den primær driftsresultat til 244 million krone .	PROPN PROPN _ PRO ACT;FIN;IND;PRS;V INDF;MASC+FEM;N;PL _ ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ADP NUM INDF;MASC+FEM;N;PL ADP DET;NEUT;SG ADJ;DEF;SG INDF;N;NEUT;SG ADP NUM INDF;MASC+FEM;N;PL INDF;MASC+FEM;N;PL _
overalt i europa vakte opstanden begejstring blandt arbejderne og forfærdelse blandt myndighederne .	overalt i europa vække opstand begejstring blandt arbejder og forfærdelse blandt myndighed .	ADV ADP PROPN ACT;FIN;IND;PST;V DEF;MASC+FEM;N;SG INDF;MASC+FEM;N;SG ADP DEF;MASC+FEM;N;PL CONJ INDF;MASC+FEM;N;SG ADP DEF;MASC+FEM;N;PL _
oprøret lurer	oprør lure	DEF;N;NEUT;SG ACT;FIN;IND;PRS;V
" havde i mistanke om , at telefonen blev aflyttet ? " spurgte anklager annette vester .	" have i mistanke om , at telefon blive aflytte ? " spørge anklager annette vester .	_ ACT;FIN;IND;PST;V 2;MASC+FEM;NOM;PL;PRO INDF;MASC+FEM;N;SG ADP _ CONJ DEF;MASC+FEM;N;SG ACT;FIN;IND;PST;V INDF;PST;SG;V;V.PTCP _ _ ACT;FIN;IND;PST;V INDF;MASC+FEM;N;SG PROPN PROPN _
jeg ... åh gud , jeg elsker dig , fløj det forpint gennem hendes hjerne .	jeg ... åh gud , jeg elske du , flyve det forpint gennem hendes hjerne .	1;MASC+FEM;NOM;PRO;SG _ INTJ INDF;MASC+FEM;N;SG _ 1;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V 2;ACC;MASC+FEM;PRO;SG _ ACT;FIN;IND;PST;V 3;ACC;NEUT;PRO;SG ADV ADP 3;DET;PSSS INDF;MASC+FEM;N;SG _
det er jo ikke nok at ligge forrest i starten - det gælder om at nå det ternede flag til slut .	det være jo ikke nok at ligge forrest i start - det gælde om at nå den ternet flag til slut .	3;ACC;NEUT;PRO;SG ACT;FIN;IND;PRS;V ADV ADV ADV PART ACT;NFIN;V ADV ADP DEF;MASC+FEM;N;SG _ 3;ACC;NEUT;PRO;SG ACT;FIN;IND;PRS;V ADP PART ACT;NFIN;V DET;NEUT;SG ADJ;DEF;SG INDF;N;NEUT;SG ADP N _
- tyrkiske mænd drikker næsten altid raki til maden .	- tyrkisk mand drikke næsten altid raki til mad .	_ ADJ;PL INDF;MASC+FEM;N;PL ACT;FIN;IND;PRS;V ADV ADV _ ADP DEF;MASC+FEM;N;SG _
men jeg blev fascineret af fremstillingsformen , og jeg kan ikke beskrive , hvor spændt jeg stadigvæk er , når ovnen åbnes for det færdige resultat .	men jeg blive fascinere af fremstillingsform , og jeg kunne ikke beskrive , hvor spændt jeg stadigvæk være , når ovn åbne for den færdig resultat .	CONJ 1;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PST;V INDF;PST;SG;V;V.PTCP ADP DEF;MASC+FEM;N;SG _ CONJ 1;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V ADV ACT;NFIN;V _ ADV ADJ;INDF;SG 1;MASC+FEM;NOM;PRO;SG ADV ACT;FIN;IND;PRS;V _ CONJ DEF;MASC+FEM;N;SG FIN;IND;PASS;PRS;V ADP DET;NEUT;SG ADJ;DEF;SG INDF;N;NEUT;SG _
således har biblioteket indledt et tæt samarbejde med wiuff's boghandel på jagtvej .	således have bibliotek indlede en tæt samarbejde med wiuff boghandel på jagtvej .	ADV ACT;FIN;IND;PRS;V DEF;N;NEUT;SG INDF;PST;SG;V;V.PTCP DET;NEUT;SG ADJ;INDF;SG INDF;N;NEUT;SG ADP GEN;PROPN INDF;MASC+FEM;N;SG ADP PROPN _
overfarten på storebælt åbnedes for almindelig trafik den 1. december 1883 .	overfart på storebælt åbne for almindelig trafik den 1. december 1883 .	DEF;MASC+FEM;N;SG ADP PROPN FIN;IND;PASS;PST;V ADP ADJ;INDF;MASC+FEM;SG INDF;MASC+FEM;N;SG DET;MASC+FEM;SG ADJ INDF;MASC+FEM;N;SG NUM _
serbiens præsident slobodan milosevic appellerede også i går til usa og rusland om at bruge deres indflydelse til at hjælpe med at bringe konflikten i bosnien-hercegovina til ophør , sagde serbiens udenrigsminister .	serbien præsident slobodan milosevic appellere også i går til usa og rusland om at bruge deres indflydelse til at hjælpe med at bringe konflikt i bosnien-hercegovina til ophør , sige serbien udenrigsminister .	GEN;PROPN INDF;MASC+FEM;N;SG PROPN PROPN ACT;FIN;IND;PST;V ADV ADP INDF;N;NEUT;SG ADP PROPN CONJ PROPN ADP PART ACT;NFIN;V 3;DET;PSSP INDF;MASC+FEM;N;SG ADP PART ACT;NFIN;V ADP PART ACT;NFIN;V DEF;MASC+FEM;N;SG ADP PROPN ADP INDF;N;NEUT;SG _ ACT;FIN;IND;PST;V GEN;PROPN INDF;MASC+FEM;N;SG _
på de fabrikker vi har i dag , omdannes råvarer til nye produkter .	på den fabrik vi have i dag , omdanne råvare til ny produkt .	ADP DET;PL INDF;MASC+FEM;N;PL 1;MASC+FEM;NOM;PL;PRO ACT;FIN;IND;PRS;V ADP INDF;MASC+FEM;N;SG _ FIN;IND;PASS;PRS;V INDF;MASC+FEM;N;PL ADP ADJ;PL INDF;N;NEUT;PL _
anfører pierre larsen erklærede efter gårsdagens ufrugtbare møde , at spillertruppen tager ledelsens afgørelse til efterretning .	anfører pierre larsen erklære efter gårsdag ufrugtbar møde , at spillertrup tage ledelse afgørelse til efterretning .	INDF;MASC+FEM;N;SG PROPN PROPN ACT;FIN;IND;PST;V ADP DEF;GEN;MASC+FEM;N;SG ADJ;DEF;SG INDF;N;NEUT;SG _ CONJ DEF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V DEF;GEN;MASC+FEM;N;SG INDF;MASC+FEM;N;SG ADP INDF;MASC+FEM;N;SG _
de to blade , aalborg stiftstidende og fyens stiftstidende , vil danne en fælles redaktion i københavn , som skal levere stof til begge aviser .	den to blad , aalborg stiftstidende og fyen stiftstidende , ville danne en fælles redaktion i københavn , som skulle levere stof til begge avis .	DET;PL NUM INDF;N;NEUT;PL _ PROPN INDF;MASC+FEM;N;SG CONJ GEN;PROPN INDF;MASC+FEM;N;SG _ ACT;FIN;IND;PRS;V ACT;NFIN;V DET;MASC+FEM;SG ADJ INDF;MASC+FEM;N;SG ADP PROPN _ PRO ACT;FIN;IND;PRS;V ACT;NFIN;V INDF;N;NEUT;SG ADP DET;PL INDF;MASC+FEM;N;PL _
det kan meget vel være , men ikke desto mindre er det alt for overset , at nils lofgren solo laver nogle glimrende rockplader .	det kunne meget vel være , men ikke desto lille være det alt for overse , at nils lofgren solo lave nogen glimrende rockplade .	3;ACC;NEUT;PRO;SG ACT;FIN;IND;PRS;V ADV ADV ACT;NFIN;V _ CONJ ADV ADV ADJ;RL ACT;FIN;IND;PRS;V 3;ACC;NEUT;PRO;SG ADV ADP INDF;PST;SG;V;V.PTCP _ CONJ PROPN PROPN ADV ACT;FIN;IND;PRS;V DET;PL ADJ INDF;MASC+FEM;N;PL _
