catherine of russia was also very satisfied .	catherine of russia be also very satisfied .	PROPN;SG ADP PROPN;SG 3;FIN;IND;PST;SG;V ADV ADV ADJ _
the debris formed a ring around the earth 's equator and was eventually drawn together by gravity to form the moon .	the debris form a ring around the earth 's equator and be eventually draw together by gravity to form the moon .	DEF;DET N;SG FIN;IND;PST;V DET;INDF N;SG ADP DEF;DET PROPN;SG PART N;SG CONJ 3;FIN;IND;PST;SG;V ADV PST;V;V.PTCP ADV ADP N;SG PART NFIN;V DEF;DET N;SG _
doss ’s story also has an unlikely quality to it that makes it all the more appealing .	doss ’s story also have a unlikely quality to it that make it all the more appealing .	PROPN;SG PART N;SG ADV 3;FIN;IND;PRS;SG;V DET;INDF ADJ N;SG ADP 3;ACC;NEUT;PRO;SG PRO 3;FIN;IND;PRS;SG;V 3;ACC;NEUT;PRO;SG DET DEF;DET ADV ADJ _
he ’s spoken in favour of torture .	he ’s speak in favour of torture .	3;MASC;NOM;PRO;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP ADP N;SG ADP N;SG _
so it 's wonderful to be able to rescue that and bring it to a new format and a new tradition for mexicans .	so it be wonderful to be able to rescue that and bring it to a new format and a new tradition for mexicans .	ADV 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V ADJ PART NFIN;V ADJ PART NFIN;V PRO;SG CONJ NFIN;V 3;ACC;NEUT;PRO;SG ADP DET;INDF ADJ N;SG CONJ DET;INDF ADJ N;SG ADP PL;PROPN _
with this , in theory , you are able to access your money whenever you like .	with this , in theory , you be able to access you money whenever you like .	ADP PRO;SG _ ADP N;SG _ 2;NOM;PRO FIN;IND;PRS;V ADJ PART NFIN;V 2;PRO N;SG ADV 2;NOM;PRO FIN;IND;PRS;V _
" loving " opens with richard and mildred already a couple , eliding over a courtship that would have been interesting to see , if only in brief .	" loving " open with richard and mildred already a couple , elide over a courtship that would have be interesting to see , if only in brief .	_ PROPN;SG _ 3;FIN;IND;PRS;SG;V CONJ PROPN;SG CONJ PROPN;SG ADV DET;INDF N;SG _ V;V.MSDR ADP DET;INDF N;SG PRO FIN;V NFIN;V PST;V;V.PTCP ADJ PART NFIN;V _ CONJ ADV ADP N;SG _
its annual budget is more than $ 1.4 billion , and it employs more than 6,000 people .	its annual budget be more than $ 1.4 billion , and it employ more than 6,000 people .	3;NEUT;PRO;SG ADJ N;SG 3;FIN;IND;PRS;SG;V ADJ;CMPR ADP _ NUM NUM _ CONJ 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V ADJ;CMPR ADP NUM N;PL _
bouchard suffered a shocking three - set loss .	bouchard suffer a shocking three - set loss .	PROPN;SG FIN;IND;PST;V DET;INDF ADJ NUM _ N;SG N;SG _
the review is also investigating inflammatory facebook posts from september , alleged to come from police officers in the northern ontario city .	the review be also investigate inflammatory facebook post from september , allege to come from police officer in the northern ontario city .	DEF;DET N;SG 3;FIN;IND;PRS;SG;V ADV PRS;V;V.PTCP ADJ PROPN;SG N;PL ADP PROPN;SG _ PST;V;V.PTCP PART NFIN;V ADP N;PL N;PL ADP DEF;DET ADJ PROPN;SG N;SG _
from the 9th century bc , the first greek texts began to appear .	from the 9th century bc , the first greek text begin to appear .	ADP DEF;DET ADJ N;SG N;SG _ DEF;DET ADJ ADJ N;PL FIN;IND;PST;V PART NFIN;V _
the canadian investigator of the plane crash larry vance told spiegel that he is convinced that one of the pilots had intended to land the machine on the ocean surface - so that it would sink .	the canadian investigator of the plane crash larry vance tell spiegel that he be convinced that one of the pilot have intend to land the machine on the ocean surface - so that it would sink .	DEF;DET ADJ N;SG ADP DEF;DET N;SG N;SG PROPN;SG PROPN;SG FIN;IND;PST;V PROPN;SG CONJ 3;MASC;NOM;PRO;SG 3;FIN;IND;PRS;SG;V ADJ CONJ NUM ADP DEF;DET N;PL FIN;IND;PST;V PST;V;V.PTCP PART NFIN;V DEF;DET N;SG ADP DEF;DET N;SG N;SG _ CONJ CONJ 3;NEUT;NOM;PRO;SG FIN;V NFIN;V _
at greater wind speeds , some particles are lifted into the air stream .	at greater wind speed , some particle be lift into the air stream .	ADP ADJ;CMPR N;SG N;PL _ DET N;PL FIN;IND;PRS;V PST;V;V.PTCP ADP DEF;DET N;SG N;SG _
“ so i hate to put a little pressure on you , but the fate of the republic rests on your shoulders , ” he told the crowd gathered on a sports field at the university of north carolina .	“ so i hate to put a little pressure on you , but the fate of the republic rest on you shoulder , ” he tell the crowd gather on a sport field at the university of north carolina .	_ ADV 1;NOM;PRO;SG FIN;IND;PRS;V PART NFIN;V DET;INDF ADJ N;SG ADP 2;NOM;PRO _ CONJ DEF;DET N;SG ADP DEF;DET N;SG 3;FIN;IND;PRS;SG;V ADP 2;PRO N;PL _ _ 3;MASC;NOM;PRO;SG FIN;IND;PST;V DEF;DET N;SG PST;V;V.PTCP ADP DET;INDF N;PL N;SG ADP DEF;DET PROPN;SG ADP PROPN;SG PROPN;SG _
however , they were intercepted and had to do battle in freeman , close to the hudson river .	however , they be intercept and have to do battle in freeman , close to the hudson river .	ADV _ 3;NOM;PL;PRO FIN;IND;PST;V PST;V;V.PTCP CONJ FIN;IND;PST;V PART NFIN;V N;SG ADP PROPN;SG _ ADV ADP DEF;DET PROPN;SG PROPN;SG _
he believes that nobody waiting for us waits for us .	he believe that nobody wait for we wait for we .	3;MASC;NOM;PRO;SG 3;FIN;IND;PRS;SG;V CONJ N;SG V;V.MSDR ADP 1;ACC;PL;PRO 3;FIN;IND;PRS;SG;V ADP 1;ACC;PL;PRO _
one of his last means of placing pressure on hungary was the threat of imposing general and free elections .	one of he last means of place pressure on hungary be the threat of impose general and free election .	NUM ADP 3;MASC;PRO;SG ADJ N;PL CONJ V;V.MSDR N;SG ADP PROPN;SG 3;FIN;IND;PST;SG;V DEF;DET N;SG CONJ V;V.MSDR ADJ CONJ ADJ N;PL _
spain had expelled its sephardic population in 1492 ; many of these spanish jews left spain for portugal but eventually were targeted there as well .	spain have expel its sephardic population in 1492 ; many of these spanish jews leave spain for portugal but eventually be target there as well .	PROPN;SG FIN;IND;PST;V PST;V;V.PTCP 3;NEUT;PRO;SG ADJ N;SG ADP NUM _ ADJ ADP DET;PL ADJ PL;PROPN FIN;IND;PST;V PROPN;SG ADP PROPN;SG CONJ ADV FIN;IND;PST;V PST;V;V.PTCP ADV ADV ADV _
leaders of companies such as spotify , tesla , uber and snapchat will attend a private event in addition to the mountain view summit .	leader of company such as spotify , tesla , uber and snapchat will attend a private event in addition to the mountain view summit .	N;PL ADP N;PL ADJ ADP PROPN;SG _ PROPN;SG _ PROPN;SG CONJ PROPN;SG FIN;V NFIN;V DET;INDF ADJ N;SG ADP N;SG ADP DEF;DET PROPN;SG PROPN;SG PROPN;SG _
specifically , a male secondary school enrollment 10 % above the average reduced the chance of a conflict by about 3 % , while a growth rate 1 % higher than the study average resulted in a decline in the chance of a civil war of about 1 % .	specifically , a male secondary school enrollment 10 % above the average reduce the chance of a conflict by about 3 % , while a growth rate 1 % higher than the study average result in a decline in the chance of a civil war of about 1 % .	ADV _ DET;INDF ADJ ADJ N;SG N;SG NUM SG ADP DEF;DET N;SG FIN;IND;PST;V DEF;DET N;SG ADP DET;INDF N;SG ADP ADV NUM SG _ CONJ DET;INDF N;SG N;SG NUM SG ADJ;CMPR ADP DEF;DET N;SG N;SG FIN;IND;PST;V ADP DET;INDF N;SG ADP DEF;DET N;SG ADP DET;INDF ADJ N;SG ADP ADV NUM SG _
in 1832 , the former cloister was sold to the manufacturer georg reichenbach by the state of württemberg with the stipulation to establish a cotton factory there .	in 1832 , the former cloister be sell to the manufacturer georg reichenbach by the state of württemberg with the stipulation to establish a cotton factory there .	ADP NUM _ DEF;DET ADJ N;SG 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADP DEF;DET N;SG PROPN;SG PROPN;SG ADP DEF;DET N;SG ADP PROPN;SG ADP DEF;DET N;SG PART NFIN;V DET;INDF N;SG N;SG ADV _
" but architecture can build a bridge between the living and the dead and , to some extent , blur the boundaries . "	" but architecture can build a bridge between the living and the dead and , to some extent , blur the boundary . "	_ CONJ N;SG FIN;V NFIN;V DET;INDF N;SG ADP DEF;DET N;SG CONJ DEF;DET ADJ CONJ _ ADP DET N;SG _ NFIN;V DEF;DET N;PL _ _
only 50 were marketplaces .	only 50 be marketplace .	ADV NUM FIN;IND;PST;V N;PL _
the gop lead was carried by strong numbers in absentee voting , and their overall edge stood at about 16,500 earlier this week .	the gop lead be carry by strong number in absentee voting , and they overall edge stand at about 16,500 earlier this week .	DEF;DET PROPN;SG N;SG 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADP ADJ N;PL ADP N;SG N;SG _ CONJ 3;PL;PRO ADJ N;SG FIN;IND;PST;V ADP ADV NUM ADV;CMPR DET;SG N;SG _
but a scan has shown the tumour in ms pugh 's right lung is growing , and she has had to leave the trial .	but a scan have show the tumour in ms pugh 's right lung be grow , and she have have to leave the trial .	CONJ DET;INDF N;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP DEF;DET N;SG ADP PROPN;SG PROPN;SG PART ADJ N;SG 3;FIN;IND;PRS;SG;V PRS;V;V.PTCP _ CONJ 3;FEM;NOM;PRO;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP PART NFIN;V DEF;DET N;SG _
as one of negan 's ( jeffrey dean morgan ) top guys , he 's afforded certain freedoms .	as one of negan 's ( jeffrey dean morgan ) top guy , he be afford certain freedom .	ADP NUM ADP PROPN;SG PART _ PROPN;SG PROPN;SG PROPN;SG _ ADJ N;PL _ 3;MASC;NOM;PRO;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP ADJ N;PL _
this retreat came as a surprise to the austro - prussian army , and almost all of the danish army succeeded in completing the evacuation .	this retreat come as a surprise to the austro - prussian army , and almost all of the danish army succeed in complete the evacuation .	DET;SG N;SG FIN;IND;PST;V ADP DET;INDF N;SG ADP DEF;DET ADJ _ ADJ N;SG _ CONJ ADV DET ADP DEF;DET ADJ N;SG FIN;IND;PST;V CONJ V;V.MSDR DEF;DET N;SG _
i also struggle with passwords .	i also struggle with password .	1;NOM;PRO;SG ADV FIN;IND;PRS;V ADP N;PL _
financed entirely with bernard tapie 's own money , these schools were closed in 1994 when he was declared bankrupt .	finance entirely with bernard tapie 's own money , these school be close in 1994 when he be declare bankrupt .	PST;V;V.PTCP ADV ADP PROPN;SG PROPN;SG PART ADJ N;SG _ DET;PL N;PL FIN;IND;PST;V PST;V;V.PTCP ADP NUM ADV 3;MASC;NOM;PRO;SG 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADJ _
the hit song is " geronimo " by sheppard .	the hit song be " geronimo " by sheppard .	DEF;DET N;SG N;SG 3;FIN;IND;PRS;SG;V _ PROPN;SG _ ADP PROPN;SG _
the feasibility study estimates that it would take passengers about four minutes to cross the potomac river on the gondola .	the feasibility study estimate that it would take passenger about four minute to cross the potomac river on the gondola .	DEF;DET N;SG N;SG 3;FIN;IND;PRS;SG;V CONJ 3;NEUT;NOM;PRO;SG FIN;V NFIN;V N;PL ADV NUM N;PL PART NFIN;V DEF;DET PROPN;SG PROPN;SG ADP DEF;DET N;SG _
sand and dust storms are natural events that occur in arid regions where the land is not protected by a covering of vegetation .	sand and dust storm be natural event that occur in arid region where the land be not protect by a covering of vegetation .	N;SG CONJ N;SG N;PL FIN;IND;PRS;V ADJ N;PL PRO FIN;IND;PRS;V ADP ADJ N;PL ADV DEF;DET N;SG 3;FIN;IND;PRS;SG;V ADV;NEG PST;V;V.PTCP ADP DET;INDF N;SG ADP N;SG _
the canaanite city was destroyed in a fire , presumably in the wake of a campaign by the egyptian pharaoh thutmose iii .	the canaanite city be destroy in a fire , presumably in the wake of a campaign by the egyptian pharaoh thutmose iii .	DEF;DET ADJ N;SG 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADP DET;INDF N;SG _ ADV ADP DEF;DET N;SG ADP DET;INDF N;SG ADP DEF;DET ADJ N;SG PROPN;SG NUM _
the climate is so dry that these plains are sometimes thought of as part of the sahara .	the climate be so dry that these plain be sometimes think of as part of the sahara .	DEF;DET N;SG 3;FIN;IND;PRS;SG;V ADV ADJ CONJ DET;PL N;PL FIN;IND;PRS;V ADV PST;V;V.PTCP ADP ADP N;SG ADP DEF;DET PROPN;SG _
" her voice literally went around the world , " leive said .	" she voice literally go around the world , " leive say .	_ 3;FEM;PRO;SG N;SG ADV FIN;IND;PST;V ADP DEF;DET N;SG _ _ PROPN;SG FIN;IND;PST;V _
philip next marched against his southern enemies .	philip next march against he southern enemy .	PROPN;SG ADV FIN;IND;PST;V ADP 3;MASC;PRO;SG ADJ N;PL _
a coal - fired power station in badarpur , south - east delhi , will stop operating for 10 days , along with diesel generators in the city .	a coal - fired power station in badarpur , south - east delhi , will stop operate for 10 day , along with diesel generator in the city .	DET;INDF N;SG _ PST;V;V.PTCP N;SG N;SG ADP PROPN;SG _ ADJ _ ADJ PROPN;SG _ FIN;V NFIN;V V;V.MSDR ADP NUM N;PL _ ADP ADP N;SG N;PL ADP DEF;DET N;SG _
by comparison , it cost $ 103.7 million to build the noma infill metro station , which opened in 2004 .	by comparison , it cost $ 103.7 million to build the noma infill metro station , which open in 2004 .	ADP N;SG _ 3;NEUT;NOM;PRO;SG FIN;IND;PST;V _ NUM NUM PART NFIN;V DEF;DET PROPN;SG N;SG PROPN;SG N;SG _ PRO FIN;IND;PST;V ADP NUM _
hitchcock 's films sometimes feature characters struggling in their relationships with their mothers .	hitchcock 's film sometimes feature character struggle in they relationship with they mother .	PROPN;SG PART N;PL ADV FIN;IND;PRS;V N;PL V;V.MSDR ADP 3;PL;PRO N;PL ADP 3;PL;PRO N;PL _
back in lahore , some thirty - nine stories appeared in the gazette between november 1886 and june 1887 .	back in lahore , some thirty - nine story appear in the gazette between november 1886 and june 1887 .	ADV ADP PROPN;SG _ DET NUM _ NUM N;PL FIN;IND;PST;V ADP DEF;DET PROPN;SG ADP PROPN;SG NUM CONJ PROPN;SG NUM _
this time it reached him , but he refused to believe that she no longer wanted to be married to him .	this time it reach he , but he refuse to believe that she no longer want to be marry to he .	DET;SG N;SG 3;NEUT;NOM;PRO;SG FIN;IND;PST;V 3;ACC;MASC;PRO;SG _ CONJ 3;MASC;NOM;PRO;SG FIN;IND;PST;V PART NFIN;V CONJ 3;FEM;NOM;PRO;SG ADV;NEG ADV;CMPR FIN;IND;PST;V PART NFIN;V PST;V;V.PTCP ADP 3;ACC;MASC;PRO;SG _
is series two working so far ?	be series two work so far ?	3;FIN;IND;PRS;SG;V N;SG NUM PRS;V;V.PTCP ADV ADV _
george was deeply devout and spent hours in prayer , but his piety was not shared by his brothers .	george be deeply devout and spend hour in prayer , but he piety be not share by he brother .	PROPN;SG 3;FIN;IND;PST;SG;V ADV ADJ CONJ FIN;IND;PST;V N;PL ADP N;SG _ CONJ 3;MASC;PRO;SG N;SG 3;FIN;IND;PST;SG;V NEG;PART PST;V;V.PTCP ADP 3;MASC;PRO;SG N;PL _
and what about australia ’s position ?	and what about australia ’s position ?	CONJ PRO ADP PROPN;SG PART N;SG _
throughout the war , pearl harbor was frequently used in american propaganda .	throughout the war , pearl harbor be frequently use in american propaganda .	ADP DEF;DET N;SG _ PROPN;SG PROPN;SG 3;FIN;IND;PST;SG;V ADV PST;V;V.PTCP ADP ADJ N;SG _
he could also wait until the end of his first term to use a provision in the paris agreement to pull out of the pact .	he could also wait until the end of he first term to use a provision in the paris agreement to pull out of the pact .	3;MASC;NOM;PRO;SG FIN;V ADV NFIN;V ADP DEF;DET N;SG ADP 3;MASC;PRO;SG ADJ N;SG PART NFIN;V DET;INDF N;SG ADP DEF;DET PROPN;SG N;SG PART NFIN;V ADP ADP DEF;DET N;SG _
in the lower part , there are three palm trees overlooking the sea , which represent the love that the people of this island have for their land .	in the lower part , there be three palm tree overlook the sea , which represent the love that the people of this island have for they land .	ADP DEF;DET ADJ;CMPR N;SG _ PRO FIN;IND;PRS;V NUM N;SG N;PL V;V.MSDR DEF;DET N;SG _ PRO FIN;IND;PRS;V DEF;DET N;SG PRO DEF;DET N;PL ADP DET;SG N;SG FIN;IND;PRS;V ADP 3;PL;PRO N;SG _
" we are moving in the right direction : the paris agreement will slow climate change , as will the recent kigali amendment to reduce hfcs , " said erik solheim , head of un environment .	" we be move in the right direction : the paris agreement will slow climate change , as will the recent kigali amendment to reduce hfc , " say erik solheim , head of un environment .	_ 1;NOM;PL;PRO FIN;IND;PRS;V PRS;V;V.PTCP ADP DEF;DET ADJ N;SG _ DEF;DET PROPN;SG N;SG FIN;V NFIN;V N;SG N;SG _ CONJ FIN;V DEF;DET ADJ PROPN;SG N;SG PART NFIN;V N;PL _ _ FIN;IND;PST;V PROPN;SG PROPN;SG _ N;SG ADP PROPN;SG N;SG _
its police includes a special unit which operates patrol and surveillance boats .	its police include a special unit which operate patrol and surveillance boat .	3;NEUT;PRO;SG N;SG 3;FIN;IND;PRS;SG;V DET;INDF ADJ N;SG PRO 3;FIN;IND;PRS;SG;V N;SG CONJ N;SG N;PL _
stalin had begun to encourage abakumov to form his own network inside the mgb to counter beria 's dominance of the power ministries .	stalin have begin to encourage abakumov to form he own network inside the mgb to counter beria 's dominance of the power ministry .	PROPN;SG FIN;IND;PST;V PST;V;V.PTCP PART NFIN;V PROPN;SG PART NFIN;V 3;MASC;PRO;SG ADJ N;SG ADP DEF;DET PROPN;SG PART NFIN;V PROPN;SG PART N;SG ADP DEF;DET N;SG N;PL _
of course , i do understand that modern - day germany must be separated from the nazi regime .	of course , i do understand that modern - day germany must be separate from the nazi regime .	ADP ADV;SG _ 1;NOM;PRO;SG FIN;IND;PRS;V NFIN;V CONJ ADJ _ N;SG PROPN;SG FIN;V NFIN;V PST;V;V.PTCP ADP DEF;DET PROPN;SG N;SG _
that led to revelations over the last two days that at least six other quebec journalists were targeted by provincial police surveillance operations .	that lead to revelation over the last two day that at least six other quebec journalist be target by provincial police surveillance operation .	PRO;SG FIN;IND;PST;V ADP N;PL ADP DEF;DET ADJ NUM N;PL CONJ ADP ADV;RL NUM ADJ PROPN;SG N;PL FIN;IND;PST;V PST;V;V.PTCP ADP ADJ N;SG N;SG N;PL _
the rupertsberg cloister was destroyed during the thirty years ' war in 1632 by swedish troops .	the rupertsberg cloister be destroy during the thirty year ' war in 1632 by swedish troops .	DEF;DET PROPN;SG N;SG 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADP DEF;DET NUM N;PL PART N;SG ADP NUM ADP ADJ N;PL _
cape town 's local government is the city of cape town , which is a metropolitan municipality .	cape town 's local government be the city of cape town , which be a metropolitan municipality .	PROPN;SG PROPN;SG PART ADJ N;SG 3;FIN;IND;PRS;SG;V DEF;DET N;SG ADP PROPN;SG PROPN;SG _ PRO 3;FIN;IND;PRS;SG;V DET;INDF ADJ N;SG _
in may , czech border guards shot two sudeten german farmers who were trying to cross the border into czechoslovakia without stopping for border controls .	in may , czech border guard shoot two sudeten german farmer who be try to cross the border into czechoslovakia without stop for border control .	ADP PROPN;SG _ ADJ N;SG N;PL FIN;IND;PST;V NUM ADJ ADJ N;PL PRO FIN;IND;PST;V PRS;V;V.PTCP PART NFIN;V DEF;DET N;SG ADP PROPN;SG CONJ V;V.MSDR ADP N;SG N;PL _
miami bass producers were clinical in the art of moving butts — their main concern .	miami bass producer be clinical in the art of move butt — they main concern .	PROPN;SG N;SG N;PL FIN;IND;PST;V ADJ ADP DEF;DET N;SG ADP V;V.MSDR N;PL _ 3;PL;PRO ADJ N;SG _
in china the hair is typically put in a chemical bath to remove the cuticle completely , tarlo explains .	in china the hair be typically put in a chemical bath to remove the cuticle completely , tarlo explain .	ADP PROPN;SG DEF;DET N;SG 3;FIN;IND;PRS;SG;V ADV PST;V;V.PTCP ADP DET;INDF ADJ N;SG PART NFIN;V DEF;DET N;SG ADV _ PROPN;SG 3;FIN;IND;PRS;SG;V _
in 2011 , blunt was named the ambassadress of the new yves saint laurent fragrance , opium .	in 2011 , blunt be name the ambassadress of the new yves saint laurent fragrance , opium .	ADP NUM _ PROPN;SG 3;FIN;IND;PST;SG;V PST;V;V.PTCP DEF;DET N;SG ADP DEF;DET ADJ PROPN;SG PROPN;SG PROPN;SG N;SG _ PROPN;SG _
